Metric	Value
52WeekChange	0.49490452
SandP52WeekChange	0.19786096
address1	1585 Broadway
allTimeHigh	232.25
allTimeLow	6.71
ask	218.32
askSize	200
auditRisk	6
averageAnalystRating	2.3 - Buy
averageDailyVolume10Day	5397600
averageDailyVolume3Month	5999631
averageVolume	5999631
averageVolume10days	5397600
beta	1.209
bid	217.35
bidSize	200
boardRisk	5
bookValue	66.178
city	New York
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Edward N. Pick', 'age': 56, 'title': 'CEO & Chairman of the Board', 'yearBorn': 1969, 'fiscalYear': 2025, 'totalPay': 12690324, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Daniel Aaron Simkowitz', 'age': 59, 'title': 'Co-President', 'yearBorn': 1966, 'fiscalYear': 2025, 'totalPay': 12201500, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Andrew Michael Saperstein', 'age': 58, 'title': 'Co-President', 'yearBorn': 1967, 'fiscalYear': 2025, 'totalPay': 12297226, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Sharon  Yeshaya', 'age': 45, 'title': 'Executive VP & CFO', 'yearBorn': 1980, 'fiscalYear': 2025, 'totalPay': 8924403, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Eric F. Grossman', 'age': 58, 'title': 'Executive VP and Chief Legal & Administrative Officer', 'yearBorn': 1967, 'fiscalYear': 2025, 'totalPay': 8981786, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Michael A. Pizzi', 'age': 50, 'title': 'Executive VP & Global Head of Technology and Operations', 'yearBorn': 1975, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Michael John Wilson', 'title': 'Chief U.S. Equity Strategist & Chief Investment Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Victoria  Worster', 'title': 'Chief Accounting Officer & Controller', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Robyn Maslynsky Goldschmid', 'title': 'Managing Director', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Clint G. Gartin', 'title': 'Chairman of Investment Banking', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	5
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	218.27
currentRatio	1.961
customPriceAlertConfidence	HIGH
dateShortInterest	1784073600
dayHigh	220.115
dayLow	217.1232
debtToEquity	502.246
discount_to_intrinsic_value	67.81
dividendDate	1786665600
dividendRate	4.6
dividendYield	2.18
earningsCallTimestampEnd	1792008000
earningsCallTimestampStart	1792008000
earningsGrowth	0.624
earningsQuarterlyGrowth	0.577
earningsTimestamp	1791981000
earningsTimestampEnd	1791981000
earningsTimestampStart	1791981000
ebitdaMargins	0.0
enterpriseToRevenue	3.329
enterpriseValue	259108552704
epsCurrentYear	12.96643
epsForward	13.6344
epsTrailingTwelveMonths	12.38
eps_normalized_growth	0.6022153318571422
esgPopulated	False
exDividendDate	1785456000
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	214.654
fiftyDayAverageChange	3.6159973
fiftyDayAverageChangePercent	0.016845701
fiftyTwoWeekChangePercent	49.49045
fiftyTwoWeekHigh	232.25
fiftyTwoWeekHighChange	-13.979996
fiftyTwoWeekHighChangePercent	-0.06019374
fiftyTwoWeekLow	140.51
fiftyTwoWeekLowChange	77.76001
fiftyTwoWeekLowChangePercent	0.5534127
fiftyTwoWeekRange	140.51 - 232.25
financialCurrency	USD
firstTradeDateMilliseconds	730477800000
fiveYearAvgDividendYield	2.98
floatShares	1191072960
forwardEps	13.6344
forwardPE	16.008772
fullExchangeName	NYSE
fullTimeEmployees	82944
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1785542400
graham_intrinsic_value	678.0
grossMargins	0.87641
grossProfits	68209000448
hasPrePostMarketData	True
heldPercentInsiders	0.24408
heldPercentInstitutions	0.62974
impliedSharesOutstanding	1572000000
industry	Capital Markets
industryDisp	Capital Markets
industryKey	capital-markets
irWebsite	http://www.morganstanley.com/about/ir/index.html
isEarningsDateEstimate	False
language	en-US
lastDividendDate	1785456000
lastDividendValue	1.15
lastFiscalYearEnd	1767139200
lastSplitDate	948931200
lastSplitFactor	2:1
