Metric	Value
52WeekChange	0.016649485
SandP52WeekChange	0.20204377
address1	One Microsoft Way
allTimeHigh	555.45
allTimeLow	0.088542
ask	509.47
askSize	5
auditRisk	9
averageAnalystRating	1.4 - Strong Buy
averageDailyVolume10Day	23159270
averageDailyVolume3Month	38141796
averageVolume	38141796
averageVolume10days	23159270
beta	1.099
bid	505.03
bidSize	6
boardRisk	7
bookValue	59.565
city	Redmond
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Satya  Nadella', 'age': 58, 'title': 'Chairman & CEO', 'yearBorn': 1967, 'fiscalYear': 2025, 'totalPay': 12251294, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Bradford L. Smith LCA', 'age': 66, 'title': 'President & Vice Chairman', 'yearBorn': 1959, 'fiscalYear': 2025, 'totalPay': 4532750, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Amy E. Hood', 'age': 53, 'title': 'Executive VP & CFO', 'yearBorn': 1972, 'fiscalYear': 2025, 'totalPay': 4444191, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Takeshi  Numoto', 'age': 54, 'title': 'Executive VP & Chief Marketing Officer', 'yearBorn': 1971, 'fiscalYear': 2025, 'totalPay': 2871250, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Judson B. Althoff', 'age': 52, 'title': 'Executive VP & CEO of Commercial Business', 'yearBorn': 1973, 'fiscalYear': 2025, 'totalPay': 4490115, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Carolina  Dybeck Happe', 'age': 53, 'title': 'Executive VP & COO', 'yearBorn': 1972, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Alice L. Jolla', 'age': 59, 'title': 'Corporate VP & Chief Accounting Officer', 'yearBorn': 1966, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Matthew  Kerner', 'title': 'CTO & Corporate VP of Worldwide Sales and Solutions', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Jonathan  Neilson', 'title': 'Vice President of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jonathan M. Palmer', 'title': 'Corporate Vice President & Chief Legal Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	5
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	507.29
currentRatio	1.23
customPriceAlertConfidence	HIGH
dateShortInterest	1786665600
dayHigh	512.19
dayLow	506.4
debtToEquity	29.118
discount_to_intrinsic_value	48.12
displayName	Microsoft
dividendDate	1788998400
dividendRate	3.64
dividendYield	0.71
earningsCallTimestampEnd	1785360600
earningsCallTimestampStart	1785360600
earningsGrowth	0.317
earningsQuarterlyGrowth	0.313
earningsTimestamp	1785355200
earningsTimestampEnd	1793217600
earningsTimestampStart	1793217600
ebitda	194237005824
ebitdaMargins	0.58534
enterpriseToEbitda	19.899
enterpriseToRevenue	11.648
enterpriseValue	3865210257408
epsCurrentYear	19.75306
epsForward	23.57328
epsTrailingTwelveMonths	17.97
eps_normalized_growth	0.3168816230001419
esgPopulated	False
exDividendDate	1787184000
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	430.6526
fiftyDayAverageChange	76.63742
fiftyDayAverageChangePercent	0.17795649
fiftyTwoWeekChangePercent	1.6649485
fiftyTwoWeekHigh	553.72
fiftyTwoWeekHighChange	-46.429962
fiftyTwoWeekHighChangePercent	-0.08385098
fiftyTwoWeekLow	349.2
fiftyTwoWeekLowChange	158.09
fiftyTwoWeekLowChangePercent	0.45272046
fiftyTwoWeekRange	349.2 - 553.72
financialCurrency	USD
firstTradeDateMilliseconds	511108200000
fiveYearAvgDividendYield	0.79
floatShares	7414481428
forwardEps	23.57328
forwardPE	21.519703
freeCashflow	16545500160
fullExchangeName	NasdaqGS
fullTimeEmployees	223000
fulldayChange	-5.8000183
fulldayChangePercent	-1.1294409
fulldayPrice	507.73
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1785542400
graham_intrinsic_value	977.9
grossMargins	0.67944
grossProfits	225465008128
hasPrePostMarketData	True
heldPercentInsiders	0.00090000004
heldPercentInstitutions	0.75882006
impliedSharesOutstanding	7425545491
industry	Software - Infrastructure
industryDisp	Software - Infrastructure
industryKey	software-infrastructure
irWebsite	http://www.microsoft.com/investor/default.aspx
isEarningsDateEstimate	True
language	en-US
lastDividendDate	1787184000
lastDividendValue	0.91
lastFiscalYearEnd	1782777600
lastSplitDate	1045526400
lastSplitFactor	2:1
longBusinessSummary	Microsoft Corporation, a technology company, develops and supports a portfolio of technology solutions for individuals and businesses worldwide. Its products include operating systems, server applications, business solution applications, software development tools, desktop and server management tools, and video games; and devices, such as PCs, tablets, gaming and entertainment consoles, other intelligent devices, and related accessories. The company's Productivity and Business Processes segment offers Microsoft 365 Commercial, Enterprise Mobility + Security, Power BI, Exchange, SharePoint, Microsoft Teams, Microsoft 365 Security and Compliance, Microsoft 365 Copilot, and Windows Commercial on-premises and Office licensed on-premises. This segment also provides Microsoft 365 Consumer products and cloud services; LinkedIn, including talent solutions, marketing solutions, subscriptions, and sales solutions; Dynamics 365, a set of cloud-based applications; and on-premises ERP and CRM applications. Its Intelligent Cloud segment offers server products and cloud services; cloud and AI consumption-based services, GitHub cloud services, health and life sciences cloud services, as well as virtual desktop offerings, and other cloud services; SQL Server, Windows Server, Visual Studio, System Center, and related client access licenses; and enterprise support services, industry solutions, Microsoft partner network, and learning experience. The company's More Personal Computing segment provides Windows OEM licensing and devices comprising Surface and PC accessories; XBOX hardware, and XBOX first- and third-party content and services; XBOX Game Pass and other subscriptions; XBOX Cloud Gaming, advertising, and other cloud services; and search advertising consisting of Bing, Copilot, Microsoft News, Microsoft Edge, and third-party affiliates. It sells its products through partners and retail networks. The company was founded in 1975 and is headquartered in Redmond, Washington.
longName	Microsoft Corporation
market	us_market
marketCap	3766905208832
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_21835
mostRecentQuarter	1782777600
netIncomeToCommon	133748998144
nextFiscalYearEnd	1814313600
nonDilutedMarketCap	3750346005684
numberOfAnalystOpinions	52
open	510.325
operatingCashflow	182934994944
operatingMargins	0.45111
overallRisk	5
payoutRatio	0.1983
pegRatio	1.64
phone	425 882 8080
postMarketChange	0.44000244
postMarketChangePercent	0.086735874
postMarketPrice	507.73
postMarketTime	1788220792
previousClose	513.53
priceEpsCurrentYear	25.681591
priceHint	2
priceToBook	8.516579
priceToSalesTrailing12Months	11.351604
profitMargins	0.40305
quickRatio	1.099
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	strong_buy
recommendationMean	1.36364
region	US
regularMarketChange	-6.24002
regularMarketChangePercent	-1.21512
regularMarketDayHigh	512.19
regularMarketDayLow	506.4
regularMarketDayRange	506.4 - 512.19
regularMarketOpen	510.325
regularMarketPreviousClose	513.53
regularMarketPrice	507.29
regularMarketTime	1788206401
regularMarketVolume	26637042
returnOnAssets	0.14088
returnOnEquity	0.34039003
revenueGrowth	0.177
revenuePerShare	44.668
sector	Technology
sectorDisp	Technology
sectorKey	technology
shareHolderRightsRisk	2
sharesOutstanding	7425545491
sharesPercentSharesOut	0.0092
sharesShort	68544953
sharesShortPreviousMonthDate	1784073600
sharesShortPriorMonth	92373474
shortName	Microsoft Corporation
shortPercentOfFloat	0.0092
shortRatio	1.85
sourceInterval	15
state	WA
symbol	MSFT
targetHighPrice	870.0
targetLowPrice	400.0
targetMeanPrice	569.4537
targetMedianPrice	550.0
totalCash	76842999808
totalCashPerShare	10.348
totalDebt	128812998656
totalRevenue	331839012864
tradeable	False
trailingAnnualDividendRate	3.64
trailingAnnualDividendYield	0.007088193
trailingEps	17.97
trailingPE	28.22983
trailingPegRatio	1.6402
triggerable	True
twoHundredDayAverage	431.17566
twoHundredDayAverageChange	76.11435
