Metric	Value
52WeekChange	0.22377026
SandP52WeekChange	0.22662401
address1	700 Universe Boulevard
allTimeHigh	98.75
allTimeLow	0.84375
ask	86.6
askSize	600
auditRisk	7
averageAnalystRating	2.0 - Buy
averageDailyVolume10Day	11059040
averageDailyVolume3Month	10632749
averageVolume	10632749
averageVolume10days	11059040
beta	0.671
bid	86.38
bidSize	400
boardRisk	6
bookValue	26.481
city	Juno Beach
companyOfficers	[{'maxAge': 1, 'name': 'Mr. John W. Ketchum J.D.', 'age': 54, 'title': 'President, CEO & Chairman', 'yearBorn': 1971, 'fiscalYear': 2025, 'totalPay': 7241427, 'exercisedValue': 0, 'unexercisedValue': 20513980}, {'maxAge': 1, 'name': 'Mr. Michael H. Dunne', 'age': 49, 'title': 'CFO & Executive VP of Finance', 'yearBorn': 1976, 'fiscalYear': 2025, 'totalPay': 2127377, 'exercisedValue': 0, 'unexercisedValue': 569324}, {'maxAge': 1, 'name': 'Mr. Charles E. Sieving J.D.', 'age': 52, 'title': 'Executive VP and Chief Legal, Environmental & Federal Regulatory Affairs Officer', 'yearBorn': 1973, 'fiscalYear': 2025, 'totalPay': 3666743, 'exercisedValue': 0, 'unexercisedValue': 3579983}, {'maxAge': 1, 'name': 'Mr. Brian W. Bolster', 'age': 52, 'title': 'President & CEO of NextEra Energy Resources', 'yearBorn': 1973, 'fiscalYear': 2025, 'totalPay': 2936842, 'exercisedValue': 0, 'unexercisedValue': 132136}, {'maxAge': 1, 'name': 'Mr. William John Gough', 'age': 38, 'title': 'VP, Controller and Chief Accounting Officer', 'yearBorn': 1987, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Mark  Eidelman', 'title': 'Director of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. David  Flechner', 'title': 'VP of Compliance & Corporate Secretary', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Mark E. Hickson', 'age': 57, 'title': 'Executive Vice President of Corporate Development & Strategy', 'yearBorn': 1968, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Nicole J. Daggs', 'age': 50, 'title': 'Executive Vice President of Human Resources & Corporate Services', 'yearBorn': 1975, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Ronald R. Reagan', 'age': 56, 'title': 'Executive Vice President of Engineering, Construction & Integrated Supply Chain', 'yearBorn': 1969, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	7
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	86.43
currentRatio	0.542
customPriceAlertConfidence	HIGH
dateShortInterest	1780012800
dayHigh	86.83
dayLow	85.6605
debtToEquity	156.686
discount_to_intrinsic_value	61.65
displayName	NextEra Energy
dividendDate	1781481600
dividendRate	2.49
dividendYield	2.88
earningsCallTimestampEnd	1776949200
earningsCallTimestampStart	1776949200
earningsGrowth	1.6
earningsQuarterlyGrowth	1.619
earningsTimestamp	1776947400
earningsTimestampEnd	1784723400
earningsTimestampStart	1784723400
ebitda	14158999552
ebitdaMargins	0.50811
enterpriseToEbitda	20.768
enterpriseToRevenue	10.552
enterpriseValue	294051053568
epsCurrentYear	4.03715
epsForward	4.40148
epsTrailingTwelveMonths	3.94
eps_normalized_growth	0.9002125001738659
esgPopulated	False
exDividendDate	1780617600
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	90.409
fiftyDayAverageChange	-3.9789963
fiftyDayAverageChangePercent	-0.044011064
fiftyTwoWeekChangePercent	22.377026
fiftyTwoWeekHigh	98.75
fiftyTwoWeekHighChange	-12.32
fiftyTwoWeekHighChangePercent	-0.12475949
fiftyTwoWeekLow	67.2
fiftyTwoWeekLowChange	19.230003
fiftyTwoWeekLowChangePercent	0.28616077
fiftyTwoWeekRange	67.2 - 98.75
financialCurrency	USD
firstTradeDateMilliseconds	99153000000
fiveYearAvgDividendYield	2.5
floatShares	2080920532
forwardEps	4.40148
forwardPE	19.636576
freeCashflow	-18453374976
fullExchangeName	NYSE
fullTimeEmployees	17400
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1780531200
graham_intrinsic_value	225.37
grossMargins	0.61401004
grossProfits	17109999616
hasPrePostMarketData	True
heldPercentInsiders	0.00117
heldPercentInstitutions	0.86981004
impliedSharesOutstanding	2085605358
industry	Utilities - Regulated Electric
industryDisp	Utilities - Regulated Electric
industryKey	utilities-regulated-electric
isEarningsDateEstimate	True
language	en-US
lastDividendDate	1780617600
lastDividendValue	0.623
lastFiscalYearEnd	1767139200
lastSplitDate	1603756800
lastSplitFactor	4:1
longBusinessSummary	NextEra Energy, Inc., through its subsidiaries, generates, stores, transmits, distributes, and sells electric power to retail and wholesale customers in North America. It operates through Florida Power & Light Company (FPL) and NEER segments. The company generates electricity from wind, solar, nuclear, natural gas, and other clean energy assets. It also invests in generation, storage, transmission, and distribution facilities; owns, develops, constructs, manages, and operates generation facilities, including renewables, nuclear and natural gas, and battery storage facilities in the wholesale energy market in the United States and Canada, as well as electric and gas transmission assets, and natural gas pipelines; provides full energy and capacity requirement services; markets and trades in energy-related commodities; and participates in the production of natural gas, natural gas liquids, and oil. As of December 31, 2025, the company had approximately 35,963 megawatts of net generating capacity; approximately 93,000 circuit miles of transmission and distribution lines; and 932 substations. It serves approximately 12 million people through approximately 6 million customer accounts on the east and lower west coasts of Florida. The company was formerly known as FPL Group, Inc. and changed its name to NextEra Energy, Inc. in 2010. NextEra Energy, Inc. was founded in 1925 and is headquartered in Juno Beach, Florida.
longName	NextEra Energy, Inc.
market	us_market
marketCap	180258865152
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_270586
mostRecentQuarter	1774915200
netIncomeToCommon	8184000000
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	179528909216
numberOfAnalystOpinions	20
open	86.0
operatingCashflow	12330000384
operatingMargins	0.30175
overallRisk	5
payoutRatio	0.5895
pegRatio	1.9
phone	561 694 4000
postMarketChange	0.05999756
postMarketChangePercent	0.069417514
postMarketPrice	86.49
postMarketTime	1782259004
previousClose	86.08
priceEpsCurrentYear	21.408669
priceHint	2
priceToBook	3.2638495
priceToSalesTrailing12Months	6.4687743
profitMargins	0.29369
quickRatio	0.338
quoteSourceName	Delayed Quote
quoteType	EQUITY
recommendationKey	buy
recommendationMean	1.95455
region	US
regularMarketChange	0.349998
regularMarketChangePercent	0.406597
regularMarketDayHigh	86.83
regularMarketDayLow	85.6605
regularMarketDayRange	85.6605 - 86.83
regularMarketOpen	86.0
regularMarketPreviousClose	86.08
regularMarketPrice	86.43
regularMarketTime	1782244802
regularMarketVolume	9645377
returnOnAssets	0.02412
returnOnEquity	0.10325
revenueGrowth	0.073
revenuePerShare	13.454
sector	Utilities
sectorDisp	Utilities
sectorKey	utilities
shareHolderRightsRisk	3
sharesOutstanding	2085605358
sharesPercentSharesOut	0.0001
sharesShort	131969
sharesShortPreviousMonthDate	1777507200
sharesShortPriorMonth	123518
shortName	NextEra Energy, Inc.
shortPercentOfFloat	0.0001
shortRatio	0.01
sourceInterval	15
state	FL
symbol	NEE
targetHighPrice	112.0
targetLowPrice	55.0
targetMeanPrice	98.9
targetMedianPrice	101.5
totalCash	1998000000
totalCashPerShare	0.958
totalDebt	104403001344
totalRevenue	27865999360
tradeable	False
trailingAnnualDividendRate	2.323
trailingAnnualDividendYield	0.026986523
trailingEps	3.94
trailingPE	21.936548
trailingPegRatio	1.8972
triggerable	True
twoHundredDayAverage	85.87695
twoHundredDayAverageChange	0.5530472
twoHundredDayAverageChangePercent	0.0064399955
typeDisp	Equity
volume	9645377
website	https://www.nexteraenergy.com
zip	33408
