Date	Sentiment_Daily	News_Volume
2025-08-14	-0.0250	1
2025-08-28	0.0000	1
2025-08-29	-0.0800	1
2025-09-02	0.0000	1
2025-09-05	0.0000	1
2025-09-08	0.0000	1
2025-09-19	0.0000	1
2025-09-22	0.2000	1
2025-10-01	0.0000	1
2025-10-03	0.0000	1
2025-10-06	0.0000	1
2025-10-08	-0.1330	1
2025-10-09	0.0000	1
2025-10-11	0.4670	1
2025-10-13	-0.4000	1
2025-10-14	0.0000	1
2025-10-16	0.0000	1
2025-10-22	0.0000	1
2025-10-23	0.0000	1
2025-10-28	0.0000	1
2025-11-03	0.2890	1
2025-11-09	-0.1000	1
2025-11-10	0.3930	1
2025-11-12	0.0000	1
2025-11-13	0.1000	1
2025-11-17	0.1000	2
2025-11-21	-0.0500	1
2025-11-24	0.1670	1
2025-11-25	0.0000	1
2025-11-27	0.3330	1
2025-11-30	0.0000	1
2025-12-03	0.3255	2
2025-12-08	0.1330	2
2025-12-11	0.0000	1
2025-12-13	0.2800	1
2025-12-15	0.1570	2
2025-12-17	0.3330	1
2025-12-19	0.0000	1
2025-12-20	0.6670	1
2025-12-21	0.0000	1
2025-12-29	0.3330	1
2026-01-04	0.0000	1
2026-01-05	0.0000	1
2026-01-07	0.5000	1
2026-01-08	0.0000	1
2026-01-16	0.0000	1
2026-01-19	0.0000	1
2026-01-20	0.0000	1
2026-01-22	0.3670	1
2026-01-24	0.0000	1
2026-01-26	0.0000	2
2026-01-27	0.0000	1
2026-01-28	0.5330	1
2026-01-29	0.0000	1
2026-01-30	0.0000	1
2026-01-31	0.0000	1
2026-02-02	0.0680	1
2026-02-03	0.0000	1
2026-02-04	0.0000	1
2026-02-05	0.0000	1
2026-02-06	-0.0143	3
2026-02-08	0.0000	2
2026-02-09	0.0000	1
2026-02-10	0.1708	5
2026-02-11	-0.0047	7
2026-02-12	0.0055	6
2026-02-13	0.1125	4
2026-02-14	0.0180	1
2026-02-15	0.0082	4
2026-02-16	0.0000	6
2026-02-17	0.0275	15
2026-02-18	-0.0125	13
2026-02-19	0.0435	6
2026-02-20	0.0356	9
2026-02-21	0.0000	2
2026-02-22	0.0826	9
2026-02-23	0.0054	17
2026-02-24	0.3000	1
2026-02-25	0.0000	1
2026-02-26	0.1775	4
2026-02-27	0.1750	4
2026-02-28	0.0000	1
2026-03-01	0.0159	9
2026-03-02	0.0340	17
2026-03-03	0.0232	21
2026-03-04	0.0014	23
2026-03-05	0.1219	14
2026-03-06	0.0021	21
2026-03-07	0.2000	5
2026-03-08	0.0572	13
2026-03-09	-0.0043	23
2026-03-10	0.0404	13
2026-03-11	0.0596	28
2026-03-12	0.2500	1
2026-03-13	0.0000	10
2026-03-14	0.0783	3
2026-03-15	0.0450	10
2026-03-16	0.0320	19
2026-03-17	0.1000	1
2026-03-18	0.0285	20
2026-03-19	0.0500	2
2026-03-20	0.0582	33
2026-03-21	0.2500	1
2026-03-22	0.1974	8
2026-03-23	0.0532	19
2026-03-24	0.0414	17
2026-03-25	0.5335	2
2026-03-26	0.0000	1
2026-03-27	-0.0004	16
2026-03-28	0.0000	7
2026-03-29	0.0000	5
2026-03-30	0.0791	8
2026-03-31	-0.0104	12
2026-04-01	0.0639	15
2026-04-02	0.5000	1
2026-04-03	-0.0143	7
2026-04-04	0.0179	7
2026-04-05	0.1625	4
2026-04-06	0.0500	12
2026-04-07	0.1584	11
2026-04-08	0.0072	17
2026-04-09	-0.0045	13
2026-04-10	0.0000	1
2026-04-11	0.6000	1
2026-04-12	0.0000	5
2026-04-13	-0.0195	15
2026-04-14	0.0222	9
2026-04-15	0.0875	20
2026-04-16	0.0334	16
2026-04-17	0.0496	16
2026-04-18	0.0750	2
2026-04-19	0.0000	4
2026-04-20	0.0158	19
2026-04-21	0.0536	20
2026-04-22	0.0729	18
2026-04-23	0.0535	47
2026-04-24	0.0095	2
2026-04-25	0.0988	6
2026-04-26	0.1049	14
2026-04-27	0.0226	11
2026-04-28	-0.0147	17
2026-04-29	-0.0044	28
2026-04-30	0.0327	15
2026-05-01	0.1544	12
2026-05-02	0.0508	6
2026-05-03	0.0521	11
2026-05-04	0.0447	15
2026-05-05	0.0177	16
2026-05-06	0.0017	15
2026-05-07	-0.0018	14
2026-05-08	0.0124	5
2026-05-09	0.0000	5
2026-05-10	0.0237	6
2026-05-11	0.0515	11
2026-05-12	0.0000	8
2026-05-13	0.1105	6
2026-05-14	-0.1410	3
2026-05-16	0.0000	6
2026-05-17	0.0155	4
2026-05-18	0.1155	41
2026-05-19	0.0356	31
2026-05-20	0.0000	1
2026-05-21	0.0766	22
2026-05-22	0.0629	19
2026-05-23	0.1233	4
2026-05-24	-0.0125	8
2026-05-25	0.0872	12
2026-05-26	0.0796	21
2026-05-27	0.5180	2
2026-05-28	0.0933	17
2026-05-29	0.0179	14
2026-05-30	0.0106	8
2026-05-31	0.0722	9
2026-06-01	0.0274	24
2026-06-02	0.0312	20
2026-06-03	0.0333	12
2026-06-04	0.0000	1
2026-06-05	0.2400	5
