Date	Sentiment_Daily	News_Volume
2023-03-10	0.4020	1
2024-07-01	0.2680	1
2024-08-05	0.5290	1
2024-10-09	0.3630	1
2024-10-15	0.4665	2
2024-10-17	0.1720	1
2024-10-24	0.4490	1
2024-10-25	0.4890	1
2025-01-19	0.4530	1
2025-01-24	0.4060	1
2025-03-21	-0.3000	1
2025-03-27	0.0000	2
2025-04-02	0.4020	1
2025-04-03	0.0680	1
2025-04-25	0.7300	1
2025-04-27	0.0000	1
2025-04-30	0.0000	1
2025-05-09	0.0680	1
2025-05-12	0.0000	1
2025-05-13	0.1680	3
2025-05-23	0.0000	1
2025-05-28	0.1710	2
2025-05-30	0.0000	1
2025-06-03	0.0000	1
2025-06-05	-0.6000	1
2025-06-09	0.0500	3
2025-06-13	-0.2000	1
2025-06-15	0.0680	1
2025-06-25	0.0000	1
2025-06-27	0.5000	1
2025-07-01	0.0000	1
2025-07-02	0.0210	1
2025-07-06	0.0000	1
2025-07-07	-0.3000	1
2025-07-11	0.0070	2
2025-07-14	-0.2500	1
2025-07-15	0.0000	1
2025-07-18	-0.5000	1
2025-07-21	0.0000	1
2025-07-24	0.1270	1
2025-07-28	0.0000	1
2025-07-29	0.0000	1
2025-07-30	-0.0750	1
2025-07-31	-0.1880	1
2025-08-05	0.0000	1
2025-08-06	0.1500	2
2025-08-10	0.0000	1
2025-08-11	0.1850	3
2025-08-13	0.3110	1
2025-08-14	0.2700	1
2025-08-18	0.0000	2
2025-08-19	-0.1880	1
2025-08-20	0.4330	1
2025-08-23	0.2910	1
2025-08-25	-0.1880	1
2025-08-28	-0.1880	1
2025-08-30	0.0680	1
2025-09-03	0.0000	1
2025-09-05	0.5970	1
2025-09-08	0.2330	1
2025-09-10	0.1110	4
2025-09-11	0.0097	3
2025-09-12	-0.1370	2
2025-09-13	-0.2470	4
2025-09-14	-0.2233	3
2025-09-15	-0.1003	6
2025-09-18	-0.0940	1
2025-09-19	0.0794	5
2025-09-20	-0.1880	1
2025-09-21	-0.0440	1
2025-09-22	-0.0790	1
2025-09-23	0.0000	1
2025-09-24	0.0000	2
2025-09-25	-0.2420	1
2025-09-26	-0.1550	4
2025-09-30	0.0000	1
2025-10-02	0.4630	1
2025-10-09	-0.1880	1
2025-10-10	-0.2253	3
2025-10-13	-0.1880	1
2025-10-15	-0.0110	6
2025-10-16	0.0560	3
2025-10-21	0.2670	1
2025-10-22	-0.1880	1
2025-10-23	0.0690	2
2025-10-24	-0.0710	1
2025-10-27	0.0260	3
2025-10-29	-0.0940	1
2025-11-03	0.0000	1
2025-11-04	-0.0480	5
2025-11-05	-0.2030	2
2025-11-06	-0.1880	1
2025-11-07	-0.1880	1
2025-11-08	0.0653	3
2025-11-09	-0.4000	1
2025-11-10	0.0845	2
2025-11-11	-0.1420	3
2025-11-12	-0.0678	5
2025-11-14	-0.1920	3
2025-11-17	-0.1880	1
2025-11-18	0.0000	1
2025-11-19	-0.1880	2
2025-11-20	-0.1880	2
2025-11-21	0.0000	1
2025-11-24	-0.0605	2
2025-11-25	0.0000	2
2025-11-26	-0.0447	3
2025-11-27	0.1085	2
2025-11-28	-0.1880	2
2025-11-29	0.0680	2
2025-12-02	0.0000	1
2025-12-03	-0.0209	9
2025-12-04	-0.0576	5
2025-12-05	0.1000	4
2025-12-06	0.0000	7
2025-12-07	-0.0313	6
2025-12-08	0.3487	3
2025-12-10	-0.0846	5
2025-12-11	-0.0244	5
2025-12-12	-0.1880	3
2025-12-15	-0.0438	5
2025-12-17	-0.2440	1
2025-12-18	-0.1490	3
2025-12-20	-0.0260	1
2025-12-23	0.0207	3
2025-12-24	0.3440	2
2025-12-29	0.1655	2
2025-12-30	-0.1252	4
2025-12-31	0.0347	3
2026-01-05	0.0000	1
2026-01-06	0.0027	8
2026-01-07	-0.0970	2
2026-01-08	0.0000	1
2026-01-09	0.3800	1
2026-01-11	-0.1880	1
2026-01-12	-0.0313	3
2026-01-13	0.1000	3
2026-01-14	-0.0627	3
2026-01-15	0.0042	10
2026-01-16	-0.0442	5
2026-01-17	-0.1440	1
2026-01-19	-0.1220	2
2026-01-20	-0.0768	4
2026-01-21	0.0348	6
2026-01-22	-0.0363	15
2026-01-23	0.0000	4
2026-01-24	-0.1880	1
2026-01-25	0.0000	1
2026-01-26	-0.1880	1
2026-01-27	-0.0060	4
2026-01-28	0.0000	1
2026-01-29	-0.1528	4
2026-01-30	0.0000	1
2026-02-02	0.0000	1
2026-02-03	0.1143	7
2026-02-04	0.1234	7
2026-02-05	0.0000	1
2026-02-06	0.0000	1
2026-02-09	-0.1067	3
2026-02-10	-0.0970	4
2026-02-11	-0.1940	1
2026-02-12	-0.0500	2
2026-02-13	-0.0728	5
2026-02-15	0.0680	1
2026-02-16	0.0640	2
2026-02-17	-0.1221	7
2026-02-18	-0.0625	4
2026-02-20	-0.0970	2
2026-02-21	0.2345	2
2026-02-22	0.1680	1
2026-02-24	-0.0627	3
2026-02-25	-0.1910	2
2026-02-26	-0.1048	4
2026-02-27	-0.2050	4
2026-03-01	0.0000	1
2026-03-02	0.0530	3
2026-03-03	-0.0999	7
2026-03-04	0.3750	2
2026-03-05	0.0500	3
2026-03-06	0.0031	8
2026-03-07	-0.2190	1
2026-03-08	0.0000	1
2026-03-09	-0.0507	13
2026-03-10	-0.1002	5
2026-03-11	0.0526	7
2026-03-12	0.0000	4
2026-03-13	-0.0095	6
2026-03-14	-0.2190	1
2026-03-15	0.2500	1
2026-03-16	0.0000	2
2026-03-17	0.0687	3
2026-03-18	-0.0940	3
2026-03-20	-0.1253	3
2026-03-21	0.0000	1
2026-03-22	0.0810	2
2026-03-23	0.0515	4
2026-03-24	-0.0425	4
2026-03-25	0.0026	5
2026-03-26	-0.0014	9
2026-03-27	-0.1156	5
2026-03-31	-0.0030	2
2026-04-01	-0.1880	1
2026-04-02	0.0020	3
2026-04-03	0.1280	2
2026-04-05	-0.1880	1
2026-04-07	0.0430	3
2026-04-08	0.0680	2
2026-04-10	0.0000	1
2026-04-11	0.1070	1
2026-04-14	-0.0378	5
2026-04-15	0.2500	1
2026-04-16	0.1308	8
2026-04-17	-0.1070	2
2026-04-20	0.0505	6
2026-04-21	0.0333	3
2026-04-22	-0.0940	1
2026-04-23	0.2500	2
2026-04-24	0.3320	3
2026-04-27	-0.1302	5
2026-04-28	0.0291	13
2026-04-29	-0.1272	9
2026-04-30	-0.0752	5
2026-05-01	0.0000	1
2026-05-03	-0.0470	2
2026-05-04	0.0060	1
2026-05-05	0.0700	4
2026-05-06	-0.0464	5
2026-05-07	-0.0730	3
2026-05-08	-0.0108	5
2026-05-10	-0.1880	3
2026-05-11	-0.0940	2
2026-05-12	-0.0412	8
2026-05-13	-0.0480	3
2026-05-14	0.0000	1
2026-05-15	0.1560	2
2026-05-18	-0.1182	4
2026-05-19	0.0000	2
2026-05-20	0.0486	5
2026-05-21	0.0280	3
2026-05-22	0.2000	2
2026-05-25	-0.1000	1
2026-05-26	0.0000	1
2026-05-27	0.2500	1
2026-05-28	0.1240	3
2026-05-30	-0.1880	1
2026-06-01	-0.0080	2
