Date	Open	High	Low	Close	Volume
2018-01-02	307.35	307.72	303.21	264.68	715000
2018-01-03	304.74	307.25	304.61	265.9	722100
2018-01-04	306.58	308.71	305.61	267.55	582400
2018-01-05	309.09	310.24	307.21	267.27	842800
2018-01-08	308.95	309.34	307.57	267.3	660800
2018-01-09	309.23	312.93	308.71	269.15	828900
2018-01-10	309.34	309.48	306.36	266.74	676100
2018-01-11	308.88	309.71	308.26	268.42	493200
2018-01-12	310.0	315.71	309.67	273.28	706100
2018-01-16	317.42	318.7	312.33	271.01	756100
2018-01-17	314.99	317.81	313.32	275.32	613100
2018-01-18	317.5	318.7	314.0	272.54	598700
2018-01-19	316.23	317.19	314.69	274.33	874000
2018-01-22	316.1	316.58	313.56	273.27	731300
2018-01-23	315.23	315.35	312.67	271.83	653700
2018-01-24	313.45	316.32	312.68	271.81	857500
2018-01-25	316.74	325.99	314.47	281.82	1406000
2018-01-26	326.08	335.57	323.63	290.97	1297900
2018-01-29	336.0	341.26	335.05	293.38	1389800
2018-01-30	335.28	341.28	333.52	294.36	1297400
2018-01-31	340.63	344.2	339.62	295.28	1318300
2018-02-01	340.53	349.18	340.24	297.3	1455200
2018-02-02	340.9	344.17	336.72	292.04	1227000
2018-02-05	333.75	339.53	316.27	279.54	1541600
2018-02-06	314.11	329.0	313.01	283.98	1716400
2018-02-07	326.76	342.14	326.01	292.79	2099900
2018-02-08	338.41	341.67	323.46	280.96	1520900
2018-02-09	327.91	338.0	323.46	288.48	1750000
2018-02-12	334.6	341.34	330.57	292.6	1284800
2018-02-13	335.12	344.38	335.12	297.74	897900
2018-02-14	346.15	350.42	342.4	303.17	1536800
2018-02-15	352.99	357.0	352.06	309.49	1316900
2018-02-16	355.91	358.84	354.74	308.7	957900
2018-02-20	352.45	355.16	348.58	303.81	1171800
2018-02-21	352.31	356.31	350.42	304.21	1337100
2018-02-22	351.79	352.56	347.52	302.31	842400
2018-02-23	350.0	351.58	348.17	304.8	845000
2018-02-26	353.2	355.84	352.15	307.91	504700
2018-02-27	354.65	359.43	353.58	306.67	876000
2018-02-28	354.3	357.26	349.77	303.53	1018900
2018-03-01	351.12	351.87	337.22	294.42	1461100
2018-03-02	336.68	344.69	334.4	298.43	1147300
2018-03-05	340.95	345.39	337.55	299.95	1387100
2018-03-06	345.44	346.21	340.82	297.41	908300
2018-03-07	337.99	347.43	336.36	301.71	869800
2018-03-08	348.1	348.22	344.27	301.31	654600
2018-03-09	347.24	349.87	344.01	304.17	782500
2018-03-12	352.83	352.83	342.64	299.89	938600
2018-03-13	346.27	348.64	342.85	299.55	947100
2018-03-14	346.69	346.75	338.06	295.87	811200
2018-03-15	340.9	342.54	338.52	296.5	1061000
2018-03-16	340.67	343.2	338.2	294.59	1268900
2018-03-19	338.18	345.54	336.9	300.07	1004200
2018-03-20	345.3	349.75	344.63	302.38	634100
2018-03-21	347.93	350.62	345.9	302.06	607000
2018-03-22	344.81	346.05	338.1	294.76	770400
2018-03-23	340.71	356.97	340.71	300.8	1587100
2018-03-26	350.0	355.84	349.44	309.03	1005100
2018-03-27	356.01	358.5	347.28	303.86	1137800
2018-03-28	350.51	350.67	341.72	299.88	923400
2018-03-29	345.98	351.33	344.8	303.72	1077200
2018-04-02	349.25	350.44	338.73	300.58	1041600
2018-04-03	346.34	347.64	340.65	301.04	1023600
2018-04-04	340.19	353.56	338.01	307.47	949100
2018-04-05	355.01	360.88	352.55	313.21	1133400
2018-04-06	356.7	359.6	349.47	305.98	1079500
