Metric	Value
52WeekChange	-0.39008754
SandP52WeekChange	0.32942438
address1	2225 Lawson Lane
allTimeHigh	239.618
allTimeLow	4.524
ask	96.65
askSize	240
auditRisk	1
averageAnalystRating	1.4 - Strong Buy
averageDailyVolume10Day	25338980
averageDailyVolume3Month	21355618
averageVolume	21355618
averageVolume10days	25338980
beta	1.005
bid	96.44
bidSize	160
boardRisk	6
bookValue	12.379
city	Santa Clara
companyOfficers	[{'maxAge': 1, 'name': 'Mr. William R. McDermott', 'age': 63, 'title': 'Chairman & CEO', 'yearBorn': 1962, 'fiscalYear': 2025, 'totalPay': 8069306, 'exercisedValue': 0, 'unexercisedValue': 83141472}, {'maxAge': 1, 'name': 'Ms. Gina M. Mastantuono', 'age': 55, 'title': 'President & CFO', 'yearBorn': 1970, 'fiscalYear': 2025, 'totalPay': 2166155, 'exercisedValue': 0, 'unexercisedValue': 3445640}, {'maxAge': 1, 'name': 'Mr. Amit K. Zavery', 'age': 53, 'title': 'President, Chief Product Officer & COO', 'yearBorn': 1972, 'fiscalYear': 2025, 'totalPay': 4081523, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Frederic B. Luddy', 'age': 70, 'title': 'Founder & Director', 'yearBorn': 1955, 'fiscalYear': 2025, 'totalPay': 40000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Jacqueline P. Canney', 'age': 57, 'title': 'Chief People & AI Enablement Officer', 'yearBorn': 1968, 'fiscalYear': 2025, 'totalPay': 1554880, 'exercisedValue': 0, 'unexercisedValue': 1722600}, {'maxAge': 1, 'name': 'Mr. Paul  Fipps', 'age': 52, 'title': 'President of Global Customer Operations', 'yearBorn': 1973, 'fiscalYear': 2025, 'totalPay': 2196545, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Hossein  Nowbar', 'title': 'President & Chief Legal Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Danielle  Fontaine', 'title': 'CAO & Corporate Controller', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Pat  Casey', 'title': 'CTO & Executive VP of Dev Ops', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Darren  Yip', 'title': 'Head of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	7
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	96.44
currentRatio	1.003
customPriceAlertConfidence	HIGH
dateShortInterest	1774915200
dayHigh	99.3889
dayLow	95.372
debtToEquity	18.536
discount_to_intrinsic_value	-139.63
displayName	ServiceNow
earningsCallTimestampEnd	1776891600
earningsCallTimestampStart	1776891600
earningsGrowth	0.034
earningsQuarterlyGrowth	0.044
earningsTimestamp	1776888000
earningsTimestampEnd	1776888000
earningsTimestampStart	1776888000
ebitda	2737999872
ebitdaMargins	0.20621
enterpriseToEbitda	35.426
enterpriseToRevenue	7.305
enterpriseValue	96995237888
epsCurrentYear	4.16484
epsForward	5.01549
epsTrailingTwelveMonths	1.67
eps_normalized_growth	0.07498471792429107
esgPopulated	False
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	106.1634
fiftyDayAverageChange	-9.723396
fiftyDayAverageChangePercent	-0.09158897
fiftyTwoWeekChangePercent	-39.008755
fiftyTwoWeekHigh	211.478
fiftyTwoWeekHighChange	-115.037994
fiftyTwoWeekHighChangePercent	-0.5439715
fiftyTwoWeekLow	81.24
