Metric	Value
52WeekChange	0.8806584
SandP52WeekChange	0.3206551
address1	2788 San Tomas Expressway
allTimeHigh	212.19
allTimeLow	0.033333
ask	199.76
askSize	40
auditRisk	5
averageAnalystRating	1.3 - Strong Buy
averageDailyVolume10Day	149651560
averageDailyVolume3Month	178422101
averageVolume	178422101
averageVolume10days	149651560
beta	2.335
bid	198.53
bidSize	20
boardRisk	9
bookValue	6.472
city	Santa Clara
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Jen-Hsun  Huang', 'age': 62, 'title': 'Co-Founder, CEO & Director', 'yearBorn': 1963, 'fiscalYear': 2025, 'totalPay': 11054945, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Colette M. Kress', 'age': 58, 'title': 'Executive VP & CFO', 'yearBorn': 1967, 'fiscalYear': 2025, 'totalPay': 1512641, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Debora  Shoquist', 'age': 70, 'title': 'Executive Vice President of Operations', 'yearBorn': 1955, 'fiscalYear': 2025, 'totalPay': 1379071, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Timothy S. Teter J.D.', 'age': 58, 'title': 'Executive VP, General Counsel & Secretary', 'yearBorn': 1967, 'fiscalYear': 2025, 'totalPay': 1362989, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Ajay K. Puri', 'age': 70, 'title': 'Executive Vice President of Worldwide Field Operations', 'yearBorn': 1955, 'fiscalYear': 2025, 'totalPay': 2313851, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Chris A. Malachowsky', 'title': 'Co-Founder', 'fiscalYear': 2025, 'totalPay': 320000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Donald F. Robertson Jr.', 'age': 56, 'title': 'VP & Chief Accounting Officer', 'yearBorn': 1969, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Prof. William J. Dally Ph.D.', 'age': 64, 'title': 'Chief Scientist & Senior VP of Research', 'yearBorn': 1961, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Toshiya  Hari', 'title': 'Vice President of Investor Relations & Strategic Finance', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Mylene  Mangalindan', 'title': 'Vice President of Corporate Communications', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	4
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	198.87
currentRatio	3.905
customPriceAlertConfidence	HIGH
dateShortInterest	1773360000
dayHigh	200.4
dayLow	195.74
debtToEquity	7.255
discount_to_intrinsic_value	31.9
displayName	NVIDIA
dividendDate	1775001600
dividendRate	0.04
dividendYield	0.02
earningsCallTimestampEnd	1772056800
earningsCallTimestampStart	1772056800
earningsGrowth	0.956
earningsQuarterlyGrowth	0.945
earningsTimestamp	1779307200
earningsTimestampEnd	1779307200
earningsTimestampStart	1779307200
ebitda	133230002176
ebitdaMargins	0.61698
enterpriseToEbitda	35.458
enterpriseToRevenue	21.877
enterpriseValue	4724048789504
epsCurrentYear	8.29457
epsForward	11.21048
epsTrailingTwelveMonths	4.89
eps_normalized_growth	1.124696163633208
esgPopulated	False
exDividendDate	1773187200
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	182.1214
fiftyDayAverageChange	16.748596
fiftyDayAverageChangePercent	0.09196391
fiftyTwoWeekChangePercent	88.06584
fiftyTwoWeekHigh	212.19
fiftyTwoWeekHighChange	-13.320007
fiftyTwoWeekHighChangePercent	-0.062773965
fiftyTwoWeekLow	95.04
fiftyTwoWeekLowChange	103.829994
fiftyTwoWeekLowChangePercent	1.0924873
fiftyTwoWeekRange	95.04 - 212.19
financialCurrency	USD
firstTradeDateMilliseconds	917015400000
fiveYearAvgDividendYield	0.05
floatShares	23321682000
forwardEps	11.21048
forwardPE	17.73965
freeCashflow	58128998400
fullExchangeName	NasdaqGS
fullTimeEmployees	42000
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1775001600
graham_intrinsic_value	292.04
grossMargins	0.71068
grossProfits	153462996992
hasPrePostMarketData	True
heldPercentInsiders	0.04212
heldPercentInstitutions	0.69763
impliedSharesOutstanding	24305000000
industry	Semiconductors
industryDisp	Semiconductors
industryKey	semiconductors
irWebsite	http://phx.corporate-ir.net/phoenix.zhtml?c=116466&p=irol-IRHome
isEarningsDateEstimate	False
language	en-US
lastDividendDate	1773187200
lastDividendValue	0.01
lastFiscalYearEnd	1769299200
lastSplitDate	1717977600
lastSplitFactor	10:1
longBusinessSummary	NVIDIA Corporation operates as a data center scale AI infrastructure company. The company operates through two segments, Compute & Networking, and Graphics segments. The Compute & Networking segment provides data center accelerated computing and networking platforms and artificial intelligence solutions and software, and automotive platforms and autonomous and electric vehicle solutions, including software. The Graphics segment offers GeForce GPUs for gaming and PCs; Quadro/NVIDIA RTX GPUs for enterprise workstation graphics. The company's products are used in gaming, professional visualization, data center, and automotive markets. The company sells its products to original equipment manufacturers, original device manufacturers, system integrators and distributors, independent software vendors, cloud service providers, add-in board manufacturers, distributors, automotive manufacturers and tier-1 automotive suppliers, and other ecosystem participants worldwide. It has a collaboration with Tech Mahindra Limited to develop artificial intelligence powered telco network operations reasoning agent. The company has a strategic partnership with Lumentum Holdings Inc. to develop optics technologies for AI and data centers. It also has a strategic partnership with Nebius Group N.V. to develop and deploy hyperscale cloud for the artificial intelligence market. NVIDIA Corporation was incorporated in 1993 and is headquartered in Santa Clara, California.
longName	NVIDIA Corporation
market	us_market
marketCap	4833535328256
marketState	POST
maxAge	86400
messageBoardId	finmb_32307
mostRecentQuarter	1769299200
nameChangeDate	2026-04-15
netIncomeToCommon	120066998272
nextFiscalYearEnd	1800835200
nonDilutedMarketCap	4775193000000
numberOfAnalystOpinions	56
open	196.55
operatingCashflow	102717997056
operatingMargins	0.65024
overallRisk	8
payoutRatio	0.0082
phone	408 486 2000
postMarketChange	-0.6299896
postMarketChangePercent	-0.31678465
postMarketPrice	198.24
postMarketTime	1776292068
prevName	Usual Stablecoin
previousClose	196.46
priceEpsCurrentYear	23.975925
priceHint	2
priceToBook	30.727749
