Metric	Value
52WeekChange	-0.4320315
SandP52WeekChange	0.26099288
address1	Novo Alle 1
allTimeHigh	148.15
allTimeLow	0.08625
ask	37.69
askSize	1300
averageAnalystRating	2.4 - Buy
averageDailyVolume10Day	15180560
averageDailyVolume3Month	23185148
averageVolume	23185148
averageVolume10days	15180560
beta	0.272
bid	37.53
bidSize	1300
bookValue	6.828682
city	Bagsvaerd
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Karsten Munk Knudsen', 'age': 54, 'title': 'Executive VP, CFO & Member of the Management Board', 'yearBorn': 1971, 'fiscalYear': 2024, 'totalPay': 2690493, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Maziar Mike Doustdar B.A.', 'age': 55, 'title': 'President, CEO & Member of the Management Board', 'yearBorn': 1970, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Martin Holst Lange', 'age': 55, 'title': 'EVP of R&D, Chief Scientific Officer and Member of the Management Board', 'yearBorn': 1970, 'fiscalYear': 2024, 'totalPay': 1908373, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Tania  Sabroe', 'age': 48, 'title': 'EVP of People, Organisation and Corporate Affairs & Member of Management Board', 'yearBorn': 1977, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Thilde Hummel Bogebjerg', 'age': 43, 'title': 'Executive VP of Enterprise IT & Quality and Member of Management Board', 'yearBorn': 1982, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. John F. Kuckelman', 'age': 53, 'title': 'SVP, Group General Counsel, Global Legal, IP & Security and Member of Management Board', 'yearBorn': 1972, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Emil Kongshoej Larsen', 'age': 50, 'title': 'EVP of International Operations & Member of Management Board', 'yearBorn': 1975, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Elin  Jager', 'age': 39, 'title': 'SVP, Chief of Staff to CEO, Corporate Strategy & Sustainability and Member of Management Board', 'yearBorn': 1986, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jamey  Millar', 'age': 57, 'title': 'Executive VP of US Operations & Member of Management Board', 'yearBorn': 1968, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Hong  Chow', 'age': 54, 'title': 'Executive VP of Product & Portfolio Strategy and Member of Management Board', 'yearBorn': 1971, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1735603200
corporateActions	[]
country	Denmark
cryptoTradeable	False
currency	USD
currentPrice	37.52
currentRatio	0.8
customPriceAlertConfidence	HIGH
dateShortInterest	1773360000
dayHigh	38.42
dayLow	37.42
debtToEquity	67.488
discount_to_intrinsic_value	-19.88
dividendDate	1775606400
dividendRate	1.8
dividendYield	4.8
earningsCallTimestampEnd	1770297300
earningsCallTimestampStart	1770297300
earningsGrowth	-0.047
earningsQuarterlyGrowth	-0.047
earningsTimestamp	1778070600
earningsTimestampEnd	1778070600
earningsTimestampStart	1778070600
ebitda	153294995456
ebitdaMargins	0.496
enterpriseToEbitda	1.766
enterpriseToRevenue	0.876
enterpriseValue	270734884864
epsCurrentYear	21.71933
epsForward	3.4419215
epsTrailingTwelveMonths	3.59
eps_normalized_growth	-0.16945991266008664
esgPopulated	False
exDividendDate	1774828800
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	41.6778
fiftyDayAverageChange	-4.157799
fiftyDayAverageChangePercent	-0.09976052
fiftyTwoWeekChangePercent	-43.20315
fiftyTwoWeekHigh	81.44
fiftyTwoWeekHighChange	-43.920002
fiftyTwoWeekHighChangePercent	-0.53929275
fiftyTwoWeekLow	35.12
fiftyTwoWeekLowChange	2.4000015
fiftyTwoWeekLowChangePercent	0.06833717
fiftyTwoWeekRange	35.12 - 81.44
financialCurrency	DKK
firstTradeDateMilliseconds	357485400000
fiveYearAvgDividendYield	1.72
floatShares	3186925720
forwardEps	3.4419215
forwardPE	10.900888
freeCashflow	376875008
fullExchangeName	NYSE
fullTimeEmployees	68794
