Metric	Value
52WeekChange	0.055250525
SandP52WeekChange	0.17909956
address1	11995 El Camino Real
allTimeHigh	82.28682
allTimeLow	7.388566
ask	61.8
askSize	900
auditRisk	5
averageAnalystRating	2.5 - Buy
averageDailyVolume10Day	4662000
averageDailyVolume3Month	5678404
averageVolume	5678404
averageVolume10days	4662000
beta	0.72
bid	61.64
bidSize	500
boardRisk	1
bookValue	41.798
city	San Diego
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Sumit  Roy', 'age': 55, 'title': 'President, CEO & Director', 'yearBorn': 1970, 'fiscalYear': 2025, 'totalPay': 7102435, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jonathan  Pong C.F.A., CPA', 'title': 'Executive VP, CFO & Treasurer', 'fiscalYear': 2025, 'totalPay': 1870772, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Mark E. Hagan J.D.', 'age': 57, 'title': 'Executive VP & Chief Investment Officer', 'yearBorn': 1968, 'fiscalYear': 2025, 'totalPay': 2417504, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Michelle  Bushore', 'age': 56, 'title': 'Executive VP, Chief Legal Officer, General Counsel & Secretary', 'yearBorn': 1969, 'fiscalYear': 2025, 'totalPay': 1834677, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	6
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	61.74
currentRatio	1.528
customPriceAlertConfidence	HIGH
dateShortInterest	1786665600
dayHigh	61.965
dayLow	61.32
debtToEquity	74.722
discount_to_intrinsic_value	16.14
displayName	Realty Income
dividendDate	1789430400
dividendRate	3.25
dividendYield	5.29
earningsCallTimestampEnd	1785963600
earningsCallTimestampStart	1785963600
earningsGrowth	0.692
earningsQuarterlyGrowth	0.747
earningsTimestamp	1785960000
earningsTimestampEnd	1793649600
earningsTimestampStart	1793649600
ebitda	5357639168
ebitdaMargins	0.8833
enterpriseToEbitda	17.049
enterpriseToRevenue	15.059
enterpriseValue	91340767232
epsCurrentYear	1.68613
epsForward	1.58522
epsTrailingTwelveMonths	1.37
eps_normalized_growth	0.480476754644787
esgPopulated	False
exDividendDate	1788134400
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fax	(858) 481-4860
fiftyDayAverage	63.2698
fiftyDayAverageChange	-1.5297966
fiftyDayAverageChangePercent	-0.024178939
fiftyTwoWeekChangePercent	5.5250525
fiftyTwoWeekHigh	67.94
fiftyTwoWeekHighChange	-6.200001
fiftyTwoWeekHighChangePercent	-0.091257
fiftyTwoWeekLow	55.86
fiftyTwoWeekLowChange	5.880001
fiftyTwoWeekLowChangePercent	0.10526317
fiftyTwoWeekRange	55.86 - 67.94
financialCurrency	USD
firstTradeDateMilliseconds	782487000000
fiveYearAvgDividendYield	5.1
floatShares	944060656
forwardEps	1.58522
forwardPE	38.947277
freeCashflow	1582081920
fullExchangeName	NYSE
fullTimeEmployees	544
fulldayChange	0.24000168
fulldayChangePercent	0.39024663
fulldayPrice	61.75
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1788220800
graham_intrinsic_value	73.62
grossMargins	0.9268
grossProfits	5621530112
hasPrePostMarketData	True
heldPercentInsiders	0.00124
heldPercentInstitutions	0.81701
impliedSharesOutstanding	946218033
industry	REIT - Retail
industryDisp	REIT - Retail
industryKey	reit-retail
irWebsite	http://www.realtyincome.com/invest/index.aspx
isEarningsDateEstimate	True
language	en-US
lastDividendDate	1788134400
lastDividendValue	0.271
lastFiscalYearEnd	1767139200
lastSplitDate	1636934400
lastSplitFactor	1032:1000
longBusinessSummary	Realty Income Corporation, an S&P 500 company, is real estate partner to the world's leading companies. Founded in 1969, we serve our clients as a full-service real estate capital provider. As of June 30, 2026, we have a portfolio of over 15,500 properties in all 50 U.S. states, the U.K., and eight other countries in Europe. We are known as "The Monthly Dividend Company" and have a mission to invest in people and places to deliver dependable monthly dividends that increase over time. Since our founding, we have declared 674 consecutive monthly dividends and are a member of the S&P 500 Dividend Aristocrats index for having increased our dividend for over 31 consecutive years. Realty Income Corporation was founded in 1969 and was incorporated in Maryland.
longName	Realty Income Corporation
market	us_market
marketCap	58419503104
marketState	POST
maxAge	86400
messageBoardId	finmb_339305
mostRecentQuarter	1782777600
netIncomeToCommon	1267576960
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	58059938504
numberOfAnalystOpinions	20
open	61.8
operatingCashflow	4166153984
operatingMargins	0.46965998
