Date	Open	High	Low	Close	Volume
2024-05-21	25.39	25.66	25.32	25.02	90700
2024-05-22	25.35	25.35	25.0	24.8	169400
2024-05-23	25.31	25.35	24.86	24.58	47300
2024-05-24	24.92	25.03	24.83	24.62	46300
2024-05-28	25.08	25.19	24.77	24.66	241400
2024-05-29	24.76	24.83	24.51	24.44	51200
2024-05-30	24.81	25.0	24.79	24.5	60300
2024-05-31	25.06	25.25	24.83	24.64	54400
2024-06-03	25.0	25.89	24.99	25.26	140400
2024-06-04	25.8	25.86	25.56	25.39	151100
2024-06-05	25.9	26.14	25.64	25.71	132000
2024-06-06	26.1	26.22	26.0	25.7	105300
2024-06-07	25.97	26.11	25.87	25.58	78200
2024-06-10	25.91	26.08	25.65	25.7	82400
2024-06-11	26.06	26.06	25.7	25.52	47600
2024-06-12	26.09	26.2	25.89	25.62	55000
2024-06-13	26.05	26.17	25.93	25.81	44600
2024-06-14	26.15	26.19	25.91	25.72	34800
2024-06-17	26.05	26.07	25.87	25.6	54700
2024-06-18	25.98	25.98	25.75	25.53	36100
2024-06-20	25.98	26.09	25.8	25.55	63100
2024-06-21	26.06	26.33	26.03	25.91	43500
2024-06-24	26.59	26.85	26.47	26.25	76500
2024-06-25	26.92	27.15	26.8	26.6	78400
2024-06-26	26.9	26.9	26.4	26.14	55800
2024-06-27	26.62	26.7	26.5	26.33	36400
2024-06-28	26.75	26.81	26.6	26.28	34000
2024-07-01	26.93	27.2	26.93	26.74	46400
2024-07-02	26.91	26.91	26.57	26.41	75100
2024-07-03	26.79	27.0	26.33	26.16	69000
2024-07-05	26.8	27.18	26.77	26.75	34700
2024-07-08	27.2	27.44	27.19	26.91	70300
2024-07-09	27.2	27.3	26.94	26.92	65600
2024-07-10	27.29	27.69	27.26	27.31	45600
2024-07-11	27.77	28.18	27.77	27.52	31700
2024-07-12	28.17	28.51	28.14	28.02	94600
2024-07-15	28.6	28.66	28.35	28.1	66300
2024-07-16	28.54	28.62	28.41	28.1	31300
2024-07-17	27.87	27.94	27.61	27.31	69900
2024-07-18	27.76	27.76	26.55	26.4	119500
2024-07-19	26.93	27.11	26.77	26.48	40100
2024-07-22	27.08	27.2	26.92	26.77	30600
2024-07-23	27.17	27.33	26.99	26.83	43300
2024-07-24	27.19	27.19	26.92	26.64	52600
2024-07-25	27.36	27.36	26.76	26.65	42600
2024-07-26	27.14	27.31	27.07	26.72	30400
2024-07-29	27.14	27.25	26.78	26.55	34400
2024-07-30	27.13	27.19	26.38	26.3	57200
2024-07-31	27.08	27.25	26.86	26.71	17100
2024-08-01	27.28	27.41	26.9	26.73	38200
2024-08-02	26.72	26.72	26.21	26.15	32400
2024-08-05	25.23	26.15	25.17	25.38	78900
2024-08-06	25.99	26.46	25.9	25.81	25600
2024-08-07	25.89	25.89	25.25	24.99	55800
2024-08-08	26.34	26.65	26.11	26.2	36200
2024-08-09	26.83	27.24	26.83	26.78	35200
2024-08-12	27.22	27.22	26.9	26.63	22900
2024-08-13	27.19	27.5	27.17	27.09	18300
2024-08-14	27.51	27.7	27.35	27.3	14500
2024-08-15	27.99	28.04	27.81	27.63	21100
2024-08-16	28.03	28.12	27.91	27.66	25700
2024-08-19	28.07	28.59	28.05	28.2	19800
2024-08-20	28.64	28.87	28.44	28.3	50800
2024-08-21	28.86	28.86	28.4	28.32	46700
2024-08-22	28.93	28.98	28.55	28.26	25100
2024-08-23	28.7	28.82	28.56	28.42	34400
2024-08-26	28.75	28.75	28.58	28.32	25900
2024-08-27	28.66	28.68	28.41	28.29	12900
2024-08-28	28.6	28.6	28.27	28.09	29800
2024-08-29	28.65	28.82	28.55	28.24	10200
2024-08-30	28.63	28.88	28.55	28.45	11300
2024-09-03	28.68	28.78	28.15	27.79	28700
2024-09-04	27.94	28.22	27.91	27.77	18600
2024-09-05	27.89	27.89	27.42	27.13	26800
2024-09-06	27.8	27.82	27.2	27.06	21500
2024-09-09	27.54	27.74	27.47	27.11	14800
2024-09-10	27.45	27.78	27.31	27.34	13500
2024-09-11	27.93	28.31	27.48	27.89	23700
2024-09-12	28.38	28.5	28.17	28.03	44700
2024-09-13	28.57	28.69	28.4	28.24	23100
2024-09-16	28.8	28.82	28.57	28.31	27500
2024-09-17	28.54	28.58	28.25	27.93	25700
2024-09-18	28.33	28.64	28.07	27.76	17700
2024-09-19	28.7	28.74	28.5	28.28	23800
2024-09-20	28.46	28.55	28.34	28.08	18000
2024-09-23	28.53	28.53	28.01	27.69	20900
2024-09-24	28.18	28.22	27.81	27.79	35200
2024-09-25	28.23	28.32	28.05	27.71	9500
2024-09-26	28.3	28.3	28.01	27.69	9500
2024-09-27	27.86	27.87	27.56	27.26	26600
2024-09-30	27.5	27.75	27.37	27.22	23100
2024-10-01	27.52	27.52	27.21	26.96	14300
2024-10-02	27.27	27.48	27.01	27.02	31300
2024-10-03	27.09	27.22	27.0	26.65	37000
2024-10-04	27.15	27.27	27.03	26.82	24400
2024-10-07	28.48	29.05	28.42	28.63	600500
2024-10-08	28.95	29.21	28.72	28.32	19900
2024-10-09	28.5	28.7	28.44	28.26	9400
2024-10-10	28.63	28.63	28.23	28.09	8300
2024-10-11	28.38	28.94	28.35	28.51	11400
2024-10-14	28.6	28.85	28.56	28.29	11200
2024-10-15	28.63	28.63	28.3	28.0	10700
2024-10-16	28.31	28.6	28.2	28.21	18700
2024-10-17	28.69	28.73	28.36	28.07	14500
2024-10-18	28.56	28.84	28.56	28.44	9000
2024-10-21	28.84	28.84	28.39	28.18	23500
2024-10-22	28.39	28.39	28.2	27.9	8400
2024-10-23	28.12	28.15	27.95	27.58	8700
2024-10-24	28.15	28.31	28.12	27.81	7400
2024-10-25	28.36	28.48	28.26	27.92	8400
2024-10-28	28.46	28.46	28.14	27.92	12000
2024-10-29	28.07	28.34	28.07	27.91	13600
2024-10-30	27.09	27.89	26.9	27.26	66500
2024-10-31	27.09	27.55	27.03	26.97	23900
2024-11-01	27.54	27.72	27.27	26.94	26000
2024-11-04	27.37	27.49	27.14	26.95	24800
2024-11-05	27.22	27.3	26.92	26.92	29200
2024-11-06	27.57	27.57	26.74	26.53	52100
2024-11-07	26.89	27.15	26.85	26.61	46000
2024-11-08	27.13	27.54	27.13	27.16	26700
2024-11-11	27.6	27.74	27.36	27.11	27400
2024-11-12	27.11	27.4	26.91	26.72	40000
2024-11-13	27.09	27.34	26.78	26.63	22300
2024-11-14	27.05	27.05	26.54	26.21	140700
2024-11-15	26.15	26.15	25.27	24.94	63200
2024-11-18	25.14	25.14	24.55	24.39	56600
2024-11-19	24.73	25.13	24.63	24.69	32500
2024-11-20	25.27	25.57	25.15	25.22	27000
2024-11-21	25.45	25.57	25.22	24.94	16100
2024-11-22	25.46	25.95	25.46	25.55	18900
2024-11-25	26.19	26.42	26.14	25.84	32700
2024-11-26	26.61	26.61	26.28	26.14	27100
2024-11-27	26.7	26.7	26.4	26.27	17200
2024-11-29	26.58	26.93	26.56	26.31	5400
2024-12-02	27.03	27.03	26.67	26.43	11800
2024-12-03	26.82	27.03	26.82	26.61	61500
2024-12-04	26.98	27.45	26.98	26.79	24200
2024-12-05	27.13	27.2	26.94	26.65	14000
2024-12-06	27.06	27.43	27.06	26.89	10900
2024-12-09	27.02	27.26	27.0	26.8	20100
2024-12-10	27.01	27.01	26.55	26.2	20500
2024-12-11	26.73	26.8	26.52	26.34	13200
2024-12-12	26.86	26.86	26.32	25.98	23900
2024-12-13	26.29	26.29	26.01	25.81	21600
2024-12-16	26.14	26.46	26.09	25.74	45000
2024-12-17	26.11	26.36	26.1	25.91	15300
2024-12-18	26.01	26.01	25.22	24.9	19400
2024-12-19	25.3	25.3	25.01	24.84	13000
2024-12-20	24.6	24.86	24.33	24.11	34600
2024-12-23	24.67	24.89	24.48	24.55	43900
2024-12-24	24.82	24.82	24.6	24.39	14200
2024-12-26	24.6	24.99	24.6	24.55	26000
2024-12-27	24.88	24.94	24.68	24.46	15100
2024-12-30	24.54	24.54	24.23	23.97	59300
2024-12-31	24.25	24.41	24.14	24.08	51400
2025-01-02	24.54	24.66	24.36	24.15	10100
2025-01-03	24.5	24.61	24.5	24.27	6700
2025-01-06	24.55	24.57	24.29	24.04	48600
2025-01-07	24.31	24.63	24.24	23.96	19800
2025-01-08	24.21	24.37	24.16	24.06	8600
2025-01-10	24.44	24.45	24.07	23.92	14000
2025-01-13	23.81	24.02	23.69	23.72	17500
