Metric	Value
52WeekChange	0.42270815
SandP52WeekChange	0.27181315
address1	3000 Tannery Way
allTimeHigh	302.95
allTimeLow	6.513333
ask	288.07
askSize	1
auditRisk	1
averageAnalystRating	1.6 - Buy
averageDailyVolume10Day	10697620
averageDailyVolume3Month	8324363
averageVolume	8324363
averageVolume10days	10697620
beta	0.942
bid	259.27
bidSize	1
boardRisk	9
bookValue	13.361
city	Santa Clara
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Nikesh  Arora C.F.A.', 'age': 57, 'title': 'Chairman & CEO', 'yearBorn': 1968, 'fiscalYear': 2025, 'totalPay': 4878498, 'exercisedValue': 571435392, 'unexercisedValue': 118937248}, {'maxAge': 1, 'name': 'Mr. William D. Jenkins Jr.', 'age': 59, 'title': 'President', 'yearBorn': 1966, 'fiscalYear': 2025, 'totalPay': 1667655, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Nir  Zuk', 'age': 53, 'title': 'Founder Emeritus & Advisor', 'yearBorn': 1972, 'fiscalYear': 2025, 'totalPay': 854884, 'exercisedValue': 481172928, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Dipak  Golechha', 'age': 51, 'title': 'Executive VP & CFO', 'yearBorn': 1974, 'fiscalYear': 2025, 'totalPay': 1321720, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Lee  Klarich', 'age': 50, 'title': 'Executive VP, Chief Product Officer, CTO & Director', 'yearBorn': 1975, 'fiscalYear': 2025, 'totalPay': 1316720, 'exercisedValue': 186284272, 'unexercisedValue': 78033680}, {'maxAge': 1, 'name': 'Mr. Yuming  Mao', 'title': 'Founder & Chief Architect', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Josh D. Paul', 'age': 49, 'title': 'Senior VP & Chief Accounting Officer', 'yearBorn': 1976, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Meerah  Rajavel', 'age': 53, 'title': 'Chief Information Officer', 'yearBorn': 1972, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Hamza  Fodderwala', 'title': 'Senior VP of Investor Relations & Strategic Finance', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Bruce R. Byrd', 'title': 'Executive VP, General Counsel & Corporate Secretary', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	10
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	272.05
currentRatio	0.856
customPriceAlertConfidence	HIGH
dateShortInterest	1778803200
dayHigh	280.64
dayLow	269.4
debtToEquity	7.698
discount_to_intrinsic_value	-316.28
displayName	Palo Alto Networks
earningsCallTimestampEnd	1780432200
earningsCallTimestampStart	1780432200
earningsGrowth	0.605
earningsQuarterlyGrowth	0.618
earningsTimestamp	1780430400
earningsTimestampEnd	1787083200
earningsTimestampStart	1787083200
ebitda	1483500032
ebitdaMargins	0.13987
enterpriseToEbitda	148.797
enterpriseToRevenue	20.812
enterpriseValue	220739747840
epsCurrentYear	3.76834
epsForward	4.10707
epsTrailingTwelveMonths	1.14
eps_normalized_growth	0.5055298541019686
esgPopulated	False
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	199.0468
fiftyDayAverageChange	73.00319
fiftyDayAverageChangePercent	0.36676395
fiftyTwoWeekChangePercent	42.270817
fiftyTwoWeekHigh	302.95
fiftyTwoWeekHighChange	-30.900024
fiftyTwoWeekHighChangePercent	-0.10199711
fiftyTwoWeekLow	139.57
fiftyTwoWeekLowChange	132.47998
fiftyTwoWeekLowChangePercent	0.9492009
fiftyTwoWeekRange	139.57 - 302.95
financialCurrency	USD
firstTradeDateMilliseconds	1342791000000
floatShares	808154000
forwardEps	4.10707
forwardPE	66.23943
freeCashflow	3579375104
fullExchangeName	NasdaqGS
fullTimeEmployees	21491
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1780531200
graham_intrinsic_value	65.35
grossMargins	0.71963996
grossProfits	7632900096
hasPrePostMarketData	True
heldPercentInsiders	0.0076200003
heldPercentInstitutions	0.83236
impliedSharesOutstanding	815000000
industry	Software - Infrastructure
industryDisp	Software - Infrastructure
industryKey	software-infrastructure
ipoExpectedDate	2021-10-25
isEarningsDateEstimate	True
language	en-US
lastFiscalYearEnd	1753920000
lastSplitDate	1734307200
lastSplitFactor	2:1
longBusinessSummary	Palo Alto Networks, Inc. provides cybersecurity solutions in the Americas, Europe, the Middle East, Africa, the Asia Pacific, and Japan. It offers Prisma Access, a secure access service edge solution; Strata Cloud Manager, a network security management solution; and Prisma AIRS to protect customers' entire AI ecosystem. It provides a comprehensive cloud native application protection platform; and Code to Cloud platform, as well as offers VM-Series and CN-Series virtual firewalls for inline network security on multi- and hybrid-cloud environments. It provides security operation solutions through the Cortex platform that includes Cortex XSIAM, an AI-driven security operations platform; Cortex XDR to prevent, detect, and respond to cybersecurity attacks; and Cortex XSOAR for security orchestration, automation, and response; and Cortex Xpanse for attack surface management, as well as offers threat intelligence and advisory services under the Unit 42 name. It provides subscription services covering the areas of threat prevention, malware and persistent threat, URL filtering, laptop and mobile device protection, DNS security, Internet of Things security, SaaS security API, and SaaS security inline; and threat intelligence, data loss prevention, services to resolve network disruptions, and sensitive data protection. It offers professional services, including architecture design and planning, implementation, configuration, and firewall migration; education services, such as certifications, as well as online and in-classroom training; and support services. It sells its products and services through its channel partners, as well as directly to enterprises, service providers, and government entities operating in various industries, including education, energy, financial services, government entities, healthcare, Internet and media, manufacturing, public sector, and telecommunications. The company was incorporated in 2005 and is headquartered in Santa Clara, California.
longName	Palo Alto Networks, Inc.
market	us_market
marketCap	221720739840
marketState	CLOSED
maxAge	86400
messageBoardId	finmb_25460099
mostRecentQuarter	1777507200
netIncomeToCommon	842899968
nextFiscalYearEnd	1785456000
nonDilutedMarketCap	227588750000
numberOfAnalystOpinions	50
open	278.99
operatingCashflow	4216999936
operatingMargins	-0.02465
overallRisk	9
payoutRatio	0.0
pegRatio	4.64
phone	408 753 4000
postMarketChange	-3.5799866
postMarketChangePercent	-1.3159297
postMarketPrice	268.47
postMarketTime	1780703985
previousClose	279.25
priceEpsCurrentYear	72.19359
priceHint	2
priceToBook	20.3615
priceToSalesTrailing12Months	20.904232
profitMargins	0.07947
quickRatio	0.728
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	buy
recommendationMean	1.61818
region	US
regularMarketChange	-7.20001
regularMarketChangePercent	-2.57834
regularMarketDayHigh	280.64
regularMarketDayLow	269.4
regularMarketDayRange	269.4 - 280.64
regularMarketOpen	278.99
regularMarketPreviousClose	279.25
regularMarketPrice	272.05
regularMarketTime	1780689600
regularMarketVolume	7456423
returnOnAssets	0.017719999
returnOnEquity	0.048309997
revenueGrowth	0.311
revenuePerShare	14.834
sector	Technology
sectorDisp	Technology
sectorKey	technology
shareHolderRightsRisk	9
sharesOutstanding	815000000
sharesPercentSharesOut	0.0345
sharesShort	27988535
sharesShortPreviousMonthDate	1776211200
sharesShortPriorMonth	25811496
shortName	Palo Alto Networks, Inc.
shortPercentOfFloat	0.0348
shortRatio	3.85
sourceInterval	15
state	CA
symbol	PANW
targetHighPrice	375.0
targetLowPrice	162.34
targetMeanPrice	306.5608
targetMedianPrice	325.5
totalCash	3111000064
totalCashPerShare	3.817
totalDebt	2130000000
totalRevenue	10606499840
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingEps	1.14
trailingPE	238.64035
trailingPegRatio	4.6368
triggerable	True
twoHundredDayAverage	191.16205
twoHundredDayAverageChange	80.88794
twoHundredDayAverageChangePercent	0.42313805
typeDisp	Equity
volume	7456423
website	https://www.paloaltonetworks.com
zip	95054
