Metric	Value
52WeekChange	-0.13092554
SandP52WeekChange	0.19172049
address1	One Vanderbilt Avenue
address2	60th Floor
allTimeHigh	90.0
allTimeLow	9.2
ask	11.72
askSize	10700
auditRisk	2
averageAnalystRating	2.8 - Hold
averageDailyVolume10Day	56573650
averageDailyVolume3Month	39067629
averageVolume	39067629
averageVolume10days	56573650
beta	0.968
bid	11.71
bidSize	15500
boardRisk	8
bookValue	3.656
city	New York
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Daniel Solomon Dines', 'age': 53, 'title': 'Co-Founder, CEO, & Executive Chairman of the Board', 'yearBorn': 1972, 'fiscalYear': 2026, 'totalPay': 1347430, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Ashim  Gupta', 'age': 46, 'title': 'CFO & COO', 'yearBorn': 1979, 'fiscalYear': 2026, 'totalPay': 1153805, 'exercisedValue': 2407421, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Brad C. Brubaker J.D.', 'age': 61, 'title': 'General Counsel, Chief Legal Officer & Secretary', 'yearBorn': 1964, 'fiscalYear': 2026, 'totalPay': 804417, 'exercisedValue': 0, 'unexercisedValue': 2872030}, {'maxAge': 1, 'name': 'Hitesh  Ramani', 'title': 'Deputy CFO & Chief Accounting Officer', 'fiscalYear': 2026, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Raghavendra  Malpani', 'age': 47, 'title': 'Chief Product & Technology Officer', 'yearBorn': 1978, 'fiscalYear': 2026, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Allise  Furlani', 'title': 'Senior Director of Investor Relations', 'fiscalYear': 2026, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Michael  Atalla', 'title': 'Chief Marketing Officer', 'fiscalYear': 2026, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Agi  Garaba', 'title': 'Chief People Officer', 'fiscalYear': 2026, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Andreea  Baciu', 'title': 'Chief Culture Officer', 'fiscalYear': 2026, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Brandon  Deer', 'title': 'Chief Strategy Officer', 'fiscalYear': 2026, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1798675200
compensationRisk	6
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	11.69
currentRatio	2.307
customPriceAlertConfidence	HIGH
dateShortInterest	1781481600
dayHigh	11.775
dayLow	11.3
debtToEquity	4.362
displayName	UiPath
earningsCallTimestampEnd	1780002000
earningsCallTimestampStart	1780002000
earningsGrowth	1.057
earningsQuarterlyGrowth	1.017
earningsTimestamp	1779998400
earningsTimestampEnd	1779998400
earningsTimestampStart	1779998400
ebitda	123626000
ebitdaMargins	0.073920004
enterpriseToEbitda	38.504
enterpriseToRevenue	2.846
enterpriseValue	4760048128
epsCurrentYear	0.78515
epsForward	0.90702
epsTrailingTwelveMonths	0.6
esgPopulated	False
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	10.7414
fiftyDayAverageChange	0.9485998
fiftyDayAverageChangePercent	0.08831249
fiftyTwoWeekChangePercent	-13.092554
fiftyTwoWeekHigh	19.84
fiftyTwoWeekHighChange	-8.150001
fiftyTwoWeekHighChangePercent	-0.41078633
fiftyTwoWeekLow	9.2
fiftyTwoWeekLowChange	2.4899998
fiftyTwoWeekLowChangePercent	0.27065215
fiftyTwoWeekRange	9.2 - 19.84
financialCurrency	USD
