Metric	Value
allTimeHigh	56.74
allTimeLow	9.77
ask	50.69
askSize	600
averageDailyVolume10Day	1846140
averageDailyVolume3Month	1685960
averageVolume	1685960
averageVolume10days	1846140
beta3Year	1.49
bid	49.1
bidSize	500
category	Infrastructure
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	50.12
dayLow	48.625
dividendYield	0.8
epsTrailingTwelveMonths	1.900605
esgPopulated	False
exchange	BTS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	52.5439
fiftyDayAverageChange	-3.523899
fiftyDayAverageChangePercent	-0.067065805
fiftyTwoWeekChangePercent	24.764574
fiftyTwoWeekHigh	56.74
fiftyTwoWeekHighChange	-7.720001
fiftyTwoWeekHighChangePercent	-0.13605924
fiftyTwoWeekLow	32.65
fiftyTwoWeekLowChange	16.369999
fiftyTwoWeekLowChangePercent	0.5013782
fiftyTwoWeekRange	32.65 - 56.74
firstTradeDateMilliseconds	1488983400000
fiveYearAverageReturn	0.1594204
fullExchangeName	Cboe US
fundFamily	Global X Funds
fundInceptionDate	1488758400
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index is designed to measure the performance of U.S. listed companies that provide exposure to domestic infrastructure development, including companies involved in construction and engineering; production of infrastructure raw materials, composites and products; industrial transportation; and producers/distributors of heavy construction equipment.
longName	Global X U.S. Infrastructure Development ETF
market	us_market
marketState	CLOSED
maxAge	86400
messageBoardId	finmb_415556335
navPrice	49.01
netAssets	12429091800.0
netExpenseRatio	0.47
open	49.86
phone	+1 8884938631
postMarketChange	0.90999985
postMarketChangePercent	1.8563849
postMarketPrice	49.93
postMarketTime	1774050803
previousClose	49.99
priceHint	2
quoteSourceName	Delayed Quote
quoteType	ETF
region	US
regularMarketChange	-0.970001
regularMarketChangePercent	-1.94039
regularMarketDayHigh	50.12
regularMarketDayLow	48.625
regularMarketDayRange	48.625 - 50.12
regularMarketOpen	49.86
regularMarketPreviousClose	49.99
regularMarketPrice	49.02
regularMarketTime	1774036800
regularMarketVolume	1382336
shortName	Global X U.S. Infrastructure De
sourceInterval	15
symbol	PAVE
threeYearAverageReturn	0.22723271
totalAssets	12429091840
tradeable	False
trailingPE	25.791788
trailingPegRatio	None
trailingThreeMonthNavReturns	14.33597
trailingThreeMonthReturns	14.33597
triggerable	True
twoHundredDayAverage	48.03275
twoHundredDayAverageChange	0.9872513
twoHundredDayAverageChangePercent	0.020553712
typeDisp	ETF
volume	1382336
yield	0.008
ytdReturn	15.32342
