Metric	Value
allTimeHigh	26.22
allTimeLow	16.21
ask	18.57
askSize	19000
averageDailyVolume10Day	812580
averageDailyVolume3Month	672072
averageVolume	672072
averageVolume10days	812580
beta3Year	1.06
bid	18.56
bidSize	12100
category	Preferred Stock
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	18.59
dayLow	18.545
dividendYield	6.48
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	18.6606
fiftyDayAverageChange	-0.09060097
fiftyDayAverageChangePercent	-0.004855201
fiftyTwoWeekChangePercent	-3.983444
fiftyTwoWeekHigh	19.89
fiftyTwoWeekHighChange	-1.3199997
fiftyTwoWeekHighChangePercent	-0.066364996
fiftyTwoWeekLow	18.215
fiftyTwoWeekLowChange	0.35499954
fiftyTwoWeekLowChangePercent	0.019489406
fiftyTwoWeekRange	18.215 - 19.89
firstTradeDateMilliseconds	1505395800000
fiveYearAverageReturn	-0.0046608998
fullExchangeName	NYSEArca
fundFamily	Global X Funds
fundInceptionDate	1505088000
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund invests at least 80% of its total assets in the securities of its underlying index. It also invests at least 80% of its total assets in preferred securities that are domiciled in, principally traded in or whose revenues are primarily from the U.S. The underlying index is designed to track the broad-based performance of the U.S. preferred securities market.
longName	Global X U.S. Preferred ETF
market	us_market
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_528855653
navPrice	18.56
netAssets	2164987900.0
netExpenseRatio	0.23
open	18.58
phone	+1 8884938631
postMarketChange	0.0
postMarketChangePercent	0.0
postMarketPrice	18.57
postMarketTime	1786491246
previousClose	18.56
priceHint	2
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	0.0100002
regularMarketChangePercent	0.0538805
regularMarketDayHigh	18.59
regularMarketDayLow	18.545
regularMarketDayRange	18.545 - 18.59
regularMarketOpen	18.58
regularMarketPreviousClose	18.56
regularMarketPrice	18.57
regularMarketTime	1786478400
regularMarketVolume	407796
shortName	Global X U.S. Preferred ETF
sourceInterval	15
symbol	PFFD
threeYearAverageReturn	0.054237098
totalAssets	2164987904
tradeable	False
trailingPegRatio	None
trailingThreeMonthNavReturns	-1.27618
trailingThreeMonthReturns	-1.27618
triggerable	True
twoHundredDayAverage	18.94015
twoHundredDayAverageChange	-0.3701496
twoHundredDayAverageChangePercent	-0.01954312
typeDisp	ETF
volume	407796
yield	0.0648
ytdReturn	0.87851
