Metric	Value
52WeekChange	0.3633784
SandP52WeekChange	0.19786096
address1	Pier 1, Bay 1
allTimeHigh	174.54
allTimeLow	8.73
ask	144.55
askSize	200
auditRisk	2
averageAnalystRating	2.0 - Buy
averageDailyVolume10Day	4887900
averageDailyVolume3Month	3944290
averageVolume	3944290
averageVolume10days	4887900
beta	1.324
bid	138.29
bidSize	300
boardRisk	4
bookValue	57.578
city	San Francisco
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Hamid R. Moghadam', 'age': 68, 'title': 'Co-Founder & Executive Chairman', 'yearBorn': 1957, 'fiscalYear': 2025, 'totalPay': 1630001, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Daniel Stephen Letter', 'age': 47, 'title': 'CEO & Director', 'yearBorn': 1978, 'fiscalYear': 2025, 'totalPay': 2689635, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Timothy D. Arndt', 'age': 51, 'title': 'Chief Financial Officer', 'yearBorn': 1974, 'fiscalYear': 2025, 'totalPay': 2073192, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Carter H. Andrus', 'age': 45, 'title': 'Chief Operating Officer', 'yearBorn': 1980, 'fiscalYear': 2025, 'totalPay': 1655500, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Deborah K. Briones', 'age': 53, 'title': 'Chief Legal Officer & General Counsel', 'yearBorn': 1972, 'fiscalYear': 2025, 'totalPay': 1279635, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Jane  Wu', 'title': 'China Board Chairperson', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Trisha  Burns', 'age': 43, 'title': 'Chief Accounting Officer', 'yearBorn': 1982, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Sineesh  Keshav', 'title': 'Chief Technical Officer & Chief Technology Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Nathaalie  Carey', 'title': 'Chief Administrative Officer & Chief Human Resources Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Justin  Meng', 'title': 'Senior VP & Head of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	9
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	140.76
currentRatio	0.649
customPriceAlertConfidence	HIGH
dateShortInterest	1784073600
dayHigh	141.51
dayLow	138.55
debtToEquity	63.823
discount_to_intrinsic_value	42.76
displayName	Prologis
dividendDate	1782777600
dividendRate	4.28
dividendYield	2.97
earningsCallTimestampEnd	1784217600
earningsCallTimestampStart	1784217600
earningsGrowth	0.853
earningsQuarterlyGrowth	0.859
earningsTimestamp	1784205000
earningsTimestampEnd	1791981000
earningsTimestampStart	1791981000
ebitda	6737149952
ebitdaMargins	0.69761
enterpriseToEbitda	25.87
enterpriseToRevenue	18.047
enterpriseValue	174287683584
epsCurrentYear	3.33
epsForward	3.43667
epsTrailingTwelveMonths	4.49
eps_normalized_growth	0.9720761803068716
esgPopulated	False
exDividendDate	1781568000
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fax	415 394 9001
fiftyDayAverage	143.929
fiftyDayAverageChange	-3.1690063
fiftyDayAverageChangePercent	-0.022017844
fiftyTwoWeekChangePercent	36.33784
fiftyTwoWeekHigh	153.35
fiftyTwoWeekHighChange	-12.590012
fiftyTwoWeekHighChangePercent	-0.08209985
fiftyTwoWeekLow	103.41
fiftyTwoWeekLowChange	37.34999
fiftyTwoWeekLowChangePercent	0.36118352
fiftyTwoWeekRange	103.41 - 153.35
financialCurrency	USD
firstTradeDateMilliseconds	880122600000
fiveYearAvgDividendYield	2.75
floatShares	928541251
forwardEps	3.43667
forwardPE	40.958252
freeCashflow	5406941184
fullExchangeName	NYSE
fullTimeEmployees	2802
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1785542400
graham_intrinsic_value	245.9
grossMargins	0.75549006
grossProfits	7296171008
hasPrePostMarketData	True
heldPercentInsiders	0.00266
heldPercentInstitutions	0.97619003
impliedSharesOutstanding	954841372
industry	REIT - Industrial
industryDisp	REIT - Industrial
industryKey	reit-industrial
irWebsite	http://ir.prologis.com/index.cfm?discAccept=true
isEarningsDateEstimate	False
language	en-US
lastDividendDate	1781568000
lastDividendValue	1.07
lastFiscalYearEnd	1767139200
longBusinessSummary	Prologis, Inc. is a self-administered and self-managed REIT and is the sole general partner of Prologis, L.P. through which it holds substantially all of its assets. We operate Prologis, Inc. and Prologis, L.P. as one enterprise and, therefore, our discussion and analysis refer to Prologis, Inc. and its consolidated subsidiaries, including Prologis, L.P. We invest in real estate through wholly owned subsidiaries and other entities through which we co-invest with partners and investors (co-investment ventures). We have a significant ownership interest in the co-investment ventures, which are either consolidated or unconsolidated based on our level of control of the entity. Prologis, Inc. began operating as a fully integrated real estate company in 1997 and elected to be taxed as a REIT under the Internal Revenue Code of 1986, as amended (Internal Revenue Code or IRC). We believe the current organization and method of operation enable Prologis, Inc. to maintain its status as a REIT. Prologis, L.P. was also formed in 1997. We operate, manage and measure the operating performance of our properties on an owned and managed (O&M) basis. Our O&M portfolio includes our consolidated properties as well as properties owned by our unconsolidated co investment ventures, which we manage. We make operating decisions based on our total O&M portfolio as we manage the properties without regard to their ownership. Prologis, Inc. was incorporated in 1983 in Maryland and is based in San Francisco, California.
longName	Prologis, Inc.
market	us_market
marketCap	134403465216
marketState	POST
maxAge	86400
messageBoardId	finmb_330123
mostRecentQuarter	1782777600
netIncomeToCommon	4202444032
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	134932120360
numberOfAnalystOpinions	14
open	139.8
operatingCashflow	5240974848
operatingMargins	0.43030998
overallRisk	7
payoutRatio	0.9265
pegRatio	133.43
phone	415 394 9000
postMarketChange	0.6399994
postMarketChangePercent	0.4546742
postMarketPrice	141.4
postMarketTime	1785970971
previousClose	139.05
priceEpsCurrentYear	42.27027
priceHint	2
priceToBook	2.4446838
priceToSalesTrailing12Months	13.917042
profitMargins	0.43575
quickRatio	0.488
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	buy
recommendationMean	2.0
region	US
regularMarketChange	1.70999
regularMarketChangePercent	1.22977
regularMarketDayHigh	141.51
regularMarketDayLow	138.55
regularMarketDayRange	138.55 - 141.51
regularMarketOpen	139.8
regularMarketPreviousClose	139.05
regularMarketPrice	140.76
regularMarketTime	1785960003
regularMarketVolume	13246019
returnOnAssets	0.02516
returnOnEquity	0.07749
revenueGrowth	0.123
revenuePerShare	10.378
sector	Real Estate
sectorDisp	Real Estate
sectorKey	real-estate
shareHolderRightsRisk	3
sharesOutstanding	933083372
sharesPercentSharesOut	0.014400001
sharesShort	13453134
sharesShortPreviousMonthDate	1781481600
sharesShortPriorMonth	15952780
shortName	Prologis, Inc.
shortPercentOfFloat	0.0165
shortRatio	3.32
sourceInterval	15
state	CA
symbol	PLD
targetHighPrice	170.0
targetLowPrice	140.0
targetMeanPrice	157.92857
targetMedianPrice	160.5
totalCash	1766716032
totalCashPerShare	1.893
totalDebt	37093756928
totalRevenue	9657474048
tradeable	False
trailingAnnualDividendRate	4.16
trailingAnnualDividendYield	0.029917294
trailingEps	4.49
trailingPE	31.349667
trailingPegRatio	133.4348
triggerable	True
twoHundredDayAverage	135.43875
twoHundredDayAverageChange	5.3212433
twoHundredDayAverageChangePercent	0.039288927
typeDisp	Equity
volume	13246019
website	https://www.prologis.com
zip	94111
