Metric	Value
52WeekChange	-0.02136439
SandP52WeekChange	0.3206551
address1	5775 Morehouse Drive
allTimeHigh	230.63
allTimeLow	0.390625
ask	140.14
askSize	1
auditRisk	2
averageAnalystRating	2.6 - Hold
averageDailyVolume10Day	9439140
averageDailyVolume3Month	11436316
averageVolume	11436316
averageVolume10days	9439140
beta	1.279
bid	126.55
bidSize	1
boardRisk	3
bookValue	21.483
city	San Diego
