Metric	Value
allTimeHigh	748.65
allTimeLow	19.76
ask	717.49
askSize	1
averageDailyVolume10Day	34233320
averageDailyVolume3Month	43214711
averageVolume	43214711
averageVolume10days	34233320
beta3Year	1.26
bid	717.24
bidSize	1
bookValue	357.774
category	Large Growth
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	734.39
dayLow	728.32
dividendYield	0.44
epsTrailingTwelveMonths	23.386223
esgPopulated	False
exchange	NGM
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	712.9502
fiftyDayAverageChange	18.119812
fiftyDayAverageChangePercent	0.025415257
fiftyTwoWeekChangePercent	26.677752
fiftyTwoWeekHigh	748.65
fiftyTwoWeekHighChange	-17.580017
fiftyTwoWeekHighChangePercent	-0.023482291
fiftyTwoWeekLow	555.6
fiftyTwoWeekLowChange	175.47003
fiftyTwoWeekLowChangePercent	0.3158208
fiftyTwoWeekRange	555.6 - 748.65
financialCurrency	USD
firstTradeDateMilliseconds	921076200000
fiveYearAverageReturn	0.1535239
fullExchangeName	NasdaqGM
fundFamily	Invesco
fundInceptionDate	921024000
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	To maintain the correspondence between the composition and weights of the securities in the trust (the "securities") and the stocks in the NASDAQ-100 Index®, the adviser adjusts the securities from time to time to conform to periodic changes in the identity and/or relative weights of index securities. The composition and weighting of the securities portion of a portfolio deposit are also adjusted to conform to changes in the index.
longName	Invesco QQQ Trust
market	us_market
marketCap	258482896896
marketState	CLOSED
maxAge	86400
messageBoardId	finmb_8108558
navPrice	731.01
netAssets	452800643000.0
netExpenseRatio	0.18
open	733.26
postMarketChange	-0.22003174
postMarketChangePercent	-0.030097218
postMarketPrice	730.85
postMarketTime	1786751999
previousClose	732.07
priceHint	2
priceToBook	2.043385
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	-1.0
regularMarketChangePercent	-0.136599
regularMarketDayHigh	734.39
regularMarketDayLow	728.32
regularMarketDayRange	728.32 - 734.39
regularMarketOpen	733.26
regularMarketPreviousClose	732.07
regularMarketPrice	731.07
regularMarketTime	1786737600
regularMarketVolume	23485289
sharesOutstanding	393100000
shortName	Invesco QQQ Trust, Series 1
sourceInterval	15
symbol	QQQ
threeYearAverageReturn	0.2616715
totalAssets	452800643072
tradeable	False
trailingAnnualDividendRate	1.77
trailingAnnualDividendYield	0.0024178014
trailingPE	31.260714
trailingPegRatio	None
trailingThreeMonthNavReturns	3.11909
trailingThreeMonthReturns	3.11909
triggerable	True
twoHundredDayAverage	650.6202
twoHundredDayAverageChange	80.44983
twoHundredDayAverageChangePercent	0.12365099
typeDisp	ETF
volume	23485289
yield	0.0044
ytdReturn	12.25467
