Metric	Value
52WeekChange	3.336484
SandP52WeekChange	0.27181315
address1	3881 McGowen Street
allTimeHigh	151.0
allTimeLow	3.47
ask	130.73
askSize	2
auditRisk	7
averageAnalystRating	1.6 - Buy
averageDailyVolume10Day	28362290
averageDailyVolume3Month	25656249
averageVolume	25656249
averageVolume10days	28362290
beta	2.313
bid	111.67
bidSize	2
boardRisk	9
bookValue	3.933
city	Long Beach
companyOfficers	[{'maxAge': 1, 'name': 'Sir Peter  Beck', 'age': 47, 'title': 'Founder, Chairman, President & CEO', 'yearBorn': 1978, 'fiscalYear': 2025, 'totalPay': 800000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Adam C. Spice', 'age': 56, 'title': 'CFO & Treasurer', 'yearBorn': 1969, 'fiscalYear': 2025, 'totalPay': 455090, 'exercisedValue': 86072888, 'unexercisedValue': 223462896}, {'maxAge': 1, 'name': 'Mr. Frank  Klein', 'age': 52, 'title': 'Chief Operations Officer', 'yearBorn': 1973, 'fiscalYear': 2025, 'totalPay': 426025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Arjun L. Kampani J.D.', 'age': 53, 'title': 'Senior VP, General Counsel & Corporate Secretary', 'yearBorn': 1972, 'fiscalYear': 2025, 'totalPay': 447460, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Morgan  Bailey Connaughton', 'title': 'Vice President of Marketing & Communications', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Connie  Lundgren', 'title': 'Vice President of People & Culture', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': "Mr. Shaun  O'Donnell", 'age': 46, 'title': 'Chief Engineer of Special Projects', 'yearBorn': 1979, 'fiscalYear': 2025, 'totalPay': 326541, 'exercisedValue': 0, 'unexercisedValue': 4620073}, {'maxAge': 1, 'name': 'Mr. Ehson  Mosleh', 'title': 'Space Systems Chief Engineer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Murielle  Baker', 'title': 'Senior Communications Manager', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Stephen N. Ananias', 'age': 50, 'title': 'Vice President of Finance', 'yearBorn': 1975, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	9
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	119.95
currentRatio	4.475
customPriceAlertConfidence	HIGH
dateShortInterest	1778803200
dayHigh	122.63
dayLow	110.39
debtToEquity	6.124
displayName	Rocket Lab
earningsCallTimestampEnd	1778187600
earningsCallTimestampStart	1778187600
earningsTimestamp	1778184000
earningsTimestampEnd	1786046400
earningsTimestampStart	1786046400
ebitda	-164831008
ebitdaMargins	-0.24254999
enterpriseToEbitda	-413.615
enterpriseToRevenue	100.322
enterpriseValue	68176506880
epsCurrentYear	-0.12436
epsForward	-0.01102
epsTrailingTwelveMonths	-0.32
esgPopulated	False
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
exchangeTransferDate	2026-05-15
executiveTeam	[]
fiftyDayAverage	94.316
fiftyDayAverageChange	25.633995
fiftyDayAverageChangePercent	0.2717884
fiftyTwoWeekChangePercent	333.6484
fiftyTwoWeekHigh	151.0
fiftyTwoWeekHighChange	-31.050003
fiftyTwoWeekHighChangePercent	-0.20562916
fiftyTwoWeekLow	25.24
fiftyTwoWeekLowChange	94.71
fiftyTwoWeekLowChangePercent	3.7523773
fiftyTwoWeekRange	25.24 - 151.0
financialCurrency	USD
firstTradeDateMilliseconds	1606228200000
floatShares	534152439
forwardEps	-0.01102
forwardPE	-10884.755
freeCashflow	-214999376
fullExchangeName	NasdaqGS
fullTimeEmployees	2600
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1780531200
grossMargins	0.36556
grossProfits	248427008
hasPrePostMarketData	True
heldPercentInsiders	0.00835
