Date	Open	High	Low	Close	Volume
2018-01-02	80.49	81.11	80.03	66.37	4918591
2018-01-03	81.49	81.94	81.38	67.34	7958983
2018-01-04	82.33	82.36	81.94	67.55	5820666
2018-01-05	82.5	83.3	82.1	68.13	5835444
2018-01-08	85.08	85.46	83.2	68.78	10526807
2018-01-09	83.9	84.62	83.72	69.53	6724489
2018-01-10	84.41	85.27	84.17	69.86	5216528
2018-01-11	84.8	85.75	84.8	69.91	7633874
2018-01-12	85.34	85.95	85.1	70.73	8285523
2018-01-16	86.68	86.68	84.25	69.38	8288065
2018-01-17	84.75	84.93	83.67	69.61	6219028
2018-01-18	84.68	85.37	84.56	69.71	5098465
2018-01-19	85.0	85.53	84.64	70.38	5140892
2018-01-22	84.94	85.25	84.08	70.02	6520938
2018-01-23	85.48	85.89	84.64	70.44	9101156
2018-01-24	84.97	87.09	84.34	70.26	8806238
2018-01-25	86.11	87.03	85.59	71.33	7217874
2018-01-26	86.95	87.16	86.02	71.45	5090520
2018-01-29	86.88	87.63	85.91	70.78	5530356
2018-01-30	85.59	86.24	85.15	70.69	5675590
2018-01-31	86.29	87.05	85.93	71.47	9389719
2018-02-01	86.21	87.48	85.92	71.63	6674277
2018-02-02	86.49	86.81	84.58	69.71	7443988
2018-02-05	84.0	84.42	79.23	65.89	10984757
2018-02-06	78.14	81.69	77.56	67.22	13781079
2018-02-07	81.43	83.91	81.22	68.34	12563270
2018-02-08	82.98	83.3	80.16	66.02	11691068
2018-02-09	81.28	81.84	76.91	64.75	19253277
2018-02-12	77.45	80.88	77.41	65.96	15172249
2018-02-13	79.52	79.9	78.65	65.13	8052258
2018-02-14	78.65	79.8	78.01	65.61	11043073
2018-02-15	80.55	81.84	80.42	67.7	7240596
2018-02-16	81.77	82.45	81.13	67.31	7602888
2018-02-20	81.03	81.35	79.22	65.85	7364856
2018-02-21	79.75	82.57	79.6	67.31	12340333
2018-02-22	82.32	84.7	82.32	69.56	12827679
2018-02-23	84.69	84.91	82.68	69.34	7316709
2018-02-26	84.22	85.36	84.18	70.54	7548386
2018-02-27	85.36	85.74	84.25	69.73	6848431
2018-02-28	84.41	87.16	84.33	70.16	14665993
2018-03-01	85.08	85.4	81.67	67.85	10061230
2018-03-02	81.32	82.0	80.74	67.66	9265618
2018-03-05	81.38	83.32	80.57	68.59	7570791
2018-03-06	83.2	83.3	82.01	68.53	4830878
2018-03-07	81.72	82.61	81.63	68.18	4718059
2018-03-08	82.91	83.13	81.58	68.35	6279092
2018-03-09	82.95	84.45	82.76	69.81	6629308
2018-03-12	84.77	84.77	82.5	68.48	5778716
2018-03-13	83.37	83.39	81.51	67.77	6134335
2018-03-14	82.13	82.44	80.65	67.48	5154080
2018-03-15	81.91	82.17	80.47	67.3	4779076
2018-03-16	81.32	81.71	80.42	66.83	11507220
2018-03-19	80.55	81.15	79.38	66.24	6069662
2018-03-20	80.08	80.98	79.81	66.22	4472717
2018-03-21	80.01	80.87	79.52	66.13	5542273
2018-03-22	79.33	79.89	77.99	64.61	7916239
2018-03-23	78.16	78.75	76.87	63.69	6138148
2018-03-26	78.0	79.84	77.68	65.95	18321011
2018-03-27	79.84	80.67	78.26	65.24	14319115
2018-03-28	79.24	79.31	78.02	64.81	4961017
2018-03-29	78.6	79.7	78.28	65.52	4509423
2018-04-02	79.07	79.3	76.28	64.3	10481839
2018-04-03	77.78	78.69	77.2	65.04	6045351
2018-04-04	76.22	79.23	75.93	65.49	11538047
2018-04-05	79.58	79.67	78.64	65.49	6481372
2018-04-06	78.4	79.13	76.91	63.93	7077724
2018-04-09	77.94	78.28	76.84	63.64	5649531
2018-04-10	78.06	78.24	76.99	64.03	6561299
2018-04-11	76.95	77.6	76.71	63.76	4164610
2018-04-12	77.43	77.95	77.28	64.18	5136125
2018-04-13	77.9	78.04	76.68	63.9	5512241
2018-04-16	77.97	78.06	77.31	64.47	5573259
2018-04-17	78.49	79.26	78.13	64.85	6679203
2018-04-18	78.93	78.94	78.14	64.99	6561299
2018-04-19	78.48	79.02	77.5	64.49	7665495
2018-04-20	78.58	78.58	77.09	64.09	8543894
2018-04-23	77.48	77.73	77.09	64.29	5212873
2018-04-24	79.61	80.12	76.02	63.58	12952734
2018-04-25	76.94	77.41	75.12	63.24	7501510
2018-04-26	76.46	78.19	76.04	63.96	5698154
2018-04-27	76.96	77.25	76.15	63.77	4609848
2018-04-30	77.11	77.28	75.61	62.57	7058497
2018-05-01	75.52	75.68	73.66	61.95	6588471
2018-05-02	74.86	75.39	74.37	61.71	4859321
2018-05-03	73.96	74.6	72.62	61.29	8062745
2018-05-04	73.9	75.61	73.42	62.23	10399369
2018-05-07	75.37	76.44	75.31	62.95	4596500
2018-05-08	76.15	76.67	75.95	63.42	4867902
2018-05-09	77.07	77.54	76.66	64.11	5643810
2018-05-10	77.7	78.22	77.41	64.62	3715718
2018-05-11	77.99	78.61	77.74	64.82	4318108
2018-05-14	78.28	79.07	78.22	65.08	7024016
2018-05-15	78.23	78.51	77.7	64.86	5377971
2018-05-16	78.68	78.72	78.11	64.98	5861821
2018-05-17	78.34	78.68	77.91	65.25	5290893
2018-05-18	78.41	78.92	78.14	65.56	3670749
2018-05-21	79.28	80.76	79.28	67.06	7470048
2018-05-22	80.72	81.2	80.33	66.96	6296730
2018-05-23	79.82	80.38	79.35	66.81	6370142
2018-05-24	80.11	80.46	79.67	66.72	2916292
2018-05-25	80.21	80.35	79.63	66.52	2749129
2018-05-29	79.4	79.66	78.41	65.52	4411223
2018-05-30	78.93	79.7	78.83	66.09	4421551
2018-05-31	79.16	79.24	78.18	65.36	5430249
2018-06-01	79.26	79.64	78.84	65.88	4258361
2018-06-04	79.55	80.07	79.3	66.13	5114991
2018-06-05	79.31	79.82	78.75	65.96	3450196
2018-06-06	79.65	79.81	79.2	66.41	4674202
2018-06-07	79.82	80.35	79.81	66.81	3993952
2018-06-08	79.88	80.36	79.77	66.83	4388500
2018-06-11	80.27	80.94	80.26	67.12	6155945
2018-06-12	80.94	81.03	80.14	66.95	3989661
2018-06-13	80.52	80.65	79.82	66.47	4458893
2018-06-14	80.14	80.39	79.48	66.47	6260819
2018-06-15	79.91	80.16	78.98	66.46	11852033
2018-06-18	79.64	80.3	79.35	66.76	6185024
2018-06-19	79.95	79.95	78.5	65.49	9243054
2018-06-20	78.97	79.11	78.46	65.65	6264950
2018-06-21	78.78	78.78	77.52	64.66	7310353
2018-06-22	78.36	78.75	78.11	65.39	6050912
2018-06-25	77.91	78.53	77.68	65.25	10027067
2018-06-26	78.66	79.5	78.14	65.79	8867573
2018-06-27	79.54	80.16	78.25	65.12	8265501
2018-06-28	78.06	78.67	77.71	65.25	5215893
2018-06-29	78.58	79.57	78.55	65.47	6055520
2018-07-02	77.95	78.69	77.47	65.47	6706692
2018-07-03	79.21	79.91	78.51	65.42	3918474
2018-07-05	79.24	79.24	77.81	65.43	5456944
2018-07-06	78.57	79.2	78.11	65.67	3665346
2018-07-09	79.3	79.92	79.18	66.34	5400534
2018-07-10	79.82	80.66	79.65	66.54	5083052
2018-07-11	79.18	79.18	78.17	65.4	5806047
2018-07-12	79.27	80.23	78.68	66.69	7329739
2018-07-13	80.27	81.71	80.11	67.82	7378045
2018-07-16	81.52	82.0	81.04	67.54	6454359
2018-07-17	81.3	82.44	81.3	68.45	7483713
2018-07-18	82.45	83.47	82.39	68.96	5969237
2018-07-19	82.66	82.79	81.98	68.27	4090245
2018-07-20	81.79	82.43	81.74	68.21	5109906
2018-07-23	81.74	81.89	81.1	67.75	6132904
2018-07-24	81.28	84.54	80.74	70.3	12897913
2018-07-25	84.05	84.95	83.39	70.56	8814978
2018-07-26	84.91	86.0	84.42	71.14	9750899
2018-07-27	85.9	85.9	84.54	70.45	6031844
2018-07-30	84.86	84.98	83.7	69.7	5871991
2018-07-31	84.37	85.55	84.33	71.08	8112481
2018-08-01	84.61	85.8	84.61	70.64	5982744
2018-08-02	84.32	84.76	83.93	70.23	3547919
2018-08-03	84.78	84.78	83.83	70.11	3093147
2018-08-06	84.13	84.41	83.61	70.14	3091876
2018-08-07	84.39	84.88	84.13	70.43	3491669
2018-08-08	84.65	84.92	84.39	70.54	2900720
2018-08-09	85.17	85.95	84.36	70.3	5203657
2018-08-10	84.04	84.17	83.25	69.7	3825676
2018-08-13	83.73	84.03	82.82	69.22	4015721
2018-08-14	83.51	83.7	83.06	69.34	5073359
2018-08-15	83.07	83.1	81.57	68.99	7253626
2018-08-16	83.32	84.07	83.32	70.18	6771365
2018-08-17	84.15	84.83	83.88	70.78	6773271
2018-08-20	84.93	85.23	84.63	71.15	8489074
2018-08-21	85.21	85.88	85.21	71.59	3551733
2018-08-22	85.0	85.02	83.84	70.15	5965265
2018-08-23	84.02	84.02	83.2	69.82	5603132
2018-08-24	83.46	83.99	83.46	70.21	4575684
2018-08-27	84.49	85.4	84.41	71.26	4819596
2018-08-28	85.59	85.8	84.52	70.81	3571913
2018-08-29	85.03	85.03	84.01	70.35	6034704
2018-08-30	83.9	84.02	83.2	69.8	4610801
2018-08-31	83.15	83.42	82.44	69.34	4381668
2018-09-04	83.04	83.04	82.15	69.44	4653387
2018-09-05	82.76	83.66	82.49	69.9	4185108
2018-09-06	83.86	84.7	83.55	70.29	5728345
2018-09-07	83.78	83.87	82.41	69.5	5056834
2018-09-10	83.62	84.49	83.62	70.36	6670304
2018-09-11	84.1	84.33	83.17	70.34	3257450
2018-09-12	83.93	84.64	83.81	70.49	5549741
2018-09-13	84.51	85.31	84.32	71.35	4450789
2018-09-14	85.39	86.83	85.39	72.55	8720432
2018-09-17	86.73	87.35	86.49	72.53	7567136
2018-09-18	86.83	88.31	86.51	73.48	6855105
2018-09-19	87.58	88.65	87.57	73.97	6344400
2018-09-20	89.06	89.75	88.67	74.68	6158646
2018-09-21	90.42	90.72	89.23	74.8	11648482
2018-09-24	89.24	89.99	88.01	73.88	4023825
2018-09-25	88.23	88.57	87.73	73.55	5196666
2018-09-26	87.86	88.5	87.39	73.47	3763388
2018-09-27	88.11	88.53	87.28	73.54	2917881
2018-09-28	87.89	88.12	87.56	73.61	3935317
2018-10-01	88.83	89.06	88.27	74.19	5268965
2018-10-02	88.7	89.61	88.48	74.47	5877870
2018-10-03	89.35	89.42	88.61	74.24	5461711
2018-10-04	88.8	89.33	87.67	73.91	5409274
2018-10-05	88.35	88.64	87.23	73.21	4578227
2018-10-08	87.5	87.88	86.49	73.49	5042692
2018-10-09	87.65	88.07	85.39	71.54	7576670
2018-10-10	85.1	85.17	82.47	69.03	9112597
2018-10-11	82.36	83.41	80.87	68.11	12920318
2018-10-12	82.56	83.13	80.31	68.25	8156496
2018-10-15	81.71	82.77	81.29	68.61	5177121
2018-10-16	82.37	83.45	81.57	69.76	5576913
2018-10-17	83.17	83.47	81.52	68.48	5924587
2018-10-18	81.56	82.3	80.61	67.88	5420079
2018-10-19	80.86	81.72	80.3	67.75	7269198
2018-10-22	80.98	81.18	79.11	66.55	8711216
2018-10-23	79.14	82.47	78.61	68.45	11171623
2018-10-24	81.96	82.62	76.62	64.27	13442463
2018-10-25	77.66	78.97	77.06	65.49	7501351
2018-10-26	77.39	78.7	76.51	64.88	7456541
2018-10-29	78.57	78.96	75.01	63.75	7856334
2018-10-30	76.19	77.28	75.77	64.56	7725400
2018-10-31	78.09	78.94	77.68	65.39	9773145
2018-11-01	79.11	80.52	78.71	67.17	8884576
2018-11-02	81.09	81.58	79.43	67.09	9839247
2018-11-05	80.23	80.47	79.58	66.99	8702953
2018-11-06	80.11	80.64	79.71	67.36	5171083
2018-11-07	81.18	82.39	80.58	68.73	8579329
2018-11-08	82.38	83.05	82.05	69.15	7543778
2018-11-09	82.69	82.71	81.62	68.81	7956282
2018-11-12	82.4	82.46	80.61	67.55	6669669
2018-11-13	81.08	82.27	80.7	67.98	5454719
2018-11-14	81.84	82.25	80.93	67.86	9136432
2018-11-15	80.06	82.19	79.7	68.69	7307811
2018-11-16	81.18	82.4	81.04	68.9	8238012
2018-11-19	81.81	81.81	80.16	67.7	7928633
2018-11-20	80.07	80.07	78.45	66.72	6969831
2018-11-21	79.48	80.21	79.09	66.56	4335904
2018-11-23	78.66	81.99	78.53	68.33	15454773
2018-11-26	81.68	83.32	80.37	67.76	16858972
2018-11-27	77.83	78.75	75.03	64.96	26805953
2018-11-28	77.56	77.72	75.56	64.98	13559890
2018-11-29	77.28	77.37	75.57	64.17	9781407
2018-11-30	76.0	76.98	75.54	64.51	15312716
2018-12-03	77.9	79.29	77.58	65.44	10925328
2018-12-04	77.55	77.68	75.08	64.0	12213849
2018-12-06	75.21	76.48	74.54	64.31	14831249
2018-12-07	76.26	76.9	74.97	63.25	11923220
2018-12-10	74.9	75.92	73.57	63.23	8448713
2018-12-11	76.84	76.86	74.66	62.97	6883230
2018-12-12	75.5	76.42	75.24	63.36	4905720
2018-12-13	75.63	75.76	74.81	63.14	9081135
2018-12-14	74.24	75.17	73.74	62.9	6374432
2018-12-17	74.73	74.81	72.21	61.06	8063381
2018-12-18	73.06	73.91	72.49	61.3	6003560
2018-12-19	72.73	73.87	71.16	60.26	16601078
2018-12-20	71.55	71.63	68.53	58.04	22699660
2018-12-21	69.02	69.98	66.75	56.22	19808474
2018-12-24	66.31	66.54	64.16	54.04	6793611
2018-12-26	64.78	66.97	63.23	56.13	11301604
2018-12-27	64.57	66.56	63.98	56.0	10412081
2018-12-28	66.9	67.45	66.04	55.78	8925413
2018-12-31	66.46	67.01	66.23	56.38	7049281
2019-01-02	66.18	68.19	65.6	57.34	9361752
2019-01-03	67.68	67.97	64.97	54.79	8884258
2019-01-04	65.53	67.46	65.14	56.67	10083317
2019-01-07	67.38	67.6	66.42	56.64	8314601
2019-01-08	68.5	68.88	67.56	57.66	5951282
2019-01-09	68.95	69.0	68.31	57.88	6726873
2019-01-10	68.45	69.57	68.43	58.46	5368119
2019-01-11	68.95	69.21	68.36	58.22	5759807
2019-01-14	68.72	70.16	68.47	58.69	5049524
2019-01-15	69.7	69.99	68.94	58.81	4444751
2019-01-16	69.91	70.23	69.51	58.7	6177238
2019-01-17	69.46	71.43	69.41	59.71	5079239
2019-01-18	71.93	72.18	71.05	60.31	7366763
2019-01-22	71.12	71.21	69.63	58.81	9039980
2019-01-23	73.82	75.1	71.96	61.97	19960859
2019-01-24	74.1	75.11	72.08	61.19	14356933
2019-01-25	73.22	73.57	72.42	61.32	7375185
2019-01-28	72.5	72.54	71.6	60.93	14161009
