Metric	Value
52WeekChange	0.5022166
SandP52WeekChange	0.21965265
address1	40 Agiou Konstantinou Street
address2	Athens
allTimeHigh	1133.0409
allTimeLow	1.55
ask	23.85
askSize	7
averageAnalystRating	1.3 - Strong Buy
averageDailyVolume10Day	2933840
averageDailyVolume3Month	1599064
averageVolume	1599064
averageVolume10days	2933840
beta	0.743
bid	23.77
bidSize	12
bookValue	21.961
city	Marousi
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Petros Alexandros Pappas', 'age': 72, 'title': 'Founder, CEO & Director', 'yearBorn': 1953, 'fiscalYear': 2014, 'totalPay': 9890, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Hamish  Norton Ph.D.', 'age': 66, 'title': 'President', 'yearBorn': 1959, 'fiscalYear': 2014, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Simos  Spyrou', 'age': 51, 'title': 'Co-Chief Financial Officer', 'yearBorn': 1974, 'fiscalYear': 2014, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Christos  Begleris', 'age': 44, 'title': 'Co-Chief Financial Officer', 'yearBorn': 1981, 'fiscalYear': 2014, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Nicos  Rescos', 'age': 53, 'title': 'Chief Operating Officer', 'yearBorn': 1972, 'fiscalYear': 2014, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Zenon  Kleopas', 'age': 70, 'title': 'Executive Vice President of Green Energy & Technology', 'yearBorn': 1955, 'fiscalYear': 2014, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Georgia  Mastagaki', 'title': 'Co-General Counsel & Co-Secretary', 'fiscalYear': 2014, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Charis  Plakantonaki', 'age': 45, 'title': 'Chief Strategy Officer', 'yearBorn': 1980, 'fiscalYear': 2014, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Constantinos  Simantiras', 'title': 'Head of Market Research', 'fiscalYear': 2014, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1419984000
corporateActions	[{'header': 'Dividend', 'message': 'SBLK announced a cash dividend of 0.37$ with an ex-date of Mar. 9, 2026', 'meta': {'eventType': 'DIVIDEND', 'dateEpochMs': 1773028800000, 'amount': '0.37'}}]
country	Greece
cryptoTradeable	False
currency	USD
currentPrice	23.81
currentRatio	1.781
customPriceAlertConfidence	HIGH
dateShortInterest	1770940800
dayHigh	24.11
dayLow	23.02
debtToEquity	49.048
displayName	Star Bulk Carriers
dividendDate	1773878400
dividendRate	0.58
dividendYield	2.45
earningsCallTimestampEnd	1772121600
earningsCallTimestampStart	1772121600
earningsGrowth	0.583
earningsQuarterlyGrowth	0.535
earningsTimestamp	1779220800
earningsTimestampEnd	1779220800
earningsTimestampStart	1779220800
ebitda	320056288
ebitdaMargins	0.30701
enterpriseToEbitda	10.451
enterpriseToRevenue	3.209
enterpriseValue	3344972032
epsCurrentYear	4.12342
epsForward	3.38665
epsTrailingTwelveMonths	0.47
esgPopulated	False
exDividendDate	1773014400
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	22.4638
fiftyDayAverageChange	1.346199
fiftyDayAverageChangePercent	0.059927482
fiftyTwoWeekChangePercent	50.221657
fiftyTwoWeekHigh	27.2
fiftyTwoWeekHighChange	-3.3900013
fiftyTwoWeekHighChangePercent	-0.124632396
fiftyTwoWeekLow	12.06
fiftyTwoWeekLowChange	11.749999
fiftyTwoWeekLowChangePercent	0.9742951
fiftyTwoWeekRange	12.06 - 27.2
financialCurrency	USD
firstTradeDateMilliseconds	1196692200000
fiveYearAvgDividendYield	15.06
floatShares	83462472
forwardEps	3.38665
forwardPE	7.030546
freeCashflow	230858256
fullExchangeName	NasdaqGS
fullTimeEmployees	301
gmtOffSetMilliseconds	-14400000
grossMargins	0.36400002
grossProfits	379473984
hasPrePostMarketData	True
heldPercentInsiders	0.2293
heldPercentInstitutions	0.31656
impliedSharesOutstanding	114312477
industry	Marine Shipping
industryDisp	Marine Shipping
industryKey	marine-shipping
irWebsite	http://www.starbulk.com/en/investor-relations
isEarningsDateEstimate	False
language	en-US
lastDividendDate	1773014400
lastDividendValue	0.37
lastFiscalYearEnd	1767139200
lastSplitDate	1466380800
lastSplitFactor	1:5
longBusinessSummary	Star Bulk Carriers Corp., a shipping company, engages in the ocean transportation of dry bulk cargoes through the ownership and operation of dry bulk carrier vessels worldwide. Its vessels transport a range of bulk commodities, including iron ores, minerals and grains, bauxite, fertilizers, and steel products. As of December 31, 2024, the company owned a fleet of 151 dry bulk vessels with a combined carrying capacity of 14.6 million deadweight tonnage (dwt) consisting of Newcastlemax, Capesize, Post Panamax, Kamsarmax, Panamax, Ultramax, and Supramax vessels with carrying capacities between 53,489 deadweight tonnage and 209,537 deadweight tonnage. Star Bulk Carriers Corp. was incorporated in 2006 and is based in Marousi, Greece.
longName	Star Bulk Carriers Corp.
market	us_market
marketCap	2721779968
marketState	POST
maxAge	86400
messageBoardId	finmb_266636382
mostRecentQuarter	1767139200
netIncomeToCommon	84174000
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	2700461466
numberOfAnalystOpinions	4
open	23.78
operatingCashflow	271140992
operatingMargins	0.26735002
payoutRatio	1.6809
phone	30 210 61 78 400
postMarketChange	-0.39999962
postMarketChangePercent	-1.6799648
postMarketPrice	23.41
postMarketTime	1773185149
previousClose	23.72
priceEpsCurrentYear	5.774333
priceHint	2
priceToBook	1.0841947
priceToSalesTrailing12Months	2.6108227
profitMargins	0.080740005
quickRatio	1.308
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	strong_buy
recommendationMean	1.33333
region	US
regularMarketChange	0.09000015
regularMarketChangePercent	0.37942728
regularMarketDayHigh	24.11
regularMarketDayLow	23.02
regularMarketDayRange	23.02 - 24.11
regularMarketOpen	23.78
regularMarketPreviousClose	23.72
regularMarketPrice	23.81
regularMarketTime	1773172801
regularMarketVolume	2096564
returnOnAssets	0.0238
returnOnEquity	0.034140002
revenueGrowth	-0.027
revenuePerShare	9.065
sector	Industrials
sectorDisp	Industrials
sectorKey	industrials
sharesOutstanding	113847448
sharesPercentSharesOut	0.012999999
sharesShort	1482556
sharesShortPreviousMonthDate	1768435200
sharesShortPriorMonth	2070356
shortName	Star Bulk Carriers Corp.
shortPercentOfFloat	0.013200001
shortRatio	1.19
sourceInterval	15
symbol	SBLK
syntheticPEG	0.12059255574614067
targetHighPrice	30.0
targetLowPrice	25.9
targetMeanPrice	28.225
targetMedianPrice	28.5
totalCash	501836000
totalCashPerShare	4.5
totalDebt	1201313024
totalRevenue	1042499008
tradeable	False
trailingAnnualDividendRate	0.58
trailingAnnualDividendYield	0.02445194
trailingEps	0.47
trailingPE	50.659573
trailingPegRatio	None
triggerable	True
twoHundredDayAverage	19.37735
twoHundredDayAverageChange	4.4326496
twoHundredDayAverageChangePercent	0.22875418
typeDisp	Equity
volume	2096564
website	https://www.starbulk.com
zip	15124
