Metric	Value
allTimeHigh	100.59
allTimeLow	1.40375
ask	0.0
askSize	109000
averageDailyVolume10Day	23123660
averageDailyVolume3Month	18310981
averageVolume	18310981
averageVolume10days	23123660
beta3Year	1.19
bid	0.0
bidSize	40000
category	Large Growth
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	29.6
dayLow	29.22
dividendYield	0.38
epsTrailingTwelveMonths	0.9326516
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	30.6918
fiftyDayAverageChange	-1.2817993
fiftyDayAverageChangePercent	-0.041763578
fiftyTwoWeekChangePercent	22.33777
fiftyTwoWeekHigh	33.74
fiftyTwoWeekHighChange	-4.330002
fiftyTwoWeekHighChangePercent	-0.12833437
fiftyTwoWeekLow	21.37
fiftyTwoWeekLowChange	8.039999
fiftyTwoWeekLowChangePercent	0.3762283
fiftyTwoWeekRange	21.37 - 33.74
firstTradeDateMilliseconds	1262615400000
fiveYearAverageReturn	0.1294589
fullExchangeName	NYSEArca
fundFamily	Schwab ETFs
fundInceptionDate	1260489600
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	To pursue its goal, the fund generally invests in stocks that are included in the Dow Jones U.S. Large-Cap Growth Total Stock Market Index. The index includes the large-cap growth portion of the Dow Jones U.S. Total Stock Market Index actually available to investors in the marketplace. The Dow Jones U.S. Large-Cap Growth Total Stock Market Index includes the components ranked 1-750 by full market capitalization and that are classified as "growth" based on a number of factors.
longName	Schwab U.S. Large-Cap Growth ETF
market	us_market
marketState	PREPRE
maxAge	86400
messageBoardId	finmb_83018900
navPrice	29.13
netAssets	50521731000.0
netExpenseRatio	0.04
open	29.37
phone	1-800-435-4000
postMarketChange	0.014801025
postMarketChangePercent	0.050326508
postMarketPrice	29.4248
postMarketTime	1775087979
previousClose	29.13
priceHint	2
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	0.280001
regularMarketChangePercent	0.961211
regularMarketDayHigh	29.6
regularMarketDayLow	29.22
regularMarketDayRange	29.22 - 29.6
regularMarketOpen	29.37
regularMarketPreviousClose	29.13
regularMarketPrice	29.41
regularMarketTime	1775073600
regularMarketVolume	18694398
shortName	Schwab U.S. Large-Cap Growth ET
sourceInterval	15
symbol	SCHG
threeYearAverageReturn	0.21913469
totalAssets	50521731072
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingPE	31.533749
trailingPegRatio	None
trailingThreeMonthNavReturns	-6.21874
trailingThreeMonthReturns	-6.21874
triggerable	True
twoHundredDayAverage	31.2104
twoHundredDayAverageChange	-1.8003998
twoHundredDayAverageChangePercent	-0.057685893
typeDisp	ETF
volume	18694398
yield	0.0038
ytdReturn	-5.73444
