Metric	Value
52WeekChange	0.5130533
SandP52WeekChange	0.15336108
address1	5599 San Felipe
address2	17th Floor
allTimeHigh	118.76
allTimeLow	6.5
ask	54.24
askSize	400
auditRisk	3
averageAnalystRating	1.6 - Buy
averageDailyVolume10Day	14966240
averageDailyVolume3Month	13752233
averageVolume	13752233
averageVolume10days	14966240
beta	0.774
bid	53.89
bidSize	600
boardRisk	1
bookValue	17.568
city	Houston
