Metric	Value
allTimeHigh	671.83
allTimeLow	7.225
ask	591.49
askSize	15
averageDailyVolume10Day	6856500
averageDailyVolume3Month	9795171
averageVolume	9795171
averageVolume10days	6856500
beta3Year	2.06
bid	560.34
bidSize	15
category	Technology
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	608.665
dayLow	591.012
dividendYield	0.2
epsTrailingTwelveMonths	14.641087
esgPopulated	False
exchange	NGM
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	564.484
fiftyDayAverageChange	42.976013
fiftyDayAverageChangePercent	0.076133266
fiftyTwoWeekChangePercent	85.2751
fiftyTwoWeekHigh	671.83
fiftyTwoWeekHighChange	-64.369995
fiftyTwoWeekHighChangePercent	-0.09581292
fiftyTwoWeekLow	313.6
fiftyTwoWeekLowChange	293.86002
fiftyTwoWeekLowChangePercent	0.9370536
fiftyTwoWeekRange	313.6 - 671.83
firstTradeDateMilliseconds	960211800000
fiveYearAverageReturn	0.3590786
fullExchangeName	NasdaqGM
fulldayChange	10.379944
fulldayChangePercent	1.7415136
fulldayPrice	606.09
fundFamily	VanEck
fundInceptionDate	1324339200
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index includes common stocks and depositary receipts of U.S. exchange-listed companies in the semiconductor industry. Such companies may include medium-capitalization companies and foreign companies that are listed on a U.S. exchange. The fund is non-diversified.
longName	VanEck Semiconductor ETF
market	us_market
marketCap	5732862464
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_3588704
navPrice	596.13
netAssets	67787031000.0
netExpenseRatio	0.35
open	591.3
phone	888-658-8287
postMarketChange	-1.3699951
postMarketChangePercent	-0.22552843
postMarketPrice	606.09
postMarketTime	1790121561
previousClose	596.03
priceHint	2
quoteSourceName	Delayed Quote
quoteType	ETF
region	US
regularMarketChange	11.43
regularMarketChangePercent	1.91769
regularMarketDayHigh	608.665
regularMarketDayLow	591.012
regularMarketDayRange	591.012 - 608.665
regularMarketOpen	591.3
regularMarketPreviousClose	596.03
regularMarketPrice	607.46
regularMarketTime	1790107200
regularMarketVolume	6534476
sharesOutstanding	11670900
shortName	VanEck Semiconductor ETF
sourceInterval	15
symbol	SMH
threeYearAverageReturn	0.6250349
totalAssets	67787030528
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingPE	41.490093
trailingPegRatio	None
trailingThreeMonthNavReturns	-7.02748
trailingThreeMonthReturns	-7.02748
triggerable	True
twoHundredDayAverage	488.49664
twoHundredDayAverageChange	118.96338
twoHundredDayAverageChangePercent	0.24352957
typeDisp	ETF
volume	6534476
yield	0.002
ytdReturn	54.55833
