Metric	Value
allTimeHigh	68.36
allTimeLow	18.46
ask	58.67
askSize	1
averageDailyVolume10Day	92830
averageDailyVolume3Month	136616
averageVolume	136616
averageVolume10days	92830
beta3Year	0.0
bid	58.5
bidSize	1
category	Technology
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	58.3499
dayLow	57.46
dividendYield	0.02
epsTrailingTwelveMonths	1.351313
esgPopulated	False
exchange	NGM
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	59.96772
fiftyDayAverageChange	-2.2477188
fiftyDayAverageChangePercent	-0.037482146
fiftyTwoWeekChangePercent	60.132492
fiftyTwoWeekHigh	68.36
fiftyTwoWeekHighChange	-10.639999
fiftyTwoWeekHighChangePercent	-0.15564656
fiftyTwoWeekLow	33.38
fiftyTwoWeekLowChange	24.34
fiftyTwoWeekLowChangePercent	0.72917914
fiftyTwoWeekRange	33.38 - 68.36
firstTradeDateMilliseconds	1724851800000
fullExchangeName	NasdaqGM
fundFamily	VanEck
fundInceptionDate	1724716800
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
ipoExpectedDate	2024-08-28
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund normally invests at least 80% of its total assets in securities that comprise the fund’s benchmark index. The Fabless Index is composed of U.S.-listed common stocks of companies that derive at least 50% of their revenues from the semiconductor industry and operate as fabless semiconductor companies. The fund is non-diversified.
longName	VanEck Fabless Semiconductor ETF
market	us_market
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_1885852102
navPrice	57.98
netAssets	249424848.0
netExpenseRatio	0.35
open	58.3395
phone	888-658-8287
postMarketChange	0.0
postMarketChangePercent	0.0
postMarketPrice	57.72
postMarketTime	1786491249
previousClose	58.0
priceHint	2
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	-0.27999878
regularMarketChangePercent	-0.4827565
regularMarketDayHigh	58.3499
regularMarketDayLow	57.46
regularMarketDayRange	57.46 - 58.3499
regularMarketOpen	58.3395
regularMarketPreviousClose	58.0
regularMarketPrice	57.72
regularMarketTime	1786478400
regularMarketVolume	36872
shortName	VanEck Fabless Semiconductor ET
sourceInterval	15
symbol	SMHX
totalAssets	249424848
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingPE	42.714012
trailingPegRatio	None
trailingThreeMonthNavReturns	7.65907
trailingThreeMonthReturns	7.65907
triggerable	True
twoHundredDayAverage	46.407974
twoHundredDayAverageChange	11.312027
twoHundredDayAverageChangePercent	0.2437518
typeDisp	ETF
volume	36872
yield	0.0002
ytdReturn	44.18727
