Metric	Value
52WeekChange	0.14240038
SandP52WeekChange	0.16864312
address1	135 Constitution Drive
address2	Suite 3A
allTimeHigh	429.0
allTimeLow	107.13
ask	174.78
askSize	300
auditRisk	4
averageAnalystRating	1.5 - Strong Buy
averageDailyVolume10Day	5005010
averageDailyVolume3Month	5782013
averageVolume	5782013
averageVolume10days	5005010
beta	1.212
bid	174.57
bidSize	100
boardRisk	10
bookValue	5.621
city	Menlo Park
