Metric	Value
52WeekChange	-0.3806423
SandP52WeekChange	0.17846107
address1	675 Almanor Avenue
allTimeHigh	651.73
allTimeLow	5.5625
ask	372.6
askSize	1
auditRisk	1
averageAnalystRating	1.7 - Buy
averageDailyVolume10Day	1952070
averageDailyVolume3Month	1960327
averageVolume	1960327
averageVolume10days	1952070
beta	1.222
bid	374.96
bidSize	1
boardRisk	7
bookValue	159.201
city	Sunnyvale
companyOfficers	[{'maxAge': 1, 'name': 'Dr. Aart J. de Geus Ph.D.', 'age': 71, 'title': 'Co-Founder & Executive Chairman', 'yearBorn': 1954, 'fiscalYear': 2025, 'totalPay': 366673, 'exercisedValue': 5569971, 'unexercisedValue': 33074978}, {'maxAge': 1, 'name': 'Mr. Sassine  Ghazi', 'age': 54, 'title': 'CEO, President & Director', 'yearBorn': 1971, 'fiscalYear': 2025, 'totalPay': 2086177, 'exercisedValue': 14109843, 'unexercisedValue': 2410485}, {'maxAge': 1, 'name': 'Ms. Shelagh  Glaser', 'age': 61, 'title': 'Chief Financial Officer', 'yearBorn': 1964, 'fiscalYear': 2025, 'totalPay': 1047605, 'exercisedValue': 1941984, 'unexercisedValue': 971416}, {'maxAge': 1, 'name': 'Ms. Janet  Lee', 'age': 60, 'title': 'General Counsel & Corporate Secretary', 'yearBorn': 1965, 'fiscalYear': 2025, 'totalPay': 501255, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Alessandra  Costa', 'title': 'Senior Vice President of Operations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Sudhindra  Kankanwadi', 'age': 54, 'title': 'Chief Accounting Officer', 'yearBorn': 1971, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Tushar  Jain', 'title': 'Head of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Ann  Minooka', 'title': 'Chief Marketing Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Jill  Larsen', 'age': 51, 'title': 'Chief People Officer', 'yearBorn': 1974, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Antonio  Varas', 'title': 'Chief Strategy Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	7
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	373.52
currentRatio	1.434
customPriceAlertConfidence	HIGH
dateShortInterest	1782777600
dayHigh	378.92
dayLow	371.405
debtToEquity	35.574
discount_to_intrinsic_value	-964.84
displayName	Synopsys
earningsCallTimestampEnd	1787778000
earningsCallTimestampStart	1787778000
earningsGrowth	-0.96
earningsQuarterlyGrowth	-0.95
earningsTimestamp	1787774400
earningsTimestampEnd	1787774400
earningsTimestampStart	1787774400
ebitda	1696253056
ebitdaMargins	0.19543
enterpriseToEbitda	47.091
enterpriseToRevenue	9.203
enterpriseValue	79877816320
epsCurrentYear	14.78894
epsForward	17.28051
epsTrailingTwelveMonths	4.38
eps_normalized_growth	-0.9577573743051064
esgPopulated	False
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fax	650-965-8637
fiftyDayAverage	463.8678
fiftyDayAverageChange	-90.34781
fiftyDayAverageChangePercent	-0.1947706
fiftyTwoWeekChangePercent	-38.064228
fiftyTwoWeekHigh	651.73
fiftyTwoWeekHighChange	-278.21
fiftyTwoWeekHighChangePercent	-0.42687923
fiftyTwoWeekLow	366.0
fiftyTwoWeekLowChange	7.519989
fiftyTwoWeekLowChangePercent	0.020546418
fiftyTwoWeekRange	366.0 - 651.73
financialCurrency	USD
firstTradeDateMilliseconds	699114600000
floatShares	190382148
forwardEps	17.28051
forwardPE	21.615103
freeCashflow	3538958592
fullExchangeName	NasdaqGS
fullTimeEmployees	28000
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1782864000
graham_intrinsic_value	35.08
grossMargins	0.82598996
grossProfits	7169120768
hasPrePostMarketData	True
heldPercentInsiders	0.02987
heldPercentInstitutions	0.9359
impliedSharesOutstanding	191479325
industry	Software - Infrastructure
industryDisp	Software - Infrastructure
industryKey	software-infrastructure
irWebsite	http://www.synopsys.com/Company/InvestorRelations/Pages/default.aspx
isEarningsDateEstimate	False
language	en-US
lastFiscalYearEnd	1761868800
lastSplitDate	1064361600
lastSplitFactor	2:1
longBusinessSummary	Synopsys, Inc. provides design IP solutions in the semiconductor and electronics industries. It operates in two segments, Design Automation and Design IP. The company offers Digital and Custom IC Design solution that provides digital design implementation solutions; Verification solution that offers virtual prototyping, static and formal verification, simulation, emulation, field programmable gate array (FPGA)-based prototyping, and debug solutions; FPGA design products that are programmed to perform specific functions; synopsys technology computer-aided design (TCAD), mask synthesis, and manufacturing analytic solutions; and AI-driven EDA solutions. It also provides pre-verified and silicon-proven IP solutions, logic libraries and embedded memories, processor and security solutions, IP Offerings for the automotive market, SOC infrastructure IP, data path and building block IP, and mathematical and floating-point components. Synopsys, Inc. has a strategic collaboration with Arm Holdings plc for development of AGI CPU that provides solutions across its full-stack design portfolio including EDA, interface IP, and hardware-assisted verification (HAV). The company was incorporated in 1986 and is headquartered in Sunnyvale, California.
longName	Synopsys, Inc.
market	us_market
marketCap	71521353728
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_35028
mostRecentQuarter	1777507200
netIncomeToCommon	773267968
nextFiscalYearEnd	1793404800
nonDilutedMarketCap	72304507913
numberOfAnalystOpinions	25
open	376.89
operatingCashflow	2796464128
operatingMargins	0.10383
overallRisk	5
payoutRatio	0.0
pegRatio	2.09
phone	650-584-5000
postMarketChange	0.49002075
postMarketChangePercent	0.13118997
postMarketPrice	374.01
postMarketTime	1784851193
previousClose	377.61
priceEpsCurrentYear	25.25671
priceHint	2
priceToBook	2.3462162
priceToSalesTrailing12Months	8.2403755
profitMargins	0.089090005
quickRatio	0.997
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	buy
recommendationMean	1.70833
region	US
regularMarketChange	-4.09
regularMarketChangePercent	-1.08313
regularMarketDayHigh	378.92
regularMarketDayLow	371.405
regularMarketDayRange	371.405 - 378.92
regularMarketOpen	376.89
regularMarketPreviousClose	377.61
regularMarketPrice	373.52
regularMarketTime	1784836801
regularMarketVolume	2227866
returnOnAssets	0.014939999
returnOnEquity	0.03824
revenueGrowth	0.419
revenuePerShare	47.723
sector	Technology
sectorDisp	Technology
sectorKey	technology
shareHolderRightsRisk	4
sharesOutstanding	191479325
sharesPercentSharesOut	0.028299998
sharesShort	5418434
sharesShortPreviousMonthDate	1780012800
sharesShortPriorMonth	5641342
shortName	Synopsys, Inc.
shortPercentOfFloat	0.028399998
shortRatio	2.45
sourceInterval	15
state	CA
symbol	SNPS
targetHighPrice	650.0
targetLowPrice	403.85
targetMeanPrice	563.994
targetMedianPrice	575.0
totalCash	2484438016
totalCashPerShare	12.975
totalDebt	10841960448
totalRevenue	8679379968
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingEps	4.38
trailingPE	85.278534
trailingPegRatio	2.0269
triggerable	True
twoHundredDayAverage	452.62766
twoHundredDayAverageChange	-79.107666
twoHundredDayAverageChangePercent	-0.17477426
typeDisp	Equity
volume	2227866
website	https://www.synopsys.com
zip	94085
