Metric	Value
allTimeHigh	294.33496
allTimeLow	0.505194
averageDailyVolume10Day	3771207367
averageDailyVolume3Month	4101394698
averageVolume	4101394698
averageVolume10days	3771207367
circulatingSupply	579824512
coinImageUrl	https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
coinMarketCapLink	https://coinmarketcap.com/currencies/solana
companyOfficers	[]
corporateActions	[]
cryptoTradeable	True
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	68.55528
dayLow	65.945175
description	Solana (SOL) is a cryptocurrency launched in 2020. Solana has a current supply of 628,304,660.22446024 with 579,824,820.49711895 in circulation. The last known price of Solana is 66.61884628 USD and is up 1.67 over the last 24 hours. It is currently trading on 1140 active market(s) with $2,350,406,110.63 traded over the last 24 hours. More information can be found at https://solana.com.
esgPopulated	False
exchange	CCC
exchangeDataDelayedBy	0
exchangeTimezoneName	UTC
exchangeTimezoneShortName	UTC
executiveTeam	[]
fiftyDayAverage	82.489944
fiftyDayAverageChange	-15.909943
fiftyDayAverageChangePercent	-0.1928713
fiftyTwoWeekChangePercent	-55.04087
fiftyTwoWeekHigh	253.2099
fiftyTwoWeekHighChange	-186.6299
fiftyTwoWeekHighChangePercent	-0.7370561
fiftyTwoWeekLow	60.41472
fiftyTwoWeekLowChange	6.165283
fiftyTwoWeekLowChangePercent	0.10204936
fiftyTwoWeekRange	60.41472 - 253.2099
firstTradeDateMilliseconds	1586476800000
fromCurrency	SOL
fullExchangeName	CCC
fullyDilutedValue	41832502776
gmtOffSetMilliseconds	0
hasPrePostMarketData	False
language	en-US
lastMarket	Coinbase
logoUrl	https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
longName	Solana USD
market	ccc_market
marketCap	38623965184
marketState	REGULAR
maxAge	86400
maxSupply	0
messageBoardId	finmb_SOL_CCC
name	Solana
open	66.81249
previousClose	66.81249
priceHint	2
quoteSourceName	CoinMarketCap
quoteType	CRYPTOCURRENCY
region	US
regularMarketChange	-0.27999878
regularMarketChangePercent	-0.41878366
regularMarketDayHigh	68.55528
regularMarketDayLow	65.945175
regularMarketDayRange	65.945175 - 68.55528
regularMarketOpen	66.81249
regularMarketPreviousClose	66.81249
regularMarketPrice	66.58
regularMarketTime	1781307874
regularMarketVolume	2500548864
shortName	Solana USD
sourceInterval	15
startDate	1586476800
symbol	SOL-USD
toCurrency	USD=X
totalSupply	628304320
tradeable	False
trailingPegRatio	None
triggerable	True
twitter	https://twitter.com/solana
twoHundredDayAverage	100.74469
twoHundredDayAverageChange	-34.16469
twoHundredDayAverageChangePercent	-0.3391215
typeDisp	Cryptocurrency
volume	2500548864
volume24Hr	2500548864
volume24HrMarketCapPercent	0.06474087
volumeAllCurrencies	2500548864
website	https://solana.com
whitepaper	https://solana.com/solana-whitepaper.pdf
