Metric	Value
allTimeHigh	84.13
allTimeLow	16.45
ask	86.46
askSize	10
averageDailyVolume10Day	1859310
averageDailyVolume3Month	1202136
averageVolume	1202136
averageVolume10days	1859310
beta3Year	1.63
bid	86.41
bidSize	6
category	Technology
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	87.0499
dayLow	84.39
dividendYield	0.47
epsTrailingTwelveMonths	1.6198776
esgPopulated	False
exchange	NGM
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	67.3614
fiftyDayAverageChange	19.048607
fiftyDayAverageChangePercent	0.28278226
fiftyTwoWeekChangePercent	144.2285
fiftyTwoWeekHigh	87.0499
fiftyTwoWeekHighChange	-0.6398926
fiftyTwoWeekHighChangePercent	-0.0073508713
fiftyTwoWeekLow	33.49
fiftyTwoWeekLowChange	52.920002
fiftyTwoWeekLowChangePercent	1.5801731
fiftyTwoWeekRange	33.49 - 87.0499
firstTradeDateMilliseconds	1623418200000
fullExchangeName	NasdaqGM
fundFamily	Invesco
fundInceptionDate	1623369600
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
ipoExpectedDate	2021-06-11
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, Nasdaq compiles the underlying index, which is a modified market-capitalization weighted index designed to measure the performance of the 30 largest companies listed in the United States that are engaged in the semiconductor business, as determined by the index Provider. The fund is non-diversified.
longName	Invesco PHLX Semiconductor ETF
market	us_market
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_713971653
navPrice	82.91
netAssets	929883390.0
netExpenseRatio	0.19
open	84.55
postMarketChange	2.0899963
postMarketChangePercent	2.418697
postMarketPrice	88.5
postMarketTime	1778025592
previousClose	82.94
priceHint	2
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	3.47
regularMarketChangePercent	4.18375
regularMarketDayHigh	87.0499
regularMarketDayLow	84.39
regularMarketDayRange	84.39 - 87.0499
regularMarketOpen	84.55
regularMarketPreviousClose	82.94
regularMarketPrice	86.41
regularMarketTime	1778011200
regularMarketVolume	1060491
shortName	Invesco PHLX Semiconductor ETF
sourceInterval	15
symbol	SOXQ
threeYearAverageReturn	0.5414577
totalAssets	929883392
tradeable	False
trailingPE	53.34354
trailingPegRatio	None
trailingThreeMonthNavReturns	7.2626
trailingThreeMonthReturns	7.2626
triggerable	True
twoHundredDayAverage	56.931
twoHundredDayAverageChange	29.479004
twoHundredDayAverageChangePercent	0.5178023
typeDisp	ETF
volume	1060491
yield	0.0047
ytdReturn	7.2626
