Metric	Value
allTimeHigh	584.5
allTimeLow	7.633333
ask	573.08
askSize	2
averageDailyVolume10Day	8836060
averageDailyVolume3Month	7856860
averageVolume	7856860
averageVolume10days	8836060
beta3Year	2.06
bid	571.97
bidSize	14
bookValue	424.092
category	Technology
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	575.8
dayLow	554.825
dividendDate	1482883200
dividendYield	0.36
epsTrailingTwelveMonths	10.894598
esgPopulated	False
exchange	NGM
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	428.4298
fiftyDayAverageChange	144.4502
fiftyDayAverageChangePercent	0.33716187
fiftyTwoWeekChangePercent	169.73073
fiftyTwoWeekHigh	584.5
fiftyTwoWeekHighChange	-11.619995
fiftyTwoWeekHighChangePercent	-0.019880231
fiftyTwoWeekLow	201.12
fiftyTwoWeekLowChange	371.76
fiftyTwoWeekLowChangePercent	1.8484488
fiftyTwoWeekRange	201.12 - 584.5
financialCurrency	USD
firstTradeDateMilliseconds	995031000000
fiveYearAverageReturn	0.32667252
fullExchangeName	NasdaqGM
fundFamily	iShares
fundInceptionDate	994723200
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The fund is non-diversified.
longName	iShares Semiconductor ETF
market	us_market
marketState	REGULAR
maxAge	86400
messageBoardId	finmb_8796823
navPrice	563.4855
netAssets	29566459900.0
netExpenseRatio	0.34
open	565.2
phone	415-670-2000
postMarketChange	3.9099731
postMarketChangePercent	0.6858519
postMarketPrice	574.0
postMarketTime	1779839995
previousClose	563.98
priceHint	2
priceToBook	1.3508389
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	8.900024
regularMarketChangePercent	1.5780746
regularMarketDayHigh	575.8
regularMarketDayLow	554.825
regularMarketDayRange	554.825 - 575.8
regularMarketOpen	565.2
regularMarketPreviousClose	563.98
regularMarketPrice	572.88
regularMarketTime	1779990274
regularMarketVolume	4918625
sharesOutstanding	7650000
shortName	iShares PHLX SOX Semiconductor 
sourceInterval	15
symbol	SOXX
threeYearAverageReturn	0.5223567
totalAssets	29566459904
tradeable	False
trailingAnnualDividendRate	3.135
trailingAnnualDividendYield	0.0055587078
trailingPE	52.58386
trailingPegRatio	None
trailingThreeMonthNavReturns	33.46995
trailingThreeMonthReturns	33.46995
triggerable	True
twoHundredDayAverage	333.0491
twoHundredDayAverageChange	239.8309
twoHundredDayAverageChangePercent	0.7201067
typeDisp	ETF
volume	4918625
yield	0.0036000002
ytdReturn	53.40505
