Metric	Value
52WeekChange	-0.13799316
SandP52WeekChange	0.19895875
address1	1 Rocket Road
allTimeHigh	225.64
allTimeLow	104.83
ask	135.0
askSize	1
averageAnalystRating	1.7 - Buy
averageDailyVolume10Day	134093730
averageDailyVolume3Month	122045752
averageVolume	122045752
averageVolume10days	134093730
bid	131.02
bidSize	4
bookValue	9.656
city	Starbase
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Elon R. Musk', 'age': 54, 'title': 'Founder & CEO', 'yearBorn': 1971, 'fiscalYear': 2025, 'totalPay': 54080, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Gwynne E. Shotwell', 'age': 61, 'title': 'President & COO', 'yearBorn': 1964, 'fiscalYear': 2025, 'totalPay': 1110222, 'exercisedValue': 44800664, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Bret W. Johnsen', 'age': 56, 'title': 'CFO & Secretary', 'yearBorn': 1969, 'fiscalYear': 2025, 'totalPay': 825000, 'exercisedValue': 41906656, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Michael  Sagan', 'title': 'Senior Director of Legal', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Timothy R. Hughes', 'title': 'Senior VP of Global Business & Government Affairs', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Richard J. Lee', 'title': 'Treasurer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	133.29
currentRatio	5.115
customPriceAlertConfidence	HIGH
dateShortInterest	1785456000
dayHigh	139.98
dayLow	130.5
debtToEquity	31.211
displayName	Space Exploration
earningsCallTimestampEnd	1785873600
earningsCallTimestampStart	1785873600
earningsTimestamp	1785873600
earningsTimestampEnd	1793736000
earningsTimestampStart	1793736000
ebitda	5896999936
ebitdaMargins	0.2559
enterpriseToEbitda	585.67
enterpriseToRevenue	149.874
enterpriseValue	3453697916928
epsCurrentYear	0.33
epsForward	1.85286
epsTrailingTwelveMonths	-1.1
esgPopulated	False
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	141.9715
fiftyDayAverageChange	-8.681503
fiftyDayAverageChangePercent	-0.061149623
fiftyTwoWeekChangePercent	-13.799315
fiftyTwoWeekHigh	225.64
fiftyTwoWeekHighChange	-92.350006
fiftyTwoWeekHighChangePercent	-0.4092803
fiftyTwoWeekLow	104.83
fiftyTwoWeekLowChange	28.459991
fiftyTwoWeekLowChangePercent	0.2714871
fiftyTwoWeekRange	104.83 - 225.64
financialCurrency	USD
firstTradeDateMilliseconds	1781271000000
floatShares	311353642
forwardEps	1.85286
forwardPE	71.93743
fullExchangeName	NasdaqGS
fullTimeEmployees	21000
gmtOffSetMilliseconds	-14400000
grossMargins	0.51875
grossProfits	11953999872
hasPrePostMarketData	True
heldPercentInsiders	0.18178
heldPercentInstitutions	0.11906999
impliedSharesOutstanding	13174187298
industry	Aerospace & Defense
industryDisp	Aerospace & Defense
industryKey	aerospace-defense
ipoExpectedDate	2026-06-12
isEarningsDateEstimate	True
language	en-US
lastFiscalYearEnd	1767139200
longBusinessSummary	Space Exploration Technologies Corp. provides satellite-based broadband services in the United States, Ireland, Canada, and internationally. It operates through three operating segments: Space, Connectivity, and AI. The Space segment designs, manufactures, and launches reusable rockets to provide access to space. It also provides launch services for the deployment of payloads to intended orbits for commercial and government customers utilizing Falcon 9 and Falcon Heavy; and engages in the launch and development for the development of spacecraft and the provision of launch and mission services for government agency space programs utilizing Falcon 9, Falcon Heavy, Starship, and Dragon. Its company's Connectivity segment operates broadband data and communications network by various Starlink satellites in low-earth orbit, delivering connectivity to various consumers, enterprise, and government customers. The company's AI segment operates a vertically integrated AI platform spanning a frontier LLM Grok; AI solutions for consumer and enterprise customers; X, a real-time information, entertainment, and free speech platform; and AI computational infrastructure. Space Exploration Technologies Corp. was incorporated in 2002 and is based in Starbase, Texas.
longName	Space Exploration Technologies Corp.
market	us_market
marketCap	1755987312640
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_7702894
mostRecentQuarter	1782777600
netIncomeToCommon	-8888999936
newListingDate	2026-06-12
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	1828840149569
numberOfAnalystOpinions	16
open	138.645
operatingCashflow	9900000256
operatingMargins	-0.01804
payoutRatio	0.0
phone	310 363 6000
postMarketChange	-0.30929565
postMarketChangePercent	-0.23204717
postMarketPrice	132.9807
postMarketTime	1786492799
previousClose	138.74
priceEpsCurrentYear	403.90906
priceHint	2
priceToBook	13.803852
priceToSalesTrailing12Months	76.2015
profitMargins	-0.35661998
quickRatio	4.949
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	buy
recommendationMean	1.68571
region	US
regularMarketChange	-5.45001
regularMarketChangePercent	-3.92822
regularMarketDayHigh	139.98
regularMarketDayLow	130.5
regularMarketDayRange	130.5 - 139.98
regularMarketOpen	138.645
regularMarketPreviousClose	138.74
regularMarketPrice	133.29
regularMarketTime	1786478400
regularMarketVolume	108280221
revenueGrowth	0.919
revenuePerShare	5.888
sector	Industrials
sectorDisp	Industrials
sectorKey	industrials
sharesOutstanding	7571396888
sharesPercentSharesOut	0.015800001
sharesShort	207781764
sharesShortPreviousMonthDate	1782777600
sharesShortPriorMonth	111298613
shortName	Space Exploration Technologies 
shortPercentOfFloat	0.033
shortRatio	2.85
sourceInterval	15
state	TX
symbol	SPCX
syntheticPEG	0.7827794341675735
targetHighPrice	800.0
targetLowPrice	62.0
targetMeanPrice	235.6875
targetMedianPrice	210.0
totalCash	100009000960
totalCashPerShare	3.793
totalDebt	39708000256
totalRevenue	23043999744
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingEps	-1.1
trailingPegRatio	None
triggerable	True
twoHundredDayAverage	141.9715
twoHundredDayAverageChange	-8.681503
twoHundredDayAverageChangePercent	-0.061149623
typeDisp	Equity
volume	108280221
website	https://www.spacex.com
zip	78521
