Metric	Value
allTimeHigh	749.53
allTimeLow	42.8125
ask	750.21
askSize	1240
averageDailyVolume10Day	48099970
averageDailyVolume3Month	71377415
averageVolume	71377415
averageVolume10days	48099970
beta3Year	1.0
bid	750.2
bidSize	360
bookValue	429.22
category	Large Blend
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	752.13
dayLow	748.37
dividendYield	1.03
epsTrailingTwelveMonths	26.619165
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	696.6752
fiftyDayAverageChange	53.914856
fiftyDayAverageChangePercent	0.0773888
fiftyTwoWeekChangePercent	26.133812
fiftyTwoWeekHigh	752.13
fiftyTwoWeekHighChange	-1.539978
fiftyTwoWeekHighChangePercent	-0.0020474892
fiftyTwoWeekLow	578.43
fiftyTwoWeekLowChange	172.16003
fiftyTwoWeekLowChangePercent	0.29763332
fiftyTwoWeekRange	578.43 - 752.13
financialCurrency	USD
firstTradeDateMilliseconds	728317800000
fiveYearAverageReturn	0.1380894
fullExchangeName	NYSEArca
fundFamily	State Street Investment Management
fundInceptionDate	727660800
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The trust seeks to achieve its investment objective by holding a portfolio of the common stocks that are included in the index (the “Portfolio”), with the weight of each stock in the Portfolio substantially corresponding to the weight of such stock in the index.
longName	State Street SPDR S&P 500 ETF Trust
market	us_market
marketCap	653176274944
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_6160262
navPrice	745.57117
netAssets	735060820000.0
netExpenseRatio	0.0945
open	750.01
postMarketChange	0.35998535
postMarketChangePercent	0.047960315
postMarketPrice	750.95
postMarketTime	1779839996
previousClose	745.64
priceHint	2
priceToBook	1.7487303
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	4.95001
regularMarketChangePercent	0.663861
regularMarketDayHigh	752.13
regularMarketDayLow	748.37
regularMarketDayRange	748.37 - 752.13
regularMarketOpen	750.01
regularMarketPreviousClose	745.64
regularMarketPrice	750.59
regularMarketTime	1779825600
regularMarketVolume	35977360
sharesOutstanding	917782016
shortName	State Street SPDR S&P 500 ETF T
sourceInterval	15
symbol	SPY
threeYearAverageReturn	0.2317425
totalAssets	735060819968
tradeable	False
trailingAnnualDividendRate	5.662
trailingAnnualDividendYield	0.0075934767
trailingPE	28.197353
trailingPegRatio	None
trailingThreeMonthNavReturns	4.17832
trailingThreeMonthReturns	4.17832
triggerable	True
twoHundredDayAverage	678.853
twoHundredDayAverageChange	71.737
twoHundredDayAverageChangePercent	0.10567383
typeDisp	ETF
volume	35977360
yield	0.010299999
ytdReturn	5.68005
