Metric	Value
52WeekChange	0.6517496
SandP52WeekChange	0.27449715
address1	200 Research Drive
allTimeHigh	87.88
allTimeLow	8.75
ask	50.0
askSize	1
averageAnalystRating	2.3 - Buy
averageDailyVolume10Day	3354780
averageDailyVolume3Month	1787885
averageVolume	1787885
averageVolume10days	3354780
beta	2.04
bid	35.33
bidSize	2
bookValue	5.387
city	Wilmington
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Richard B. Cohen', 'age': 72, 'title': 'Chairman of the Board, President & CEO', 'yearBorn': 1953, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Izilda P. Martins', 'age': 54, 'title': 'CFO & Treasurer', 'yearBorn': 1971, 'fiscalYear': 2025, 'totalPay': 907127, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. James  Kuffner', 'age': 54, 'title': 'Chief Technology Officer', 'yearBorn': 1971, 'fiscalYear': 2025, 'totalPay': 2285583, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Michael  Dunn', 'age': 51, 'title': 'Chief Customer officer', 'yearBorn': 1974, 'fiscalYear': 2025, 'totalPay': 965627, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Walter  Odisho', 'age': 61, 'title': 'Chief Manufacturing & Supply Chain Officer', 'yearBorn': 1964, 'fiscalYear': 2025, 'totalPay': 790157, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Charles Lowell Anderson', 'title': 'Vice President of Investor Relations & Corporate Development', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Corey C. DuFresne', 'age': 53, 'title': 'Chief Legal Officer & Secretary', 'yearBorn': 1972, 'fiscalYear': 2025, 'totalPay': 847722, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Miriam  Ort', 'age': 43, 'title': 'Chief Human Resources Officer', 'yearBorn': 1982, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. William  Boyd III', 'age': 58, 'title': 'Chief Strategy Officer', 'yearBorn': 1967, 'fiscalYear': 2025, 'totalPay': 760492, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Pete  Opalacz', 'title': 'Senior Vice President of Customer Operations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	47.21
currentRatio	1.446
customPriceAlertConfidence	HIGH
dateShortInterest	1778803200
dayHigh	49.5562
dayLow	47.15
debtToEquity	2.717
displayName	Symbotic
earningsCallTimestampEnd	1778101200
earningsCallTimestampStart	1778101200
earningsTimestamp	1778097600
earningsTimestampEnd	1785182400
earningsTimestampStart	1785182400
ebitda	22643000
ebitdaMargins	0.009
enterpriseToEbitda	192.812
enterpriseToRevenue	1.735
enterpriseValue	4365850624
epsCurrentYear	0.51627
epsForward	0.76246
epsTrailingTwelveMonths	-0.08
esgPopulated	False
exchange	NGM
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	54.3529
fiftyDayAverageChange	-7.1429024
fiftyDayAverageChangePercent	-0.13141713
fiftyTwoWeekChangePercent	65.17496
fiftyTwoWeekHigh	87.88
fiftyTwoWeekHighChange	-40.67
fiftyTwoWeekHighChangePercent	-0.46279016
fiftyTwoWeekLow	27.26
fiftyTwoWeekLowChange	19.949999
fiftyTwoWeekLowChangePercent	0.7318415
fiftyTwoWeekRange	27.26 - 87.88
financialCurrency	USD
firstTradeDateMilliseconds	1615300200000
floatShares	111452149
forwardEps	0.76246
forwardPE	61.918003
freeCashflow	331211488
fullExchangeName	NasdaqGM
fullTimeEmployees	2000
gmtOffSetMilliseconds	-14400000
grossMargins	0.2041
grossProfits	513719008
hasPrePostMarketData	True
heldPercentInsiders	0.13833
heldPercentInstitutions	0.73826
impliedSharesOutstanding	603633815
industry	Specialty Industrial Machinery
industryDisp	Specialty Industrial Machinery
industryKey	specialty-industrial-machinery
isEarningsDateEstimate	True
language	en-US
lastFiscalYearEnd	1758931200
longBusinessSummary	Symbotic Inc., an automation technology company, develops technologies to enhance operating efficiencies in modern warehouses. The company automates the processing of pallets, cases, and individual items in warehouses. Its systems enhance operations at the front end of the supply chain. The company is headquartered in Wilmington, Massachusetts.
longName	Symbotic Inc.
market	us_market
marketCap	28497551360
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_247089947
mostRecentQuarter	1774656000
netIncomeToCommon	-7387000
nextFiscalYearEnd	1790467200
nonDilutedMarketCap	6157225892
numberOfAnalystOpinions	17
open	48.8881
operatingCashflow	845217984
operatingMargins	0.010880001
payoutRatio	0.0
pegRatio	3.16
phone	978 284 2800
postMarketChange	-0.40999985
postMarketChangePercent	-0.86845976
postMarketPrice	46.8
postMarketTime	1780531168
previousClose	49.09
priceEpsCurrentYear	91.4444
priceHint	2
priceToBook	8.76369
priceToSalesTrailing12Months	11.321837
profitMargins	-0.0029300002
quickRatio	1.284
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	buy
recommendationMean	2.3
region	US
regularMarketChange	-1.88
regularMarketChangePercent	-3.8297
regularMarketDayHigh	49.5562
regularMarketDayLow	47.15
regularMarketDayRange	47.15 - 49.5562
regularMarketOpen	48.8881
regularMarketPreviousClose	49.09
regularMarketPrice	47.21
regularMarketTime	1780516800
regularMarketVolume	2425017
returnOnAssets	-0.00648
returnOnEquity	-0.05732
revenueGrowth	0.231
revenuePerShare	21.798
sector	Industrials
sectorDisp	Industrials
sectorKey	industrials
sharesOutstanding	127215411
sharesPercentSharesOut	0.114300005
sharesShort	14534360
sharesShortPreviousMonthDate	1776211200
sharesShortPriorMonth	14165417
shortName	Symbotic Inc.
shortPercentOfFloat	0.2746
shortRatio	8.18
sourceInterval	15
state	MA
symbol	SYM
targetHighPrice	84.0
targetLowPrice	44.0
targetMeanPrice	64.86941
targetMedianPrice	70.0
totalCash	2009435008
totalCashPerShare	15.796
totalDebt	27925000
totalRevenue	2517042944
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingEps	-0.08
trailingPegRatio	3.1634
triggerable	True
twoHundredDayAverage	58.323624
twoHundredDayAverageChange	-11.113625
twoHundredDayAverageChangePercent	-0.190551
typeDisp	Equity
volume	2425017
website	https://www.symbotic.com
zip	01887
