Metric	Value
allTimeHigh	179.7
allTimeLow	80.51
ask	85.58
askSize	13
averageDailyVolume10Day	28509370
averageDailyVolume3Month	24259496
averageVolume	24259496
averageVolume10days	28509370
beta3Year	2.38
bid	85.52
bidSize	1
bookValue	148.865
category	Long Government
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	85.78
dayLow	85.37
dividendDate	1496793600
dividendYield	4.55
epsForward	-0.02
epsTrailingTwelveMonths	-12.586
esgPopulated	False
exchange	NGM
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	85.6338
fiftyDayAverageChange	-0.123794556
fiftyDayAverageChangePercent	-0.0014456273
fiftyTwoWeekChangePercent	-1.6672432
fiftyTwoWeekHigh	92.19
fiftyTwoWeekHighChange	-6.6800003
fiftyTwoWeekHighChangePercent	-0.07245906
fiftyTwoWeekLow	82.77
fiftyTwoWeekLowChange	2.7400055
fiftyTwoWeekLowChangePercent	0.03310385
fiftyTwoWeekRange	82.77 - 92.19
financialCurrency	USD
firstTradeDateMilliseconds	1028035800000
fiveYearAverageReturn	-0.0678688
forwardPE	-4275.5
fullExchangeName	NasdaqGM
fundFamily	iShares
fundInceptionDate	1027296000
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund will invest at least 80% of its assets in the component securities of the underlying index, and it will invest at least 90% of its assets in U.S. Treasury securities that the advisor believes will help the fund track the underlying index. The underlying index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity greater than or equal to twenty years.
longName	iShares 20+ Year Treasury Bond ETF
market	us_market
marketCap	9474789376
marketState	POST
maxAge	86400
messageBoardId	finmb_8797414
navPrice	85.50028
netAssets	42895950000.0
netExpenseRatio	0.15
open	85.38
phone	415-670-2000
postMarketChange	0.02999878
postMarketChangePercent	0.035082188
postMarketPrice	85.54
postMarketTime	1783022706
previousClose	85.52
priceHint	2
priceToBook	0.57441306
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	-0.009994507
regularMarketChangePercent	-0.011686749
regularMarketDayHigh	85.78
regularMarketDayLow	85.37
regularMarketDayRange	85.37 - 85.78
regularMarketOpen	85.38
regularMarketPreviousClose	85.52
regularMarketPrice	85.51
regularMarketTime	1783022401
regularMarketVolume	20120948
sharesOutstanding	109700000
shortName	iShares 20+ Year Treasury Bond 
sourceInterval	15
symbol	TLT
threeYearAverageReturn	-0.019088
totalAssets	42895949824
tradeable	False
trailingAnnualDividendRate	2.152
trailingAnnualDividendYield	0.025163705
trailingPegRatio	None
trailingThreeMonthNavReturns	-4.49066
trailingThreeMonthReturns	-4.49066
triggerable	True
twoHundredDayAverage	87.8363
twoHundredDayAverageChange	-2.3263016
twoHundredDayAverageChangePercent	-0.026484512
typeDisp	ETF
volume	20120948
yield	0.045500003
ytdReturn	-0.24988
