Date	Source	Sentiment	Headline	Summary	URL
2026-03-05	Yahoo	0.297	Pinnacle Mergers & Acquisitions Facilitates Sale of Toyota of Gallatin in Metro Nashville	Pinnacle Mergers & Acquisitions, a leading automotive dealership brokerage firm, is pleased to announce the successful sale of Toyota of Gallatin in Metro Nashville from Dave Stumbo of Stumbo Automotive to Lithia Motors. The dealership will continue operating as Toyota of Gallatin under its new ownership.	https://finance.yahoo.com/news/pinnacle-mergers-acquisitions-facilitates-sale-170200163.html?.tsrc=rss
2026-03-05	Yahoo	0.117	F+L Week 2026 Convenes Asia's Fuels and Lubricants Industry in Bangkok with Toyota, Shell, TotalEnergies, PETRONAS, Lubrizol, Afton Chemical, and 25+ Global Speakers	"F&amp;L Asia Ltd. today announced the full programme and speaker line-up for F+L Week 2026, the 31st edition of Asia's premier fuels, lubricants, and additives conference. The event takes place 26–27 March 2026 at The St. Regis Bangkok, Thailand, under the theme ""Navigating Uncertainties. Strengthening Resilience."" Registration is open at fuelsandlubes.com."	https://finance.yahoo.com/news/f-l-week-2026-convenes-081500109.html?.tsrc=rss
2026-03-05	Yahoo	0.068	Judge Issues New Order on Tariff Refunds. It’s a ‘Bit of a Bomb.’	The Court of International Trade directed Customs & Border Protection to pay refunds for tariffs imposed under emergency powers.	https://finance.yahoo.com/m/94b4c358-232c-369b-8f30-513c02dad034/judge-issues-new-order-on.html?.tsrc=rss
2026-03-05	Yahoo	0.068	Taiwan vehicle sales fall 20% in February	Market held back by Lunar New Year holidays.	https://www.just-auto.com/news/taiwan-vehicle-sales-fall-20-in-february/?.tsrc=rss
2026-03-05	Google	0.0	Aluminum Fence Installation in Ashland City, TN - TM Exterior - openPR.com		https://news.google.com/rss/articles/CBMimgFBVV95cUxQMjV1ZmdOSVNFU0tQTXY1Vmp4dklJTElmT254WGgyQnNHdnd1bHdacGxkY0YwcXh2UFNTQjdqdDhIVGZlX2o5SmF4bFdrX2FkVU1YZlItcU5CVWJfZXFNUHZxY1VFRWN0cXhnXzFsbVQ4QWpVaEpvSnpKX2tPREI3VFhoRFE4Wk00ZEV0YzV5U1lwTGJqd3hlc1lB?oc=5
2026-03-05	Google	0.0	American Century Companies Inc. Purchases 51,284 Shares of Toyota Motor Corporation $TM - MarketBeat		https://news.google.com/rss/articles/CBMi3gFBVV95cUxQdFJTWjhZSmhXYjRFVHR3emFlb05oclN6VjBaNWQ2cHlVSFYydnpMSWI3VkpxaTNOdUJqTnQtNVBaczdvc2ZuMnl5aTR1MWpleGd5cGY1aHU4aGwySWlVVlFjNGpESW9LQlFoWHA0Z0R0TVN3TDNxcW5JcDN6VlpBanVCbjdFeFBkTExnTXlyQW14d01Pa3pxSVBFTWc0c0YxTTRyZXN6SHd2V2hubzg2QXBIV1BWM1RXVlF6Q3EwRkNCTjY5eTFsTzJXUFZmdEw5OHFON2o2LUNhR3ZuU2c?oc=5
2026-03-05	Google	0.0	Edgewater Wireless Expands Spectrum Slicing(TM) Roadmap to Emerging Dual-Use Connectivity Applications - TheNewswire		https://news.google.com/rss/articles/CBMi8AFBVV95cUxPZGozZjJEd0RQejBfSzFsQkFRQ0N5RlY0TmMxYnFYdkxaZ3lCR0hGcE01WHB0bkdLUm1Wc0FxWlFoNXIzcGNDYTdqaGZ2NWUtTVNOUlJwYi1selJVVVhaaVoxWWlabkNOZHd0aVBPbzk2cHF5ZzIwVHZHT21BazE2aldiMC0xVzhwQzRYMGloWVZhV0N3d25QcjVhcWJtSVI1TW15eXhGSXI3TDFiQmhtVHFGdklXc3RMeG9rODRVOXl4S0RFa2ZrbGVBbDRBNWtGVWhuNHlqbm94NkZnblNubEZwZTRVcGQweGlGUzRfUlo?oc=5
2026-03-05	Google	0.0	Glidewell Enhances Glidewell Signature(TM) Service - Newswire.com		https://news.google.com/rss/articles/CBMikgFBVV95cUxQM0tKUkxJbExuNE54czJtc2s3c00wMktXLXMzVGRlNWlvSjloS2dlVkZtYmVVd2dZcTRzd3hTazZYdmFmVFNSTTdwNFY2ejhSa0wzZnU1S0p0bWFfd1dTdjFKUE1KQU1IQ2xhSF96a1g1cEhkWk1fT2FscEZkWGZHZGRqaFg1T1h6dGtHRVJKNG5Ldw?oc=5
2026-03-05	Google	0.0	Organigram Global Expands FAST(TM) Innovation Platform with SHRED Shotz, Leveraging SHRED Brand Equity - Stockhouse		https://news.google.com/rss/articles/CBMiwgFBVV95cUxQQkZTcnVOSmlpb2RFS3FHM25OWnpfLVRVYTFRQWFXcEZKeS1vWENpODlXYUk1UXdIOXVoQjltYkVJRy12V1dVYzRiM3ljM3h1TmtGbnZFRE91OVk4d1ZwNFBaSzRWUU9kenppRlhrX2gta0FRVWxLc3NWbG9qa2kyRFNySDB1SkluTXVmeC1rWElWazJiTzhJRE9EX1l3X1NjbXpQajBfcE01UEFrWDNNRHh5U1BCQlJnWnloanRaTlhVZw?oc=5
2026-03-05	Google	0.0	Rapid Dose Therapeutics (DOSE) (RDTCF) Secures Patent for QuickStrip(TM) Nicotine Oral Film Targeting $38B Smoke-Free Nicotine Market - Yahoo Finance		https://news.google.com/rss/articles/CBMihwFBVV95cUxQcFROYUVFN20zVm5WaHlCZVhIdUVCQU5KTldVSUx5WTBMR1NrLWVhWF9SR2J0RDM5Y0pHbHNCb0lVSzd6YjhKTk1KWWFQNjZRZExwMWZ0ZGhQejFhNFZxUFExZEFxVlJqdDlrTUU4UHBpUksxNE5rM1ptVWpKNzdQTF8xV2xYVWc?oc=5
