Metric	Value
52WeekChange	0.27169454
SandP52WeekChange	0.19142711
address1	1 Tesla Road
allTimeHigh	498.83
allTimeLow	0.998667
ask	415.0
askSize	1
auditRisk	4
averageAnalystRating	2.3 - Buy
averageDailyVolume10Day	46216460
averageDailyVolume3Month	53700329
averageVolume	53700329
averageVolume10days	46216460
beta	1.802
bid	407.33
bidSize	8
boardRisk	10
bookValue	21.897
city	Austin
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Elon R. Musk', 'age': 54, 'title': 'Co-Founder, Technoking of Tesla, CEO & Director', 'yearBorn': 1971, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 129602732032}, {'maxAge': 1, 'name': 'Mr. Vaibhav  Taneja', 'age': 47, 'title': 'Chief Financial Officer', 'yearBorn': 1978, 'fiscalYear': 2025, 'totalPay': 403000, 'exercisedValue': 15033838, 'unexercisedValue': 417696224}, {'maxAge': 1, 'name': 'Mr. Xiaotong  Zhu', 'age': 45, 'title': 'Senior Vice President of APAC & Global Vehicle Manufacturing', 'yearBorn': 1980, 'fiscalYear': 2025, 'totalPay': 376322, 'exercisedValue': 4548562, 'unexercisedValue': 808327104}, {'maxAge': 1, 'name': 'Travis  Axelrod', 'title': 'Head of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Brandon  Ehrhart', 'title': 'General Counsel & Corporate Secretary', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Franz  von Holzhausen', 'title': 'Chief Designer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Roxanne  Inskip-Kaye', 'title': 'Head of Operations - Electric Vehicle Business', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. John  Walker', 'age': 62, 'title': 'Vice President of Sales - North America', 'yearBorn': 1963, 'fiscalYear': 2025, 'totalPay': 121550, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Rodney D. Westmoreland Jr.', 'title': 'Director of Construction Management', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Lars  Moravy', 'title': 'Vice President of Vehicle Engineering', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	10
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	406.55
currentRatio	2.043
customPriceAlertConfidence	HIGH
dateShortInterest	1781481600
dayHigh	407.86
dayLow	390.8631
debtToEquity	18.738
discount_to_intrinsic_value	-4396.36
displayName	Tesla
earningsCallTimestampEnd	1784750400
earningsCallTimestampStart	1784750400
earningsGrowth	0.083
earningsQuarterlyGrowth	0.166
earningsTimestamp	1784750400
earningsTimestampEnd	1784750400
earningsTimestampStart	1784750400
ebitda	11093999616
ebitdaMargins	0.11334
enterpriseToEbitda	135.093
enterpriseToRevenue	15.312
enterpriseValue	1498722598912
epsCurrentYear	2.1233
epsForward	2.56089
epsTrailingTwelveMonths	1.1
eps_normalized_growth	-0.015565865137443624
esgPopulated	False
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	408.004
fiftyDayAverageChange	-1.45401
fiftyDayAverageChangePercent	-0.0035637151
fiftyTwoWeekChangePercent	27.169455
fiftyTwoWeekHigh	498.83
fiftyTwoWeekHighChange	-92.28
fiftyTwoWeekHighChangePercent	-0.18499288
fiftyTwoWeekLow	297.82
fiftyTwoWeekLowChange	108.72998
fiftyTwoWeekLowChangePercent	0.36508623
fiftyTwoWeekRange	297.82 - 498.83
financialCurrency	USD
firstTradeDateMilliseconds	1277818200000
floatShares	2625438772
forwardEps	2.56089
forwardPE	158.7534
freeCashflow	5251999744
fullExchangeName	NasdaqGS
fullTimeEmployees	134785
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1782864000
graham_intrinsic_value	9.04
grossMargins	0.19065
grossProfits	18660999168
hasPrePostMarketData	True
heldPercentInsiders	0.18737
heldPercentInstitutions	0.44867
impliedSharesOutstanding	3755723871
industry	Auto Manufacturers
industryDisp	Auto Manufacturers
industryKey	auto-manufacturers
isEarningsDateEstimate	False
language	en-US
lastFiscalYearEnd	1767139200
lastSplitDate	1661385600
lastSplitFactor	3:1
