Metric	Value
52WeekChange	0.5950928
SandP52WeekChange	0.15336108
address1	Hsinchu Science Park
address2	No. 8, Li-Hsin Road 6
allTimeHigh	479.0
allTimeLow	2.842947
ask	414.68
askSize	280
averageAnalystRating	1.4 - Strong Buy
averageDailyVolume10Day	9494220
averageDailyVolume3Month	12755000
averageVolume	12755000
averageVolume10days	9494220
beta	1.247
bid	413.88
bidSize	160
bookValue	4.8831744
city	Hsinchu City
companyOfficers	[{'maxAge': 1, 'name': 'Dr. C. C.  Wei Ph.D.', 'title': 'Chairman & CEO', 'fiscalYear': 2025, 'totalPay': 64747289, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jen-Chau  Huang', 'title': 'Senior VP & CFO', 'fiscalYear': 2025, 'totalPay': 9380104, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Y. P.  Chyn', 'title': 'Executive VP of Operations & Co-COO', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Y. J. Mii', 'title': 'Executive VP & Co-COO', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Min  Cao', 'title': 'VP of Research, Development, Pathfinding & Corporate Research and CTO', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Horng-Dar  Lin', 'title': 'Vice President of Corporate Information Technology & Chief Information Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jeff  Su', 'title': 'Director of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Sylvia  Fang', 'title': 'Senior VP, General Counsel & Corporate Governance Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Pei-Hong  Chen', 'title': 'Vice President of the Human Resources', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Wei-Jen  Lo', 'title': 'Senior Vice President of Corporate Strategy Development', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
corporateActions	[{'header': 'Dividend', 'message': 'TSM announced a cash dividend of $1.114 with an ex-date of Sep. 16, 2026', 'meta': {'eventType': 'DIVIDEND', 'dateEpochMs': 1789531200000, 'amount': '1.114'}}]
country	Taiwan
cryptoTradeable	False
currency	USD
currentPrice	413.75
currentRatio	2.458
customPriceAlertConfidence	HIGH
dateShortInterest	1788134400
dayHigh	421.94
dayLow	412.55
debtToEquity	16.504
discount_to_intrinsic_value	40.82
displayName	Taiwan Semiconductor Manufacturing Company
dividendDate	1799280000
dividendRate	4.08
dividendYield	0.98
earningsCallTimestampEnd	1784181600
earningsCallTimestampStart	1784181600
earningsGrowth	0.774
earningsQuarterlyGrowth	0.774
earningsTimestamp	1784205000
earningsTimestampEnd	1792067400
earningsTimestampStart	1792067400
ebitda	3167467077632
ebitdaMargins	0.71331
enterpriseToEbitda	4.716
enterpriseToRevenue	3.364
enterpriseValue	14936484872192
epsCurrentYear	16.93389
epsForward	21.9251
epsTrailingTwelveMonths	13.5
eps_normalized_growth	0.7384462523517001
esgPopulated	False
exDividendDate	1789516800
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fax	886 3 563 7000
fiftyDayAverage	418.6118
fiftyDayAverageChange	-4.861786
fiftyDayAverageChangePercent	-0.011614068
fiftyTwoWeekChangePercent	59.509277
fiftyTwoWeekHigh	479.0
fiftyTwoWeekHighChange	-65.25
fiftyTwoWeekHighChangePercent	-0.13622129
fiftyTwoWeekLow	257.98
fiftyTwoWeekLowChange	155.76999
fiftyTwoWeekLowChangePercent	0.60380644
fiftyTwoWeekRange	257.98 - 479.0
financialCurrency	TWD
firstTradeDateMilliseconds	876403800000
fiveYearAvgDividendYield	1.54
floatShares	37843003812
forwardEps	21.9251
forwardPE	18.871065
freeCashflow	730826014720
fullExchangeName	NYSE
fullTimeEmployees	76907
fulldayChange	-4.1500244
fulldayChangePercent	-0.992805
fulldayPrice	413.86
gmtOffSetMilliseconds	-14400000
graham_intrinsic_value	699.18
grossMargins	0.6423
grossProfits	2852135895040
hasPrePostMarketData	True
heldPercentInsiders	0.00013
heldPercentInstitutions	0.15489
impliedSharesOutstanding	5186474013
industry	Semiconductors
industryDisp	Semiconductors
industryKey	semiconductors
irWebsite	http://www.tsmc.com/english/investorRelations/index.htm
isEarningsDateEstimate	False
language	en-US
lastDividendDate	1781136000
lastDividendValue	0.955
lastFiscalYearEnd	1767139200
lastSplitDate	1247616000
lastSplitFactor	1005:1000
