Metric	Value
allTimeHigh	134.52
allTimeLow	6.95
ask	48.94
askSize	200
averageDailyVolume10Day	4143200
averageDailyVolume3Month	4007965
averageVolume	4007965
averageVolume10days	4143200
beta3Year	1.48
bid	48.8
bidSize	300
category	Natural Resources
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	49.92
dayLow	48.76
dividendYield	3.75
epsTrailingTwelveMonths	1.4375817
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	51.796
fiftyDayAverageChange	-2.8360023
fiftyDayAverageChangePercent	-0.054753307
fiftyTwoWeekChangePercent	53.50299
fiftyTwoWeekHigh	62.28
fiftyTwoWeekHighChange	-13.32
fiftyTwoWeekHighChangePercent	-0.21387284
fiftyTwoWeekLow	30.16
fiftyTwoWeekLowChange	18.8
fiftyTwoWeekLowChangePercent	0.62334216
fiftyTwoWeekRange	30.16 - 62.28
firstTradeDateMilliseconds	1288963800000
fiveYearAverageReturn	0.2284415
fullExchangeName	NYSEArca
fundFamily	Global X Funds
fundInceptionDate	1288828800
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts ("ADRs") and Global Depositary Receipts ("GDRs") based on the securities in the underlying index. The underlying index is designed to measure broad based equity market performance of global companies involved in the uranium industry. The fund is non-diversified.
longName	Global X Uranium ETF
market	us_market
marketState	POST
maxAge	86400
messageBoardId	finmb_115488468
navPrice	48.82
netAssets	7810848300.0
netExpenseRatio	0.69
open	49.465
phone	+1 8884938631
postMarketChange	-0.040000916
postMarketChangePercent	-0.08170122
postMarketPrice	48.92
postMarketTime	1779490626
previousClose	48.86
priceHint	2
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	0.0999985
regularMarketChangePercent	0.204663
regularMarketDayHigh	49.92
regularMarketDayLow	48.76
regularMarketDayRange	48.76 - 49.92
regularMarketOpen	49.465
regularMarketPreviousClose	48.86
regularMarketPrice	48.96
regularMarketTime	1779480000
regularMarketVolume	2789163
shortName	Global X Uranium ETF
sourceInterval	15
symbol	URA
threeYearAverageReturn	0.4062685
totalAssets	7810848256
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingPE	34.057194
trailingPegRatio	None
trailingThreeMonthNavReturns	-0.69718
trailingThreeMonthReturns	-0.69718
triggerable	True
twoHundredDayAverage	49.204
twoHundredDayAverageChange	-0.24399948
twoHundredDayAverageChangePercent	-0.004958936
typeDisp	ETF
volume	2789163
yield	0.0375
ytdReturn	29.69881
