Metric	Value
52WeekChange	0.7322917
SandP52WeekChange	0.26603174
address1	Praia de Botafogo, 186
address2	Rooms 1801 to 2001
allTimeHigh	44.15
allTimeLow	1.804167
ask	17.08
askSize	11100
averageAnalystRating	2.1 - Buy
averageDailyVolume10Day	23211840
averageDailyVolume3Month	29672618
averageVolume	29672618
averageVolume10days	23211840
beta	0.753
bid	17.01
bidSize	10500
bookValue	8.63031
city	Rio De Janeiro
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Gustavo Duarte Pimenta', 'age': 47, 'title': 'Chief Executive Officer', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Marcelo Feriozzi Bacci', 'age': 55, 'title': 'Executive Vice President of Finance & Investor Relations', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Carlos Henrique Senna Medeiros', 'age': 62, 'title': 'Executive Vice President of Operations', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Rafael Jabur Bittar', 'age': 45, 'title': 'Executive Vice President of Technical', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Thiago Kiill Lofiego C.F.A.', 'title': 'Director & Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Denis Celso Marques Cuenca', 'title': 'Chief Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Sami Arap Sobrinho', 'title': 'Chief Legal Officer', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Samanta  Pillar', 'title': 'Executive Vice President of People', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Rogério Tavares Nogueira', 'title': 'Executive Vice President of Commercial & Development', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Grazielle Tallia Parenti', 'age': 54, 'title': 'Executive Vice President of Sustainability', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}]
corporateActions	[]
country	Brazil
cryptoTradeable	False
currency	USD
currentPrice	17.07
currentRatio	1.24
customPriceAlertConfidence	HIGH
dateShortInterest	1776211200
dayHigh	17.115
dayLow	16.715
debtToEquity	57.146
discount_to_intrinsic_value	-16.57
displayName	Vale
dividendDate	1773187200
dividendRate	1.26
dividendYield	7.57
earningsCallTimestampEnd	1777471200
earningsCallTimestampStart	1777471200
earningsGrowth	0.22
earningsQuarterlyGrowth	0.219
earningsTimestamp	1777406400
earningsTimestampEnd	1777406400
earningsTimestampStart	1777406400
ebitda	77895000064
ebitdaMargins	0.36253
enterpriseToEbitda	2.078
enterpriseToRevenue	0.754
enterpriseValue	161900593152
epsCurrentYear	2.07688
epsForward	2.03355
epsTrailingTwelveMonths	0.66
eps_normalized_growth	0.06792895897989748
esgPopulated	False
exDividendDate	1765497600
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	16.1072
fiftyDayAverageChange	0.9627991
fiftyDayAverageChangePercent	0.05977445
fiftyTwoWeekChangePercent	73.22917
fiftyTwoWeekHigh	17.94
fiftyTwoWeekHighChange	-0.87000084
fiftyTwoWeekHighChangePercent	-0.04849503
fiftyTwoWeekLow	8.97
fiftyTwoWeekLowChange	8.099999
fiftyTwoWeekLowChangePercent	0.90300995
fiftyTwoWeekRange	8.97 - 17.94
financialCurrency	BRL
firstTradeDateMilliseconds	1016721000000
fiveYearAvgDividendYield	9.34
floatShares	3962135665
forwardEps	2.03355
forwardPE	8.394187
freeCashflow	10600125440
fullExchangeName	NYSE
fullTimeEmployees	65805
gmtOffSetMilliseconds	-14400000
graham_intrinsic_value	14.64
grossMargins	0.35076
grossProfits	75364999168
hasPrePostMarketData	True
heldPercentInsiders	2.0000001e-05
heldPercentInstitutions	0.24972
impliedSharesOutstanding	4264533765
industry	Other Industrial Metals & Mining
industryDisp	Other Industrial Metals & Mining
industryKey	other-industrial-metals-mining
isEarningsDateEstimate	False
language	en-US
lastDividendDate	1765497600
lastDividendValue	0.668
lastFiscalYearEnd	1767139200
lastSplitDate	1189641600
lastSplitFactor	2:1
longBusinessSummary	Vale S.A., together with its subsidiaries, produces iron ore and nickel in Brazil, Asia, the Middle East, North Africa, Europe, the Americas, and Oceania. The company operates in two segments, Iron Ore Solutions and Vale Base Metals. It extracts, produces, and distributes iron ore, iron ore pellets, briquettes, nickel, copper, other ferrous products, and by-products, including gold, silver, cobalt, platinum-group metals, and other base metals, as well as low-carbon critical minerals. The company also operates logistics systems and distribution centers, such as mining complexes, railways, and maritime terminals, ports, and ships; generates energy from hydroelectric, solar, and wind sources; and engages in greenfield mineral exploration. In addition, it is involved in research; and trading activities. The company was formerly known as Companhia Vale do Rio Doce and changed its name to Vale S.A. in May 2009. Vale S.A. was founded in 1942 and is headquartered in Rio De Janeiro, Brazil.
longName	Vale S.A.
market	us_market
marketCap	72795586560
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_874225
mostRecentQuarter	1774915200
netIncomeToCommon	15603000320
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	69640519859
numberOfAnalystOpinions	25
open	16.8
operatingCashflow	48816001024
operatingMargins	0.28124002
payoutRatio	1.205
pegRatio	0.35
phone	55 21 3485 5000
postMarketChange	0.07850075
postMarketChangePercent	0.4598755
postMarketPrice	17.1485
postMarketTime	1778543982
previousClose	16.63
priceEpsCurrentYear	8.219059
priceHint	2
priceToBook	1.9779127
priceToSalesTrailing12Months	0.33879843
profitMargins	0.072620004
quickRatio	0.666
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	buy
recommendationMean	2.12
region	US
regularMarketChange	0.440001
regularMarketChangePercent	2.64582
regularMarketDayHigh	17.115
regularMarketDayLow	16.715
regularMarketDayRange	16.715 - 17.115
regularMarketOpen	16.8
regularMarketPreviousClose	16.63
regularMarketPrice	17.07
regularMarketTime	1778529602
regularMarketVolume	27295581
returnOnAssets	0.081870005
returnOnEquity	0.068390004
revenueGrowth	0.027
revenuePerShare	50.334
sector	Basic Materials
sectorDisp	Basic Materials
sectorKey	basic-materials
sharesOutstanding	4264533753
sharesPercentSharesOut	0.0165
sharesShort	70429636
sharesShortPreviousMonthDate	1773360000
sharesShortPriorMonth	57537849
shortName	VALE S.A.
shortPercentOfFloat	0.0165
shortRatio	2.55
sourceInterval	15
state	RJ
symbol	VALE
targetHighPrice	21.0
targetLowPrice	14.1
targetMeanPrice	17.184
targetMedianPrice	17.0
totalCash	27552000000
totalCashPerShare	6.461
totalDebt	111957999616
totalRevenue	214864003072
tradeable	False
trailingAnnualDividendRate	5.477
trailingAnnualDividendYield	0.3293446
trailingEps	0.66
trailingPE	25.863634
trailingPegRatio	0.3467
triggerable	True
twoHundredDayAverage	13.3825
twoHundredDayAverageChange	3.6875
twoHundredDayAverageChangePercent	0.27554643
typeDisp	Equity
volume	27295581
website	https://vale.com
zip	22250-145
