Date	Sentiment_Daily	News_Volume
2025-04-01	0.0000	1
2025-04-14	0.0000	1
2025-04-24	0.0000	2
2025-04-30	0.0000	1
2025-05-11	0.1600	1
2025-05-17	0.0000	1
2025-06-02	0.0000	1
2025-06-03	0.1250	1
2025-06-05	-0.1330	1
2025-06-12	0.0000	1
2025-06-24	0.0000	1
2025-06-25	-0.5330	1
2025-06-26	0.0000	1
2025-06-27	0.0000	1
2025-07-03	0.0000	1
2025-07-04	0.1330	1
2025-07-09	0.0000	1
2025-07-23	0.0000	1
2025-07-28	0.1510	1
2025-07-29	0.0000	1
2025-08-04	0.0000	1
2025-08-13	0.0000	1
2025-08-14	0.4000	1
2025-08-18	0.0000	1
2025-08-20	0.0000	1
2025-08-25	-0.2000	1
2025-09-04	0.0910	1
2025-09-05	0.8000	1
2025-09-11	0.0000	1
2025-09-12	0.0000	1
2025-09-23	0.0000	1
2025-09-24	0.5000	1
2025-09-25	0.0200	2
2025-09-26	0.0000	1
2025-09-30	-0.5330	1
2025-10-02	0.0000	1
2025-10-06	0.0000	1
2025-10-07	0.0000	1
2025-10-10	0.0000	1
2025-10-13	0.0000	1
2025-10-14	0.1000	1
2025-10-15	0.0000	1
2025-10-21	0.0000	1
2025-10-22	0.0000	1
2025-10-24	0.0000	1
2025-10-29	0.0000	1
2025-10-30	0.0000	2
2025-10-31	0.0000	1
2025-11-05	0.0000	1
2025-11-10	0.0000	1
2025-11-11	0.5250	1
2025-11-13	0.0000	1
2025-11-15	0.1600	1
2025-11-26	0.0000	1
2025-11-27	0.1360	1
2025-11-28	0.0000	1
2025-12-01	0.0000	1
2025-12-02	-0.5330	1
2025-12-08	0.4000	1
2025-12-12	0.0000	1
2025-12-13	0.1500	1
2025-12-17	0.0000	1
2025-12-30	0.0000	1
2025-12-31	0.0000	1
2026-01-01	0.0000	1
2026-01-02	0.0228	4
2026-01-04	0.0000	2
2026-01-05	0.0000	3
2026-01-06	0.0000	2
2026-01-07	0.0000	1
2026-01-12	0.0000	1
2026-01-13	0.0000	1
2026-01-14	0.0000	1
2026-01-15	0.0000	1
2026-01-18	0.8000	1
2026-01-20	0.2500	1
2026-01-21	0.0000	1
2026-01-22	0.1000	1
2026-01-23	0.2500	1
2026-01-26	0.0000	4
2026-01-27	0.0000	2
2026-01-28	0.0000	1
2026-01-29	0.2500	2
2026-01-31	-0.1000	1
2026-02-02	0.1430	2
2026-02-03	0.3330	1
2026-02-04	0.0750	2
2026-02-05	0.0000	1
2026-02-06	0.3000	1
2026-02-07	0.0000	1
2026-02-10	0.0000	1
2026-02-11	0.2000	1
2026-02-12	0.2190	2
2026-02-13	0.0723	3
2026-02-14	0.0000	1
2026-02-15	0.0000	2
2026-02-16	-0.0187	7
2026-02-17	0.0520	8
2026-02-18	0.0013	6
2026-02-19	-0.1397	26
2026-02-20	0.0191	19
2026-02-21	0.1665	2
2026-02-22	0.0418	11
2026-02-23	-0.0034	23
2026-02-24	0.0619	7
2026-02-25	0.8000	1
2026-02-26	0.0000	1
2026-02-27	0.0000	4
2026-02-28	0.0083	9
2026-03-01	0.0042	11
2026-03-02	0.1132	29
2026-03-03	-0.0528	44
2026-03-04	0.1094	32
2026-03-05	-0.0667	22
2026-03-06	0.0000	1
2026-03-07	0.0000	1
2026-03-08	0.0788	39
2026-03-09	0.0500	24
2026-03-10	0.0453	3
2026-03-11	0.1504	22
2026-03-12	0.0000	3
2026-03-13	-0.2460	1
2026-03-14	0.0166	8
2026-03-15	0.1000	5
2026-03-16	-0.0012	25
2026-03-17	0.0000	2
2026-03-18	0.0000	1
2026-03-19	0.1485	32
2026-03-20	-0.0360	1
2026-03-21	0.0000	1
2026-03-22	0.1000	7
2026-03-23	0.1089	31
2026-03-24	0.0305	4
2026-03-25	0.0000	2
2026-03-26	0.0000	1
2026-03-27	0.0482	20
2026-03-28	0.1248	18
2026-03-29	0.1000	5
2026-03-30	0.0826	31
2026-03-31	-0.0326	35
2026-04-01	-0.0008	22
2026-04-02	0.1222	9
2026-04-03	0.1009	9
2026-04-04	0.1038	38
2026-04-05	0.0744	11
2026-04-06	0.0198	10
2026-04-07	0.0040	25
2026-04-08	0.9000	1
2026-04-09	0.0544	22
2026-04-10	0.0534	19
2026-04-11	0.2832	4
2026-04-12	0.0000	2
2026-04-13	0.0077	12
2026-04-14	0.0520	23
2026-04-15	0.0533	24
2026-04-16	0.1184	34
2026-04-17	1.0000	1
2026-04-18	0.1375	4
2026-04-19	0.0000	11
2026-04-20	0.0090	27
2026-04-21	0.0878	18
2026-04-22	0.0983	18
2026-04-23	0.0130	21
2026-04-24	0.0000	2
2026-04-25	0.0000	1
2026-04-26	0.0555	6
2026-04-27	0.1891	10
2026-04-28	0.0387	35
2026-04-29	0.0825	34
2026-04-30	0.0000	4
2026-05-01	-0.0410	4
2026-05-02	0.0437	11
2026-05-03	0.0000	1
2026-05-04	0.0889	14
2026-05-05	0.0292	13
2026-05-06	0.0927	23
2026-05-07	0.0366	16
2026-05-08	0.0947	6
2026-05-09	-0.0667	3
2026-05-10	0.1422	5
2026-05-11	0.0715	21
2026-05-12	-0.4000	2
2026-05-13	0.0631	9
2026-05-14	0.0016	14
2026-05-15	0.0340	4
2026-05-16	0.0500	4
2026-05-17	0.0648	6
2026-05-18	0.1314	9
2026-05-19	0.1389	29
2026-05-20	0.1250	2
2026-05-21	0.1631	19
2026-05-22	-0.0361	18
2026-05-23	0.0000	3
2026-05-24	0.0000	1
2026-05-25	0.0688	16
2026-05-26	0.1850	20
