Metric	Value
allTimeHigh	245.26
allTimeLow	34.94
ask	243.2
askSize	300
averageDailyVolume10Day	36420
averageDailyVolume3Month	50041
averageVolume	50041
averageVolume10days	36420
beta3Year	0.91
bid	237.48
bidSize	1200
category	Natural Resources
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	240.11
dayLow	238.725
dividendYield	1.42
epsTrailingTwelveMonths	9.806221
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	230.4512
fiftyDayAverageChange	9.217804
fiftyDayAverageChangePercent	0.03999894
fiftyTwoWeekChangePercent	15.760242
fiftyTwoWeekHigh	245.26
fiftyTwoWeekHighChange	-5.590988
fiftyTwoWeekHighChangePercent	-0.022796169
fiftyTwoWeekLow	190.29
fiftyTwoWeekLowChange	49.379013
fiftyTwoWeekLowChangePercent	0.25949347
fiftyTwoWeekRange	190.29 - 245.26
firstTradeDateMilliseconds	1075473000000
fiveYearAverageReturn	0.0699007
fullExchangeName	NYSEArca
fulldayPrice	239.6693
fundFamily	Vanguard
fundInceptionDate	1075075200
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund employs an indexing investment approach designed to track the performance of the index, an index made up of stocks of large, mid-size, and small U.S. companies within the materials sector, as classified under the GICS. The Advisor attempts to replicate the target index by seeking to invest all, or substantially all, of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. The fund is non-diversified.
longName	Vanguard Materials Index Fund ETF Shares
market	us_market
marketState	CLOSED
maxAge	86400
messageBoardId	finmb_22939102
navPrice	234.62
netAssets	4391313400.0
netExpenseRatio	0.09
open	237.91
postMarketChange	0.000289917
postMarketChangePercent	0.000120965575
postMarketPrice	239.6693
postMarketTime	1787355004
previousClose	234.6
priceHint	2
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	5.06929
regularMarketChangePercent	2.16082
regularMarketDayHigh	240.11
regularMarketDayLow	238.725
regularMarketDayRange	238.725 - 240.11
regularMarketOpen	237.91
regularMarketPreviousClose	234.6
regularMarketPrice	239.669
regularMarketTime	1787342070
regularMarketVolume	38896
shortName	Vanguard Materials ETF
sourceInterval	15
symbol	VAW
threeYearAverageReturn	0.1151854
totalAssets	4391313408
tradeable	False
trailingPE	24.440506
trailingPegRatio	None
trailingThreeMonthNavReturns	-3.67721
trailingThreeMonthReturns	-3.67721
triggerable	True
twoHundredDayAverage	224.45386
twoHundredDayAverageChange	15.215149
twoHundredDayAverageChangePercent	0.067787424
typeDisp	ETF
volume	38896
yield	0.014199999
ytdReturn	8.22687
