Metric	Value
allTimeHigh	179.34
allTimeLow	30.03
ask	165.36
askSize	400
averageDailyVolume10Day	444350
averageDailyVolume3Month	685844
averageVolume	685844
averageVolume10days	444350
beta3Year	-0.01
bid	163.11
bidSize	200
bookValue	56.102
category	Equity Energy
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	165.8
dayLow	161.32
dividendYield	2.68
epsTrailingTwelveMonths	7.61009
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	160.0036
fiftyDayAverageChange	5.246399
fiftyDayAverageChangePercent	0.032789256
fiftyTwoWeekChangePercent	39.69561
fiftyTwoWeekHigh	179.34
fiftyTwoWeekHighChange	-14.089996
fiftyTwoWeekHighChangePercent	-0.078565836
fiftyTwoWeekLow	118.17
fiftyTwoWeekLowChange	47.08
fiftyTwoWeekLowChangePercent	0.3984091
fiftyTwoWeekRange	118.17 - 179.34
financialCurrency	USD
firstTradeDateMilliseconds	1096464600000
fiveYearAverageReturn	0.2361222
fullExchangeName	NYSEArca
fundFamily	Vanguard
fundInceptionDate	1095897600
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund employs an indexing investment approach designed to track the performance of the index, an index made up of stocks of large, mid-size, and small U.S. companies within the energy sector, as classified under the GICS. The Advisor attempts to replicate the target index by seeking to invest all, or substantially all, of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. The fund is non-diversified.
longName	Vanguard Energy Index Fund ETF Shares
market	us_market
marketCap	6865231872
marketState	POST
maxAge	86400
messageBoardId	finmb_8815884
navPrice	167.97
netAssets	11076583400.0
netExpenseRatio	0.09
open	163.53
postMarketChange	1.0599976
postMarketChangePercent	0.6414509
postMarketPrice	166.31
postMarketTime	1785881333
previousClose	165.87
priceHint	2
priceToBook	2.9455278
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	-0.619995
regularMarketChangePercent	-0.373784
regularMarketDayHigh	165.8
regularMarketDayLow	161.32
regularMarketDayRange	161.32 - 165.8
regularMarketOpen	163.53
regularMarketPreviousClose	165.87
regularMarketPrice	165.25
regularMarketTime	1785873600
regularMarketVolume	521277
sharesOutstanding	41751700
shortName	Vanguard Energy ETF
sourceInterval	15
symbol	VDE
threeYearAverageReturn	0.14579171
totalAssets	11076583424
tradeable	False
trailingAnnualDividendRate	2.469
trailingAnnualDividendYield	0.014885152
trailingPE	21.714592
trailingPegRatio	None
trailingThreeMonthNavReturns	-12.5413
trailingThreeMonthReturns	-12.5413
triggerable	True
twoHundredDayAverage	148.61446
twoHundredDayAverageChange	16.635544
twoHundredDayAverageChangePercent	0.11193759
typeDisp	ETF
volume	521277
yield	0.026800001
ytdReturn	20.86278
