Metric	Value
allTimeHigh	70.55
allTimeLow	19.27
ask	68.13
askSize	3600
averageDailyVolume10Day	11553920
averageDailyVolume3Month	17381678
averageVolume	17381678
averageVolume10days	11553920
beta3Year	1.0
bid	67.92
bidSize	4800
category	Foreign Large Blend
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	68.7152
dayLow	67.7199
dividendYield	2.94
epsTrailingTwelveMonths	3.6643515
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	66.6112
fiftyDayAverageChange	1.2988052
fiftyDayAverageChangePercent	0.019498302
fiftyTwoWeekChangePercent	27.946377
fiftyTwoWeekHigh	70.55
fiftyTwoWeekHighChange	-2.6399994
fiftyTwoWeekHighChangePercent	-0.037420258
fiftyTwoWeekLow	53.33
fiftyTwoWeekLowChange	14.580002
fiftyTwoWeekLowChangePercent	0.2733921
fiftyTwoWeekRange	53.33 - 70.55
firstTradeDateMilliseconds	1185456600000
fiveYearAverageReturn	0.097226895
fullExchangeName	NYSEArca
fundFamily	Vanguard
fundInceptionDate	1184889600
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund employs an indexing investment approach designed to track the performance of the FTSE Developed All Cap ex U.S. Index, a market-capitalization-weighted index that is made up of approximately 3,957 common stocks of large-, mid-, and small-cap companies located in Canada and the major markets of Europe and the Pacific region. The Advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.
longName	Vanguard FTSE Developed Markets Index Fund ETF Shares
market	us_market
marketState	POST
maxAge	86400
messageBoardId	finmb_28121289
navPrice	68.53
netAssets	282201522000.0
netExpenseRatio	0.03
open	68.48
postMarketChange	-0.11000061
postMarketChangePercent	-0.16197997
postMarketPrice	67.8
postMarketTime	1777933701
previousClose	68.72
priceHint	2
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	-0.809998
regularMarketChangePercent	-1.17869
regularMarketDayHigh	68.7152
regularMarketDayLow	67.7199
regularMarketDayRange	67.7199 - 68.7152
regularMarketOpen	68.48
regularMarketPreviousClose	68.72
regularMarketPrice	67.91
regularMarketTime	1777924800
regularMarketVolume	14802176
shortName	Vanguard FTSE Developed Markets
sourceInterval	15
symbol	VEA
threeYearAverageReturn	0.178296
totalAssets	282201522176
tradeable	False
trailingPE	18.532612
trailingPegRatio	None
trailingThreeMonthNavReturns	2.47039
trailingThreeMonthReturns	2.47039
triggerable	True
twoHundredDayAverage	62.696
twoHundredDayAverageChange	5.2140045
twoHundredDayAverageChangePercent	0.08316328
typeDisp	ETF
volume	14802176
yield	0.0294
ytdReturn	2.47039
