Metric	Value
address1	Valley Forge PA 19482
address2	PO Box 2600
address3	Vanguard International Equity Index Fund
allTimeHigh	128.75
allTimeLow	60.0
annualHoldingsTurnover	0.06
annualReportExpenseRatio	0.0005
averageDailyVolume10Day	0
averageDailyVolume3Month	0
averageVolume	0
averageVolume10days	0
beta3Year	0.75
bookValue	48.146
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	NONE
dividendRate	0.1524
dividendYield	2.29
epsTrailingTwelveMonths	7.9938912
esgPopulated	False
exchange	NAS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	125.1946
fiftyDayAverageChange	0.80539703
fiftyDayAverageChangePercent	0.006433161
fiftyTwoWeekChangePercent	9.05267
fiftyTwoWeekHigh	128.75
fiftyTwoWeekHighChange	-2.75
fiftyTwoWeekHighChangePercent	-0.021359224
fiftyTwoWeekLow	110.02
fiftyTwoWeekLowChange	15.980003
fiftyTwoWeekLowChangePercent	0.14524636
fiftyTwoWeekRange	110.02 - 128.75
financialCurrency	USD
firstTradeDateMilliseconds	1292250600000
fullExchangeName	Nasdaq
fulldayChange	1.56
fulldayChangePercent	1.2536162
fulldayPrice	126.0
fundInceptionDate	1109894400
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	False
language	en-US
lastCapGain	19.0
lastDividendValue	0.1524
longBusinessSummary	The index measures the investment return of stocks issued by companies located in emerging market countries. The fund employs an indexing investment approach designed to track the performance of the FTSE Emerging Markets All Cap China A Inclusion Index. It invests by sampling the index, meaning that it holds a broadly diversified collection of securities that, in the aggregate, approximates the index in terms of key characteristics.
longName	Vanguard Emerging Mkts Stock Idx InsPlus
market	us_market
marketCap	260826759168
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_20936186
morningStarOverallRating	3
morningStarRiskRating	2
netAssets	168359133000.0
netExpenseRatio	0.05
previousClose	124.44
priceHint	2
priceToBook	2.61704
quoteSourceName	Delayed Quote
quoteType	MUTUALFUND
region	US
regularMarketChange	1.56
regularMarketChangePercent	1.2536162
regularMarketPreviousClose	124.44
regularMarketPrice	126.0
regularMarketTime	1789690115
sharesOutstanding	2132679936
shortName	Vanguard Emerging Markets Stock
sourceInterval	15
symbol	VEMRX
totalAssets	168359133184
tradeable	False
trailingAnnualDividendRate	1.122
trailingAnnualDividendYield	0.009016393
trailingPE	15.762035
trailingPegRatio	None
trailingThreeMonthReturns	1.43538
triggerable	False
twoHundredDayAverage	120.8971
twoHundredDayAverageChange	5.1028976
twoHundredDayAverageChangePercent	0.0422086
typeDisp	Fund
yield	0.0229
ytdReturn	12.8618
