Metric	Value
address1	Valley Forge PA 19482
address2	Po Box 2600 V26
address3	Vanguard Health Care
allTimeHigh	66.52
allTimeLow	21.12
annualHoldingsTurnover	0.07
annualReportExpenseRatio	0.0011
averageDailyVolume10Day	0
averageDailyVolume3Month	0
averageVolume	0
averageVolume10days	0
beta3Year	1.08
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	NONE
dividendRate	0.5589
dividendYield	0.87
epsTrailingTwelveMonths	2.2892966
esgPopulated	False
exchange	NAS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	65.0186
fiftyDayAverageChange	-2.7186012
fiftyDayAverageChangePercent	-0.04181267
fiftyTwoWeekChangePercent	21.289217
fiftyTwoWeekHigh	66.52
fiftyTwoWeekHighChange	-4.2199974
fiftyTwoWeekHighChangePercent	-0.06343953
fiftyTwoWeekLow	46.92
fiftyTwoWeekLowChange	15.380001
fiftyTwoWeekLowChangePercent	0.32779202
fiftyTwoWeekRange	46.92 - 66.52
firstTradeDateMilliseconds	1549549800000
fullExchangeName	Nasdaq
fundInceptionDate	1042502400
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	False
language	en-US
lastCapGain	53.0
lastDividendValue	0.5589
longBusinessSummary	The index is composed of large- and mid-cap stocks of companies that are screened for certain environmental, social, and corporate governance (ESG) criteria by the index provider. The manager attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index. It is non-diversified.
longName	Vanguard FTSE Social Index Fund
market	us_market
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_28116251
morningStarOverallRating	3
morningStarRiskRating	5
netAssets	24855828500.0
netExpenseRatio	0.11
previousClose	63.41
priceHint	2
quoteSourceName	Delayed Quote
quoteType	MUTUALFUND
region	US
regularMarketChange	-1.11
regularMarketChangePercent	-1.7505126
regularMarketPreviousClose	63.41
regularMarketPrice	62.3
regularMarketTime	1773360251
shortName	Vanguard FTSE Social Index Fund
sourceInterval	15
symbol	VFTAX
totalAssets	24855828480
tradeable	False
trailingPE	27.213598
trailingPegRatio	None
trailingThreeMonthReturns	-2.06996
triggerable	False
twoHundredDayAverage	62.92195
twoHundredDayAverageChange	-0.62195206
twoHundredDayAverageChangePercent	-0.009884501
typeDisp	Fund
yield	0.0087
ytdReturn	-2.12181
