Metric	Value
allTimeHigh	568.07
allTimeLow	3.60625
ask	101.56
askSize	1240
averageDailyVolume10Day	4582200
averageDailyVolume3Month	4371245
averageVolume	4371245
averageVolume10days	4582200
beta3Year	1.18
bid	101.59
bidSize	40
category	Technology
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	102.76
dayLow	100.25
dividendYield	0.44
epsTrailingTwelveMonths	22.393366
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	91.93275
fiftyDayAverageChange	9.637253
fiftyDayAverageChangePercent	0.10482938
fiftyTwoWeekChangePercent	53.093483
fiftyTwoWeekHigh	103.05
fiftyTwoWeekHighChange	-1.4800034
fiftyTwoWeekHighChangePercent	-0.0143619925
fiftyTwoWeekLow	65.3775
fiftyTwoWeekLowChange	36.192497
fiftyTwoWeekLowChangePercent	0.55359256
fiftyTwoWeekRange	65.3775 - 103.05
firstTradeDateMilliseconds	1075473000000
fiveYearAverageReturn	0.17570668
fullExchangeName	NYSEArca
fundFamily	Vanguard
fundInceptionDate	1075075200
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund employs an indexing investment approach designed to track the performance of the index, an index made up of stocks of large, mid-size, and small U.S. companies within the information technology sector, as classified under the GICS. The Advisor attempts to replicate the target index by seeking to invest all of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. It is non-diversified.
longName	Vanguard Information Technology Index Fund ETF Shares
market	us_market
marketState	POST
maxAge	86400
messageBoardId	finmb_22939099
navPrice	103.04
netAssets	121284207000.0
netExpenseRatio	0.09
open	102.21
postMarketChange	0.7099991
postMarketChangePercent	0.6990244
postMarketPrice	102.28
postMarketTime	1776987778
previousClose	103.03
priceHint	2
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	-1.46
regularMarketChangePercent	-1.41706
regularMarketDayHigh	102.76
regularMarketDayLow	100.25
regularMarketDayRange	100.25 - 102.76
regularMarketOpen	102.21
regularMarketPreviousClose	103.03
regularMarketPrice	101.57
regularMarketTime	1776974400
regularMarketVolume	4775074
shortName	Vanguard Information Tech ETF
sourceInterval	15
symbol	VGT
threeYearAverageReturn	0.3040949
totalAssets	121284206592
tradeable	False
trailingPE	4.5357184
trailingPegRatio	None
trailingThreeMonthNavReturns	-7.2988
trailingThreeMonthReturns	-7.2988
triggerable	True
twoHundredDayAverage	91.926506
twoHundredDayAverageChange	9.643494
twoHundredDayAverageChangePercent	0.10490438
typeDisp	ETF
volume	4775074
yield	0.0044
ytdReturn	-7.2988
