Metric	Value
allTimeHigh	242.58
allTimeLow	30.29
ask	244.81
askSize	700
averageDailyVolume10Day	972670
averageDailyVolume3Month	1108872
averageVolume	1108872
averageVolume10days	972670
beta3Year	0.75
bid	244.57
bidSize	500
category	Large Blend
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	245.7
dayLow	243.75
dividendYield	1.51
epsTrailingTwelveMonths	8.985891
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	236.3398
fiftyDayAverageChange	8.040207
fiftyDayAverageChangePercent	0.03401969
fiftyTwoWeekChangePercent	16.076172
fiftyTwoWeekHigh	245.7
fiftyTwoWeekHighChange	-1.3199921
fiftyTwoWeekHighChangePercent	-0.005372373
fiftyTwoWeekLow	205.35
fiftyTwoWeekLowChange	39.03
fiftyTwoWeekLowChangePercent	0.19006573
fiftyTwoWeekRange	205.35 - 245.7
firstTradeDateMilliseconds	1146576600000
fiveYearAverageReturn	0.1040417
fullExchangeName	NYSEArca
fundFamily	Vanguard
fundInceptionDate	1145577600
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The adviser employs an indexing investment approach designed to track the performance of the index, which consists of common stocks of companies that have a record of increasing dividends over time. The adviser attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.
longName	Vanguard Dividend Appreciation Index Fund ETF Shares
market	us_market
marketState	POST
maxAge	86400
messageBoardId	finmb_26955607
navPrice	240.16
netAssets	129462993000.0
netExpenseRatio	0.04
open	245.57
phone	6106696295
postMarketChange	-0.2400055
postMarketChangePercent	-0.098209955
postMarketPrice	244.14
postMarketTime	1785971983
previousClose	243.92
priceHint	2
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	0.460007
regularMarketChangePercent	0.188589
regularMarketDayHigh	245.7
regularMarketDayLow	243.75
regularMarketDayRange	243.75 - 245.7
regularMarketOpen	245.57
regularMarketPreviousClose	243.92
regularMarketPrice	244.38
regularMarketTime	1785960000
regularMarketVolume	1008846
shortName	Vanguard Div Appreciation ETF
sourceInterval	15
symbol	VIG
threeYearAverageReturn	0.1549508
totalAssets	129462992896
tradeable	False
trailingPE	27.195967
trailingPegRatio	None
trailingThreeMonthNavReturns	10.51932
trailingThreeMonthReturns	10.51932
triggerable	True
twoHundredDayAverage	225.6828
twoHundredDayAverageChange	18.697205
twoHundredDayAverageChangePercent	0.082847275
typeDisp	ETF
volume	1008846
yield	0.0150999995
ytdReturn	8.58881
