Metric	Value
address1	Valley Forge, PA 19482
address2	PO Box 2600
address3	Vanguard Index Funds
allTimeHigh	259.45
allTimeLow	16.74
annualHoldingsTurnover	0.12
annualReportExpenseRatio	0.0005
averageDailyVolume10Day	0
averageDailyVolume3Month	0
averageVolume	0
averageVolume10days	0
beta3Year	1.18
bookValue	215.749
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	NONE
dividendRate	0.2359
dividendYield	0.44
epsTrailingTwelveMonths	6.8965573
esgPopulated	False
exchange	NAS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	239.3416
fiftyDayAverageChange	21.018387
fiftyDayAverageChangePercent	0.08781753
fiftyTwoWeekChangePercent	30.902826
fiftyTwoWeekHigh	259.45
fiftyTwoWeekHighChange	0.90997314
fiftyTwoWeekHighChangePercent	0.0035073159
fiftyTwoWeekLow	197.49
fiftyTwoWeekLowChange	62.86998
fiftyTwoWeekLowChangePercent	0.31834513
fiftyTwoWeekRange	197.49 - 259.45
financialCurrency	USD
firstTradeDateMilliseconds	974125800000
fullExchangeName	Nasdaq
fundInceptionDate	1075075200
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	False
language	en-US
lastCapGain	49.0
lastDividendValue	0.2359
longBusinessSummary	The fund employs an indexing investment approach designed to track the performance of the index, a broadly diversified index predominantly made up of growth stocks of large U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.
longName	Vanguard Growth Index Admiral
market	us_market
marketCap	210203312128
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_22939698
morningStarOverallRating	4
morningStarRiskRating	3
netAssets	317921722000.0
netExpenseRatio	0.05
phone	800-523-1036
previousClose	258.52
priceHint	2
priceToBook	1.2067727
quoteSourceName	Delayed Quote
quoteType	MUTUALFUND
region	US
regularMarketChange	1.84
regularMarketChangePercent	0.71174383
regularMarketPreviousClose	258.52
regularMarketPrice	260.36
regularMarketTime	1778021630
sharesOutstanding	822456000
shortName	Vanguard Growth Index Fd Admira
sourceInterval	15
symbol	VIGAX
totalAssets	317921722368
tradeable	False
trailingAnnualDividendRate	1.54
trailingAnnualDividendYield	0.005956986
trailingPE	37.752167
trailingPegRatio	None
trailingThreeMonthReturns	-10.39504
triggerable	False
twoHundredDayAverage	243.7567
twoHundredDayAverageChange	16.603287
twoHundredDayAverageChangePercent	0.06811418
typeDisp	Fund
yield	0.0044
ytdReturn	-10.39504
