Metric	Value
address1	Valley Forge PA 19482
address2	Po Box 2600 V26
address3	Vanguard Institutional Index Funds
allTimeHigh	610.3
allTimeLow	62.25
annualHoldingsTurnover	0.04
annualReportExpenseRatio	0.0052
averageDailyVolume10Day	0
averageDailyVolume3Month	0
averageVolume	0
averageVolume10days	0
beta3Year	1.0
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	NONE
dividendRate	3.426
dividendYield	1.07
epsTrailingTwelveMonths	22.399273
esgPopulated	False
exchange	NAS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	593.3468
fiftyDayAverageChange	7.323181
fiftyDayAverageChangePercent	0.01234216
fiftyTwoWeekChangePercent	19.21755
fiftyTwoWeekHigh	610.3
fiftyTwoWeekHighChange	-9.630005
fiftyTwoWeekHighChangePercent	-0.015779134
fiftyTwoWeekLow	506.1
fiftyTwoWeekLowChange	94.56998
fiftyTwoWeekLowChangePercent	0.18686026
fiftyTwoWeekRange	506.1 - 610.3
firstTradeDateMilliseconds	868282200000
fullExchangeName	Nasdaq
fundInceptionDate	868233600
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	False
language	en-US
lastCapGain	75.0
lastDividendValue	3.426
longBusinessSummary	The fund employs an indexing investment approach designed to track the performance of the S&P 500 Index, a widely recognized benchmark of U.S. stock market performance that is dominated by the stocks of large U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index. It is non-diversified.
longName	Vanguard Institutional Index Instl Pl
market	us_market
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_28113781
morningStarOverallRating	4
morningStarRiskRating	3
netAssets	355176546000.0
netExpenseRatio	0.52
phone	800-523-1036
previousClose	603.36
priceHint	2
quoteSourceName	Delayed Quote
quoteType	MUTUALFUND
region	US
regularMarketChange	-2.69
regularMarketChangePercent	-0.4458367
regularMarketPreviousClose	603.36
regularMarketPrice	600.67
regularMarketTime	1783464889
shortName	Vanguard Institutional Index Fu
sourceInterval	15
symbol	VIIIX
totalAssets	355176546304
tradeable	False
trailingPE	26.816494
trailingPegRatio	None
trailingThreeMonthReturns	15.19537
triggerable	False
twoHundredDayAverage	560.8915
twoHundredDayAverageChange	39.778503
twoHundredDayAverageChangePercent	0.07092014
typeDisp	Fund
yield	0.0107
ytdReturn	10.19814
