Metric	Value
allTimeHigh	347.09
allTimeLow	27.35
ask	344.99
askSize	360
averageDailyVolume10Day	83830
averageDailyVolume3Month	101975
averageVolume	101975
averageVolume10days	83830
beta3Year	1.23
bid	341.94
bidSize	680
bookValue	187.867
category	Industrials
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	342.7
dayLow	338.925
dividendYield	0.89
epsTrailingTwelveMonths	11.457633
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	328.8072
fiftyDayAverageChange	13.142822
fiftyDayAverageChangePercent	0.039971214
fiftyTwoWeekChangePercent	23.963558
fiftyTwoWeekHigh	347.09
fiftyTwoWeekHighChange	-5.139984
fiftyTwoWeekHighChangePercent	-0.014808794
fiftyTwoWeekLow	265.7
fiftyTwoWeekLowChange	76.25
fiftyTwoWeekLowChangePercent	0.28697777
fiftyTwoWeekRange	265.7 - 347.09
financialCurrency	USD
firstTradeDateMilliseconds	1096464600000
fiveYearAverageReturn	0.1269916
fullExchangeName	NYSEArca
fundFamily	Vanguard
fundInceptionDate	1095897600
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund employs an indexing investment approach designed to track the performance of the index, an index made up of stocks of large, mid-size, and small U.S. companies within the industrials sector, as classified under the GICS. The Advisor attempts to replicate the target index by seeking to invest all, or substantially all, of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index.
longName	Vanguard Industrials Index Fund ETF Shares
market	us_market
marketCap	8132791296
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_22939114
navPrice	336.19
netAssets	8311346700.0
netExpenseRatio	0.09
open	339.02
postMarketChange	0.85998535
postMarketChangePercent	0.25149447
postMarketPrice	342.81
postMarketTime	1779833726
previousClose	336.09
priceHint	2
priceToBook	1.8201706
quoteSourceName	Delayed Quote
quoteType	ETF
region	US
regularMarketChange	5.86002
regularMarketChangePercent	1.74359
regularMarketDayHigh	342.7
regularMarketDayLow	338.925
regularMarketDayRange	338.925 - 342.7
regularMarketOpen	339.02
regularMarketPreviousClose	336.09
regularMarketPrice	341.95
regularMarketTime	1779825600
regularMarketVolume	74062
sharesOutstanding	24431600
shortName	Vanguard Industrials ETF
sourceInterval	15
symbol	VIS
threeYearAverageReturn	0.23397489
totalAssets	8311346688
tradeable	False
trailingAnnualDividendRate	2.202
trailingAnnualDividendYield	0.006551816
trailingPE	29.844734
trailingPegRatio	None
trailingThreeMonthNavReturns	6.45601
trailingThreeMonthReturns	6.45601
triggerable	True
twoHundredDayAverage	311.1502
twoHundredDayAverageChange	30.799805
twoHundredDayAverageChangePercent	0.09898693
typeDisp	ETF
volume	74062
yield	0.0089
ytdReturn	14.25087
