Metric	Value
allTimeHigh	689.1
allTimeLow	98.24
ask	677.59
askSize	400
averageDailyVolume10Day	5817400
averageDailyVolume3Month	9456126
averageVolume	9456126
averageVolume10days	5817400
beta3Year	1.0
bid	677.63
bidSize	40
bookValue	390.854
category	Large Blend
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	678.15
dayLow	672.55
dividendYield	1.08
epsTrailingTwelveMonths	24.448065
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	635.781
fiftyDayAverageChange	41.708984
fiftyDayAverageChangePercent	0.06560275
fiftyTwoWeekChangePercent	24.598074
fiftyTwoWeekHigh	689.1
fiftyTwoWeekHighChange	-11.609985
fiftyTwoWeekHighChangePercent	-0.016848043
fiftyTwoWeekLow	529.11
fiftyTwoWeekLowChange	148.38
fiftyTwoWeekLowChangePercent	0.2804332
fiftyTwoWeekRange	529.11 - 689.1
financialCurrency	USD
firstTradeDateMilliseconds	1284039000000
fiveYearAverageReturn	0.13992329
fullExchangeName	NYSEArca
fundFamily	Vanguard
fundInceptionDate	1283817600
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund manager employs an indexing investment approach designed to track the performance of the Standard & Poor's 500 Index, a widely recognized benchmark of U.S. stock market performance that is dominated by the stocks of large U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index. The fund is non-diversified.
longName	Vanguard S&P 500 ETF
market	us_market
marketState	REGULAR
maxAge	86400
messageBoardId	finmb_28117396
navPrice	678.83
netAssets	1600156340000.0
netExpenseRatio	0.03
open	675.56
phone	800-523-1036
postMarketChange	0.114990234
postMarketChangePercent	0.016922273
postMarketPrice	679.635
postMarketTime	1778543989
previousClose	678.91
priceHint	2
priceToBook	1.7333581
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	-1.4199829
regularMarketChangePercent	-0.20915629
regularMarketDayHigh	678.15
regularMarketDayLow	672.55
regularMarketDayRange	672.55 - 678.15
regularMarketOpen	675.56
regularMarketPreviousClose	678.91
regularMarketPrice	677.49
regularMarketTime	1779212737
regularMarketVolume	3214788
shortName	Vanguard S&P 500 ETF
sourceInterval	15
symbol	VOO
threeYearAverageReturn	0.22430111
totalAssets	1600156336128
tradeable	False
trailingAnnualDividendRate	5.437
trailingAnnualDividendYield	0.008008425
trailingPE	27.711395
trailingPegRatio	None
trailingThreeMonthNavReturns	4.18508
trailingThreeMonthReturns	4.18508
triggerable	True
twoHundredDayAverage	622.2037
twoHundredDayAverageChange	55.286316
twoHundredDayAverageChangePercent	0.088855654
typeDisp	ETF
volume	3214788
yield	0.0108
ytdReturn	5.69215
