Metric	Value
52WeekChange	0.26988518
SandP52WeekChange	0.15783262
address1	6555 Sierra Drive
allTimeHigh	219.82
allTimeLow	11.3
ask	152.88
askSize	100
auditRisk	3
averageAnalystRating	1.4 - Strong Buy
averageDailyVolume10Day	4331700
averageDailyVolume3Month	5480861
averageVolume	5480861
averageVolume10days	4331700
beta	1.45
bid	152.05
bidSize	100
boardRisk	1
bookValue	7.753
city	Irving
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Kristopher E. Moldovan', 'age': 53, 'title': 'Executive VP & CFO', 'yearBorn': 1972, 'fiscalYear': 2025, 'totalPay': 1512241, 'exercisedValue': 19397544, 'unexercisedValue': 148}, {'maxAge': 1, 'name': 'Ms. Stephanie Zapata Moore', 'age': 52, 'title': 'Executive VP, General Counsel & Chief Compliance Officer', 'yearBorn': 1973, 'fiscalYear': 2025, 'totalPay': 1352023, 'exercisedValue': 0, 'unexercisedValue': 147}, {'maxAge': 1, 'name': 'Ms. Stacey H. Dore J.D.', 'age': 52, 'title': 'Chief Strategy and Sustainability Officer & Executive VP of Public Affairs', 'yearBorn': 1973, 'fiscalYear': 2025, 'totalPay': 1560472, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Scott A. Hudson', 'age': 61, 'title': 'Executive VP & President of Retail', 'yearBorn': 1964, 'fiscalYear': 2025, 'totalPay': 1530478, 'exercisedValue': 16044162, 'unexercisedValue': 18518504}, {'maxAge': 1, 'name': 'Ms. Margaret M. Montemayor', 'age': 47, 'title': 'Senior VP, Chief Accounting Officer & Controller', 'yearBorn': 1978, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Tom  Farrah', 'title': 'Senior VP & CIO', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Sano  Blocker', 'title': 'Senior Vice President of Government Affairs', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Steven  van Tuijl', 'title': 'Regional Managing Director of Continental Europe', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Anthony R. Horton', 'age': 64, 'title': 'Senior Vice President and Corporate Treasurer', 'yearBorn': 1961, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Yuki P. Whitmire', 'title': 'VP, Associate General Counsel & Corporate Secretary', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	2
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	152.3
currentRatio	0.777
customPriceAlertConfidence	HIGH
dateShortInterest	1773360000
dayHigh	152.67
dayLow	146.49
debtToEquity	399.55
discount_to_intrinsic_value	-705.14
dividendDate	1774915200
dividendRate	0.91
dividendYield	0.6
earningsCallTimestampEnd	1772118000
earningsCallTimestampStart	1772118000
earningsGrowth	-0.523
earningsQuarterlyGrowth	-0.472
earningsTimestamp	1772112600
earningsTimestampEnd	1778070600
earningsTimestampStart	1778070600
ebitda	5228000256
ebitdaMargins	0.29473
enterpriseToEbitda	14.045
enterpriseToRevenue	4.14
enterpriseValue	73429131264
epsCurrentYear	8.57117
epsForward	11.26588
epsTrailingTwelveMonths	2.19
eps_normalized_growth	-0.12531889161845888
esgPopulated	False
exDividendDate	1773964800
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	162.5146
fiftyDayAverageChange	-10.2146
fiftyDayAverageChangePercent	-0.062853426
fiftyTwoWeekChangePercent	26.988518
fiftyTwoWeekHigh	219.82
fiftyTwoWeekHighChange	-67.520004
fiftyTwoWeekHighChangePercent	-0.3071604
fiftyTwoWeekLow	90.51
fiftyTwoWeekLowChange	61.79
fiftyTwoWeekLowChangePercent	0.682687
fiftyTwoWeekRange	90.51 - 219.82
financialCurrency	USD
firstTradeDateMilliseconds	1475674200000
fiveYearAvgDividendYield	1.95
floatShares	314321039
forwardEps	11.26588
forwardPE	13.518696
freeCashflow	-459249984
fullExchangeName	NYSE
fullTimeEmployees	6390
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1772323200
graham_intrinsic_value	18.92
grossMargins	0.33238998
grossProfits	5896000000
hasPrePostMarketData	True
heldPercentInsiders	0.00799
heldPercentInstitutions	0.92591006
impliedSharesOutstanding	338549292
industry	Utilities - Independent Power Producers
industryDisp	Utilities - Independent Power Producers
industryKey	utilities-independent-power-producers
isEarningsDateEstimate	True
language	en-US
lastDividendDate	1773964800
lastDividendValue	0.228
lastFiscalYearEnd	1767139200
longBusinessSummary	Vistra Corp., together with its subsidiaries, operates as an integrated retail electricity and power generation company in the United States. The company operates through five segments: Retail, Texas, East, West, and Asset Closure. The company retails electricity and natural gas to residential, commercial, and industrial customers across states in the United States and the District of Columbia. It is also involved in electricity generation, wholesale energy purchases and sales, commodity risk management, fuel procurement, and fuel logistics management activities. In addition, the company engages in decommissioning and reclamation of retired generation facilities, including mines, and battery removal and remediation activities. It serves approximately 5 million customers with a generation capacity of approximately 44,000 megawatts with a portfolio of natural gas, nuclear, coal, solar, and battery energy storage facilities. The company was formerly known as Vistra Energy Corp. and changed its name to Vistra Corp. in July 2020. Vistra Corp. was founded in 1882 and is based in Irving, Texas.
longName	Vistra Corp.
market	us_market
marketCap	51561058304
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_7959935
mostRecentQuarter	1767139200
netIncomeToCommon	752000000
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	51293603230
numberOfAnalystOpinions	19
open	149.5
operatingCashflow	4070000128
operatingMargins	0.1322
overallRisk	1
payoutRatio	0.41349998
phone	214 812 4600
postMarketChange	0.30000305
postMarketChangePercent	0.19698164
postMarketPrice	152.6
postMarketTime	1774569544
previousClose	151.51
priceEpsCurrentYear	17.76887
priceHint	2
priceToBook	19.64401
priceToSalesTrailing12Months	2.9068134
profitMargins	0.05322
quickRatio	0.264
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	strong_buy
recommendationMean	1.35
region	US
regularMarketChange	0.790009
regularMarketChangePercent	0.521423
regularMarketDayHigh	152.67
regularMarketDayLow	146.49
regularMarketDayRange	146.49 - 152.67
regularMarketOpen	149.5
regularMarketPreviousClose	151.51
regularMarketPrice	152.3
regularMarketTime	1774555202
regularMarketVolume	4429621
returnOnAssets	0.03487
returnOnEquity	0.17656
revenueGrowth	0.136
revenuePerShare	52.305
sector	Utilities
sectorDisp	Utilities
sectorKey	utilities
shareHolderRightsRisk	5
sharesOutstanding	338549292
sharesPercentSharesOut	0.026099999
sharesShort	8823320
sharesShortPreviousMonthDate	1770940800
sharesShortPriorMonth	10122195
shortName	Vistra Corp.
shortPercentOfFloat	0.0301
shortRatio	1.84
sourceInterval	15
state	TX
symbol	VST
syntheticPEG	-0.25848367112810705
targetHighPrice	318.0
targetLowPrice	97.0
targetMeanPrice	234.26315
targetMedianPrice	234.0
totalCash	795000000
totalCashPerShare	2.359
totalDebt	20416999424
totalRevenue	17738000384
tradeable	False
trailingAnnualDividendRate	0.902
trailingAnnualDividendYield	0.0059534027
trailingEps	2.19
trailingPE	69.54338
trailingPegRatio	1.312
triggerable	True
twoHundredDayAverage	181.5702
twoHundredDayAverageChange	-29.270203
twoHundredDayAverageChangePercent	-0.16120598
typeDisp	Equity
volume	4429621
website	https://vistracorp.com
zip	75039
