Metric	Value
address1	Valley Forge, PA 19482
address2	PO Box 2600
address3	Vanguard Index Funds
allTimeHigh	167.1
allTimeLow	16.43
annualHoldingsTurnover	0.03
annualReportExpenseRatio	0.0004
averageDailyVolume10Day	0
averageDailyVolume3Month	0
averageVolume	0
averageVolume10days	0
beta3Year	1.04
bookValue	139.506
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	NONE
dividendRate	0.4808
dividendYield	1.16
epsTrailingTwelveMonths	6.2105103
esgPopulated	False
exchange	NAS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	161.9432
fiftyDayAverageChange	6.116791
fiftyDayAverageChangePercent	0.03777121
fiftyTwoWeekChangePercent	32.710052
fiftyTwoWeekHigh	167.1
fiftyTwoWeekHighChange	0.95999146
fiftyTwoWeekHighChangePercent	0.0057450114
fiftyTwoWeekLow	123.01
fiftyTwoWeekLowChange	45.049995
fiftyTwoWeekLowChangePercent	0.36623034
fiftyTwoWeekRange	123.01 - 167.1
financialCurrency	USD
firstTradeDateMilliseconds	974125800000
fullExchangeName	Nasdaq
fundInceptionDate	974073600
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	False
language	en-US
lastCapGain	59.0
lastDividendValue	0.4808
longBusinessSummary	The fund employs an indexing investment approach designed to track the performance of the index, which represents approximately 100% of the investable U.S. stock market and includes large-, mid-, small-, and micro-cap stocks regularly traded on the New York Stock Exchange and Nasdaq. It invests by sampling the index, meaning that it holds a broadly diversified collection of securities that, in the aggregate, approximates the full index in terms of key characteristics. The fund is non-diversified.
longName	Vanguard Total Stock Mkt Idx Adm
market	us_market
marketCap	1423174139904
marketState	POST
maxAge	86400
messageBoardId	finmb_6184536
morningStarOverallRating	3
morningStarRiskRating	4
netAssets	1991753860000.0
netExpenseRatio	0.04
phone	800-523-1036
previousClose	166.79
priceHint	2
priceToBook	1.2046794
quoteSourceName	Delayed Quote
quoteType	MUTUALFUND
region	US
regularMarketChange	1.27
regularMarketChangePercent	0.7614366
regularMarketPreviousClose	166.79
regularMarketPrice	168.06
regularMarketTime	1776291148
sharesOutstanding	8468250112
shortName	Vanguard Total Stock Market Ind
sourceInterval	15
symbol	VTSAX
totalAssets	1991753859072
tradeable	False
trailingAnnualDividendRate	2.802
trailingAnnualDividendYield	0.01679957
trailingPE	27.060577
trailingPegRatio	None
trailingThreeMonthReturns	-3.96886
triggerable	False
twoHundredDayAverage	159.57304
twoHundredDayAverageChange	8.486954
twoHundredDayAverageChangePercent	0.053185385
typeDisp	Fund
yield	0.0116
ytdReturn	-3.96886
