Metric	Value
allTimeHigh	222.16
allTimeLow	22.4
ask	219.73
askSize	200
averageDailyVolume10Day	3104200
averageDailyVolume3Month	2782626
averageVolume	2782626
averageVolume10days	3104200
beta3Year	0.69
bid	219.72
bidSize	600
bookValue	75.779
category	Large Value
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	220.355
dayLow	218.8001
dividendYield	1.88
epsTrailingTwelveMonths	10.222489
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	214.841
fiftyDayAverageChange	5.018997
fiftyDayAverageChangePercent	0.02336145
fiftyTwoWeekChangePercent	21.930063
fiftyTwoWeekHigh	222.16
fiftyTwoWeekHighChange	-2.300003
fiftyTwoWeekHighChangePercent	-0.010352912
fiftyTwoWeekLow	174.35
fiftyTwoWeekLowChange	45.509995
fiftyTwoWeekLowChangePercent	0.26102662
fiftyTwoWeekRange	174.35 - 222.16
financialCurrency	USD
firstTradeDateMilliseconds	1075473000000
fiveYearAverageReturn	0.1244437
fullExchangeName	NYSEArca
fundFamily	Vanguard
fundInceptionDate	1075075200
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund manager employs an indexing investment approach designed to track the target index, a broadly diversified index made up of the value stocks of large U.S. companies, as determined by the index provider. Under normal circumstances, it invests at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in the stocks that make up the target index.
longName	Vanguard Value Index Fund ETF Shares
market	us_market
marketCap	86589636608
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_22939702
navPrice	219.31
netAssets	254461837000.0
netExpenseRatio	0.03
open	218.96
phone	800-523-1036
postMarketChange	-0.02999878
postMarketChangePercent	-0.013644491
postMarketPrice	219.83
postMarketTime	1784850565
previousClose	219.34
priceHint	2
priceToBook	2.9013314
quoteSourceName	Delayed Quote
quoteType	ETF
region	US
regularMarketChange	0.520004
regularMarketChangePercent	0.237077
regularMarketDayHigh	220.355
regularMarketDayLow	218.8001
regularMarketDayRange	218.8001 - 220.355
regularMarketOpen	218.96
regularMarketPreviousClose	219.34
regularMarketPrice	219.86
regularMarketTime	1784836800
regularMarketVolume	2309175
sharesOutstanding	424251008
shortName	Vanguard Value ETF
sourceInterval	15
symbol	VTV
threeYearAverageReturn	0.17075309
totalAssets	254461837312
tradeable	False
trailingAnnualDividendRate	3.04
trailingAnnualDividendYield	0.013859761
trailingPE	21.50748
trailingPegRatio	None
trailingThreeMonthNavReturns	11.6489
trailingThreeMonthReturns	11.6489
triggerable	True
twoHundredDayAverage	200.5174
twoHundredDayAverageChange	19.342606
twoHundredDayAverageChangePercent	0.09646348
typeDisp	ETF
volume	2309175
yield	0.0188
ytdReturn	15.35227
