Metric	Value
allTimeHigh	505.38
allTimeLow	23.29
ask	458.61
askSize	400
averageDailyVolume10Day	2081760
averageDailyVolume3Month	1690166
averageVolume	1690166
averageVolume10days	2081760
beta3Year	1.21
bid	458.54
bidSize	40
bookValue	215.749
category	Large Growth
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	459.74
dayLow	452.105
dividendYield	0.44
epsTrailingTwelveMonths	13.175207
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	476.7472
fiftyDayAverageChange	-19.022186
fiftyDayAverageChangePercent	-0.039899945
fiftyTwoWeekChangePercent	22.842587
fiftyTwoWeekHigh	505.38
fiftyTwoWeekHighChange	-47.655
fiftyTwoWeekHighChangePercent	-0.094295375
fiftyTwoWeekLow	316.14
fiftyTwoWeekLowChange	141.58499
fiftyTwoWeekLowChangePercent	0.44785532
fiftyTwoWeekRange	316.14 - 505.38
financialCurrency	USD
firstTradeDateMilliseconds	1075473000000
fiveYearAverageReturn	0.1366837
fullExchangeName	NYSEArca
fundFamily	Vanguard
fundInceptionDate	1075075200
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund employs an indexing investment approach designed to track the performance of the index, a broadly diversified index predominantly made up of growth stocks of large U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.
longName	Vanguard Growth Index Fund ETF Shares
market	us_market
marketCap	110800125952
marketState	REGULAR
maxAge	86400
messageBoardId	finmb_22939698
navPrice	458.27
netAssets	335907095000.0
netExpenseRatio	0.03
open	453.8
phone	800-523-1036
postMarketChange	0.7200012
postMarketChangePercent	0.15717806
postMarketPrice	458.8
postMarketTime	1772845045
previousClose	458.08
priceHint	2
priceToBook	2.1215627
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	-0.35498047
regularMarketChangePercent	-0.077493116
regularMarketDayHigh	459.74
regularMarketDayLow	452.105
regularMarketDayRange	452.105 - 459.74
regularMarketOpen	453.8
regularMarketPreviousClose	458.08
regularMarketPrice	457.725
regularMarketTime	1773076766
regularMarketVolume	1160195
sharesOutstanding	242067008
shortName	Vanguard Growth ETF
sourceInterval	15
symbol	VUG
threeYearAverageReturn	0.2515575
totalAssets	335907094528
tradeable	False
trailingAnnualDividendRate	1.54
trailingAnnualDividendYield	0.0033618582
trailingPE	34.74139
trailingPegRatio	None
trailingThreeMonthNavReturns	-5.95538
trailingThreeMonthReturns	-5.95538
triggerable	True
twoHundredDayAverage	465.76465
twoHundredDayAverageChange	-8.039642
twoHundredDayAverageChangePercent	-0.01726117
typeDisp	ETF
volume	1160195
yield	0.0044
ytdReturn	-5.48484
