Date	Open	High	Low	Close	Volume
2018-01-02	141.29	142.27	141.05	133.95	1237200
2018-01-03	142.4	143.66	142.4	135.21	748200
2018-01-04	144.07	144.3	143.85	135.57	823100
2018-01-05	144.37	145.24	144.29	136.71	1175000
2018-01-08	145.12	145.73	145.08	137.16	810300
2018-01-09	145.86	146.22	145.53	137.44	1019600
2018-01-10	145.41	145.61	144.79	137.07	930300
2018-01-11	145.93	146.63	145.65	138.06	1996300
2018-01-12	146.67	147.61	146.54	138.86	876000
2018-01-16	148.23	148.74	146.55	138.36	1085400
2018-01-17	147.64	148.62	147.14	139.75	850100
2018-01-18	148.38	148.64	147.87	139.63	969000
2018-01-19	148.76	149.15	148.39	140.45	746500
2018-01-22	149.05	150.41	149.01	141.64	764700
2018-01-23	150.68	151.37	150.57	142.41	974200
2018-01-24	151.54	151.72	150.0	141.98	846000
2018-01-25	151.37	151.37	150.16	141.84	828100
2018-01-26	151.19	152.38	150.77	143.49	1969700
2018-01-29	152.04	152.22	151.07	142.42	1302800
2018-01-30	150.07	150.6	149.46	141.24	1553500
2018-01-31	150.65	151.05	149.65	141.49	2272000
2018-02-01	149.65	150.65	149.23	140.94	1354100
2018-02-02	148.83	149.13	146.64	138.1	1384000
2018-02-05	145.47	147.27	140.8	132.59	2805100
2018-02-06	138.61	144.26	137.91	135.59	1738900
2018-02-07	143.75	145.41	142.86	134.53	1091500
2018-02-08	143.17	143.49	137.37	129.44	1304800
2018-02-09	138.84	140.39	134.6	131.28	1753400
2018-02-12	140.74	142.39	139.61	133.32	6665800
2018-02-13	140.91	142.27	140.67	133.7	1223600
2018-02-14	141.09	144.32	141.01	135.76	1259900
2018-02-15	145.25	146.28	143.76	137.75	1315900
2018-02-16	145.89	147.26	145.81	137.64	1002200
2018-02-20	145.64	146.98	145.21	137.12	1428300
2018-02-21	146.02	147.6	145.08	136.63	688500
2018-02-22	145.69	146.53	144.87	136.78	646300
2018-02-23	146.11	147.7	145.74	139.09	700600
2018-02-26	148.34	149.32	147.97	140.57	765200
2018-02-27	149.25	149.46	147.15	138.57	704400
2018-02-28	147.8	148.21	145.83	137.35	543600
2018-03-01	146.01	146.64	142.83	135.53	939100
2018-03-02	142.61	145.12	142.12	136.41	682000
2018-03-05	144.11	146.79	143.95	137.94	739900
2018-03-06	147.14	147.23	146.19	138.53	696000
2018-03-07	145.87	147.56	145.74	138.77	1099200
2018-03-08	147.81	148.33	147.43	139.62	642800
2018-03-09	149.19	150.92	149.02	142.09	575900
2018-03-12	151.18	151.6	150.8	142.3	1098900
2018-03-13	151.89	152.15	149.68	141.3	1400300
2018-03-14	150.66	150.76	149.23	140.89	672800
2018-03-15	149.93	150.26	148.98	140.68	650400
2018-03-16	149.62	149.95	149.29	140.58	476600
2018-03-19	148.52	148.52	145.86	138.36	635200
2018-03-20	147.19	147.85	146.83	138.97	622800
2018-03-21	147.55	148.6	146.8	138.55	452400
2018-03-22	145.18	145.76	142.93	135.05	869300
2018-03-23	143.28	143.44	139.89	132.16	1030200
2018-03-26	142.19	143.95	140.22	135.76	1369000
2018-03-27	144.32	144.4	139.45	132.52	1123900
2018-03-28	140.24	141.13	138.75	131.78	3352100
2018-03-29	140.25	142.99	139.63	133.93	670000
2018-04-02	141.25	141.55	137.01	130.65	1238000
2018-04-03	139.34	140.34	137.8	132.13	851500
2018-04-04	137.52	141.92	137.5	133.7	1128300
2018-04-05	142.8	143.31	141.9	134.7	616400
2018-04-06	141.43	142.4	138.56	131.6	887800
2018-04-09	140.35	142.07	139.78	132.04	656800
2018-04-10	141.8	142.82	141.12	134.41	599800
2018-04-11	141.51	142.96	141.51	133.89	597700
2018-04-12	142.67	143.38	142.44	134.81	657400
2018-04-13	143.62	143.71	141.92	134.51	646100
2018-04-16	143.56	143.97	142.91	135.48	479700
2018-04-17	144.65	146.2	144.28	137.64	614500
2018-04-18	146.1	146.57	145.52	137.93	480100
2018-04-19	145.52	145.66	144.17	136.63	611400
2018-04-20	144.63	144.71	142.65	135.1	525300
2018-04-23	143.59	143.89	142.17	134.85	980300
2018-04-24	143.26	143.26	139.14	132.3	1153900
2018-04-25	140.15	140.78	138.97	132.57	624200
2018-04-26	141.63	143.33	141.45	134.87	564300
2018-04-27	143.5	143.94	142.31	134.87	431700
2018-04-30	143.27	143.94	142.26	134.3	490000
2018-05-01	142.17	143.28	141.52	135.19	606500
2018-05-02	143.31	144.04	142.48	134.69	538200
2018-05-03	142.2	142.99	140.67	134.66	668800
2018-05-04	142.1	145.16	141.82	136.67	478600
2018-05-07	145.37	146.13	145.12	137.45	503900
2018-05-08	145.31	145.8	144.76	137.53	616100
2018-05-09	146.09	147.35	145.8	138.95	535400
2018-05-10	147.6	148.78	147.5	140.23	1292100
2018-05-11	148.6	149.05	148.22	140.39	476700
2018-05-14	149.11	149.49	148.41	140.29	848800
2018-05-15	147.8	147.8	146.74	138.99	1703800
2018-05-16	147.28	148.32	147.28	139.65	932400
2018-05-17	147.9	148.55	147.29	139.58	455300
2018-05-18	147.58	148.08	147.16	139.45	404200
2018-05-21	148.66	149.12	148.25	140.38	463700
2018-05-22	149.2	149.34	147.8	139.71	444100
2018-05-23	147.27	148.95	147.26	140.61	689000
2018-05-24	148.73	149.03	147.73	140.53	538600
2018-05-25	148.66	149.06	148.4	140.32	472400
2018-05-29	147.78	148.4	146.83	139.27	711400
2018-05-30	148.27	149.42	148.1	140.84	1441900
2018-05-31	148.91	149.42	148.27	140.19	560800
2018-06-01	149.32	150.39	149.28	141.87	611600
2018-06-04	150.68	151.4	150.66	142.9	448000
2018-06-05	151.5	151.95	151.2	143.26	630600
2018-06-06	152.01	152.95	151.49	144.38	885100
2018-06-07	153.08	153.11	151.61	143.76	630000
2018-06-08	151.85	152.78	151.73	144.14	438000
2018-06-11	152.86	153.4	152.73	144.46	414100
2018-06-12	153.27	153.9	153.17	145.11	533400
2018-06-13	153.85	154.3	153.11	144.6	533900
2018-06-14	153.89	154.46	153.77	145.68	880400
2018-06-15	153.87	154.32	153.4	145.57	518900
2018-06-18	153.16	154.21	152.91	145.5	977000
2018-06-19	152.59	153.31	151.89	144.69	593600
2018-06-20	153.86	154.42	153.74	145.35	1294800
2018-06-21	153.96	154.15	152.42	144.17	1009000
2018-06-22	153.16	153.16	152.13	144.11	772400
2018-06-25	151.41	151.47	148.26	141.33	1026600
2018-06-26	149.77	150.69	149.38	142.02	668300
2018-06-27	150.58	151.28	148.29	140.41	896800
2018-06-28	148.37	150.04	148.02	141.61	693100
2018-06-29	150.33	151.04	149.79	141.81	561100
2018-07-02	148.82	150.42	148.52	142.34	610300
2018-07-03	150.93	150.99	149.21	141.38	432500
2018-07-05	150.26	150.89	149.47	142.78	573500
2018-07-06	151.01	152.72	150.89	144.35	474800
2018-07-09	153.31	153.88	152.84	145.62	532300
2018-07-10	154.12	154.4	153.76	145.94	489300
2018-07-11	153.2	154.0	153.11	145.24	904400
2018-07-12	154.07	155.23	153.87	146.88	502800
2018-07-13	155.33	155.61	154.85	147.13	1368300
2018-07-16	155.48	155.52	154.73	146.68	1136900
2018-07-17	154.17	156.05	154.05	147.53	602900
2018-07-18	155.82	156.02	155.28	147.58	533100
2018-07-19	155.42	155.91	155.2	147.2	490400
2018-07-20	155.41	155.85	155.18	146.99	537700
2018-07-23	155.08	155.36	154.36	147.01	550600
2018-07-24	156.5	156.86	155.25	147.51	550000
2018-07-25	155.77	157.81	155.67	149.33	504900
2018-07-26	156.26	156.61	155.81	147.81	557700
2018-07-27	156.95	156.95	153.79	146.25	1634600
2018-07-30	154.54	154.66	152.09	144.52	1023400
2018-07-31	153.21	154.22	152.68	145.37	856400
2018-08-01	154.04	154.58	153.35	145.75	612800
2018-08-02	153.08	155.5	153.0	147.04	579000
2018-08-03	155.5	155.66	154.99	147.34	524900
2018-08-06	155.65	156.43	155.41	148.05	697600
2018-08-07	156.88	157.22	156.65	148.56	571400
2018-08-08	156.85	157.18	156.42	148.49	484700
2018-08-09	156.9	157.37	156.75	148.47	406700
2018-08-10	155.97	156.35	155.43	147.49	564300
2018-08-13	156.03	156.8	155.39	147.18	637500
2018-08-14	156.02	156.62	155.52	148.1	713500
2018-08-15	155.48	155.72	154.04	146.66	1082200
2018-08-16	155.86	156.56	155.55	147.49	641700
2018-08-17	155.47	156.25	154.89	147.66	515500
2018-08-20	156.39	156.57	155.77	147.96	680400
2018-08-21	156.66	157.46	156.21	148.43	470800
2018-08-22	156.54	157.4	156.54	148.76	430100
2018-08-23	156.97	157.78	156.78	148.6	673500
2018-08-24	157.43	158.38	157.41	149.87	466000
2018-08-27	159.15	159.65	158.68	151.03	498400
2018-08-28	159.94	160.04	159.38	151.23	449300
2018-08-29	159.92	161.24	159.92	152.55	469600
2018-08-30	160.76	161.4	160.19	152.0	551700
2018-08-31	160.44	161.13	160.33	152.15	425300
2018-09-04	160.56	160.8	159.81	151.97	568100
2018-09-05	160.31	160.31	158.47	150.66	662200
2018-09-06	159.28	159.56	157.61	149.98	636700
