Metric	Value
allTimeHigh	161.7
allTimeLow	17.04
ask	160.38
askSize	900
averageDailyVolume10Day	1237090
averageDailyVolume3Month	1237906
averageVolume	1237906
averageVolume10days	1237090
beta3Year	0.69
bid	160.37
bidSize	800
category	Large Value
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	160.63
dayLow	159.275
dividendYield	2.3
epsTrailingTwelveMonths	7.3739653
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	158.633
fiftyDayAverageChange	1.7470093
fiftyDayAverageChangePercent	0.0110129
fiftyTwoWeekChangePercent	17.680502
fiftyTwoWeekHigh	161.7
fiftyTwoWeekHighChange	-1.3199921
fiftyTwoWeekHighChangePercent	-0.0081632165
fiftyTwoWeekLow	132.01
fiftyTwoWeekLowChange	28.37001
fiftyTwoWeekLowChangePercent	0.21490805
fiftyTwoWeekRange	132.01 - 161.7
firstTradeDateMilliseconds	1163687400000
fiveYearAverageReturn	0.1220702
fullExchangeName	NYSEArca
fundFamily	Vanguard
fundInceptionDate	1549497600
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund employs an indexing investment approach designed to track the performance of the the Target Index, which consists of common stocks of companies that pay dividends that generally are higher than average (excluding real estate investment trusts (“REITs”)). Under normal circumstances, it invests at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in the stocks that make up the Target Index.
longName	Vanguard High Dividend Yield Index Fund ETF Shares
market	us_market
marketState	REGULAR
maxAge	86400
messageBoardId	finmb_30273256
navPrice	159.4
netAssets	96168182000.0
netExpenseRatio	0.04
open	160.07
postMarketChange	0.6000061
postMarketChangePercent	0.37458244
postMarketPrice	160.78
postMarketTime	1784066469
previousClose	159.41
priceHint	2
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	0.9700012
regularMarketChangePercent	0.6084946
regularMarketDayHigh	160.63
regularMarketDayLow	159.275
regularMarketDayRange	159.275 - 160.63
regularMarketOpen	160.07
regularMarketPreviousClose	159.41
regularMarketPrice	160.38
regularMarketTime	1784660908
regularMarketVolume	720998
shortName	Vanguard High Dividend Yield ET
sourceInterval	15
symbol	VYM
threeYearAverageReturn	0.1662998
totalAssets	96168181760
tradeable	False
trailingPE	21.749493
trailingPegRatio	None
trailingThreeMonthNavReturns	7.39994
trailingThreeMonthReturns	7.39994
triggerable	True
twoHundredDayAverage	150.2255
twoHundredDayAverageChange	10.1545105
twoHundredDayAverageChangePercent	0.067595124
typeDisp	ETF
volume	720998
yield	0.023
ytdReturn	11.48582
