Metric	Value
52WeekChange	4.4542127
SandP52WeekChange	0.13489318
address1	9 Federal Street
allTimeHigh	43.98
allTimeLow	0.54
ask	14.95
askSize	86
auditRisk	10
averageAnalystRating	1.3 - Strong Buy
averageDailyVolume10Day	30215000
averageDailyVolume3Month	30696404
averageVolume	30696404
averageVolume10days	30215000
beta	4.303
bid	14.86
bidSize	84
boardRisk	8
bookValue	0.334
city	Easton
