Metric	Value
52WeekChange	0.5610064
SandP52WeekChange	0.30034864
address1	22777 Springwoods Village Parkway
allTimeHigh	176.41
allTimeLow	1.417969
ask	163.36
askSize	1100
auditRisk	9
averageAnalystRating	2.3 - Buy
averageDailyVolume10Day	29637650
averageDailyVolume3Month	22808620
averageVolume	22808620
averageVolume10days	29637650
beta	0.288
bid	163.25
bidSize	200
boardRisk	6
bookValue	62.069
city	Spring
