Metric	Value
allTimeHigh	658.14
allTimeLow	9.905
ask	550.0
askSize	40
averageDailyVolume10Day	96070
averageDailyVolume3Month	126798
averageVolume	126798
averageVolume10days	96070
beta3Year	2.77
bid	539.37
bidSize	120
bookValue	170.658
category	Technology
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	544.29
dayLow	533.68
dividendYield	0.16
epsTrailingTwelveMonths	13.7244215
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	552.7068
fiftyDayAverageChange	-8.416809
fiftyDayAverageChangePercent	-0.015228344
fiftyTwoWeekChangePercent	91.88789
fiftyTwoWeekHigh	658.14
fiftyTwoWeekHighChange	-113.85004
fiftyTwoWeekHighChangePercent	-0.17298757
fiftyTwoWeekLow	267.0
fiftyTwoWeekLowChange	277.28998
fiftyTwoWeekLowChangePercent	1.0385393
fiftyTwoWeekRange	267.0 - 658.14
financialCurrency	USD
firstTradeDateMilliseconds	1139236200000
fiveYearAverageReturn	0.2307864
fullExchangeName	NYSEArca
fundFamily	State Street Investment Management
fundInceptionDate	1138665600
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	In seeking to track the performance of the S&P Semiconductor Select Industry Index (the "index"), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the semiconductors segment of the S&P Total Market Index ("S&P TMI").
longName	State Street SPDR S&P Semiconductor ETF
market	us_market
marketState	CLOSED
maxAge	86400
messageBoardId	finmb_26752143
navPrice	544.1122
netAssets	2713249790.0
netExpenseRatio	0.35
open	536.0
postMarketChange	0.0
postMarketChangePercent	0.0
postMarketPrice	544.29
postMarketTime	1786750446
previousClose	535.08
priceHint	2
priceToBook	3.1893609
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	9.20996
regularMarketChangePercent	1.72123
regularMarketDayHigh	544.29
regularMarketDayLow	533.68
regularMarketDayRange	533.68 - 544.29
regularMarketOpen	536.0
regularMarketPreviousClose	535.08
regularMarketPrice	544.29
regularMarketTime	1786737600
regularMarketVolume	75416
sharesOutstanding	3450000
shortName	State Street SPDR S&P Semicondu
sourceInterval	15
symbol	XSD
threeYearAverageReturn	0.3726102
totalAssets	2713249792
tradeable	False
trailingAnnualDividendRate	0.44
trailingAnnualDividendYield	0.0008223069
trailingPE	39.6585
trailingPegRatio	None
trailingThreeMonthNavReturns	-0.20935
trailingThreeMonthReturns	-0.20935
triggerable	True
twoHundredDayAverage	425.2068
twoHundredDayAverageChange	119.08319
twoHundredDayAverageChangePercent	0.2800595
typeDisp	ETF
volume	75416
yield	0.0016
ytdReturn	51.51504
