Metric	Value
52WeekChange	-0.12642586
SandP52WeekChange	0.26208222
address1	301 Water Street SE
address2	Suite 200
allTimeHigh	154.27
allTimeLow	22.43
ask	110.44
askSize	300
auditRisk	2
averageAnalystRating	1.9 - Buy
averageDailyVolume10Day	1872200
averageDailyVolume3Month	2195258
averageVolume	2195258
averageVolume10days	1872200
beta	1.077
bid	108.96
bidSize	1800
boardRisk	2
bookValue	47.13
city	Washington
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Matthew Francis Pine', 'age': 53, 'title': 'CEO, President & Director', 'yearBorn': 1972, 'fiscalYear': 2025, 'totalPay': 3271464, 'exercisedValue': 0, 'unexercisedValue': 13325905}, {'maxAge': 1, 'name': 'Mr. William K. Grogan', 'age': 46, 'title': 'Executive VP & CFO', 'yearBorn': 1979, 'fiscalYear': 2025, 'totalPay': 1678087, 'exercisedValue': 0, 'unexercisedValue': 36314}, {'maxAge': 1, 'name': 'Ms. Claudia S. Toussaint Esq., J.D.', 'age': 61, 'title': 'Executive VP, Chief People & Sustainability Officer', 'yearBorn': 1964, 'fiscalYear': 2025, 'totalPay': 1131447, 'exercisedValue': 0, 'unexercisedValue': 3411842}, {'maxAge': 1, 'name': 'Mr. Hayati  Yarkadas', 'age': 56, 'title': 'Executive VP & President of Water Infrastructure', 'yearBorn': 1969, 'fiscalYear': 2025, 'totalPay': 1377393, 'exercisedValue': 0, 'unexercisedValue': 441729}, {'maxAge': 1, 'name': 'Mr. Rodney O. Aulick', 'age': 58, 'title': 'Executive VP and President of Integrated Services & Solutions', 'yearBorn': 1967, 'fiscalYear': 2025, 'totalPay': 1387920, 'exercisedValue': 0, 'unexercisedValue': 2501173}, {'maxAge': 1, 'name': 'Mr. Thomas F. Pettit', 'age': 56, 'title': 'Executive VP & COO', 'yearBorn': 1969, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Geri-Michelle  McShane', 'age': 51, 'title': 'Senior VP & Chief Accounting Officer', 'yearBorn': 1974, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Michael  Travers', 'title': 'Senior Director of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Stacy Lancaster Cozad J.D.', 'age': 54, 'title': 'Executive VP & Chief Legal Officer', 'yearBorn': 1971, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Albert H. Cho', 'age': 44, 'title': 'Executive VP and Chief Strategy & External Affairs Officer', 'yearBorn': 1981, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
