Metric	Value
52WeekChange	0.45069575
SandP52WeekChange	0.24334764
address1	9 Andrei Sakharov Street
address2	PO Box 15067 Matam
allTimeHigh	91.23
allTimeLow	6.39
ask	24.49
askSize	200
averageAnalystRating	3.0 - Hold
averageDailyVolume10Day	1064140
averageDailyVolume3Month	1376031
averageVolume	1376031
averageVolume10days	1064140
beta	1.141
bid	24.23
bidSize	500
bookValue	33.378
city	Haifa
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Xavier  Destriau', 'age': 52, 'title': 'Executive VP & CFO', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. David Alteras Arbel', 'age': 64, 'title': 'Executive VP & COO', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Eyal  Ben-Amram', 'age': 62, 'title': 'Executive VP & Chief Information Officer', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Elana  Holzman', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Noam  Nativ', 'age': 54, 'title': 'Executive VP, General Counsel & Company Secretary', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Yair  Teitelbaum', 'title': 'Executive Vice President of Global Sales', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Arik  Elimelech', 'age': 55, 'title': 'Executive Vice President of HR & Organization', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Saar  Dotan', 'age': 54, 'title': 'Executive Vice President of Countries & Business Development', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Nissim  Yochai', 'age': 66, 'title': 'Executive Vice President of ZIM USA President & Latin America BU', 'yearBorn': 1959, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Assaf  Tiran', 'age': 49, 'title': 'Executive Vice President of Cross Suez & Atlantic BU', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}]
corporateActions	[]
country	Israel
cryptoTradeable	False
currency	USD
currentPrice	24.34
currentRatio	1.188
customPriceAlertConfidence	HIGH
dateShortInterest	1780012800
dayHigh	24.51
dayLow	24.0
debtToEquity	143.108
discount_to_intrinsic_value	-256.35
displayName	ZIM Integrated Shipping Services
dividendDate	1774483200
dividendRate	1.99
dividendYield	7.88
earningsCallTimestampEnd	1763643600
earningsCallTimestampStart	1763643600
earningsGrowth	-0.932
earningsQuarterlyGrowth	-0.932
earningsTimestamp	1779280200
earningsTimestampEnd	1787229000
earningsTimestampStart	1787229000
ebitda	470400000
ebitdaMargins	0.07474
enterpriseToEbitda	14.462
enterpriseToRevenue	1.081
enterpriseValue	6802810880
epsCurrentYear	7.89
epsForward	-2.2398
epsTrailingTwelveMonths	0.82
eps_normalized_growth	-0.8297373842960684
esgPopulated	False
exDividendDate	1773964800
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	25.822
fiftyDayAverageChange	-1.4820004
fiftyDayAverageChangePercent	-0.057392932
fiftyTwoWeekChangePercent	45.069576
fiftyTwoWeekHigh	29.97
fiftyTwoWeekHighChange	-5.629999
fiftyTwoWeekHighChangePercent	-0.1878545
fiftyTwoWeekLow	12.33
fiftyTwoWeekLowChange	12.01
fiftyTwoWeekLowChangePercent	0.97404706
fiftyTwoWeekRange	12.33 - 29.97
financialCurrency	USD
firstTradeDateMilliseconds	1611844200000
floatShares	114850413
forwardEps	-2.2398
forwardPE	-10.867042
freeCashflow	637699968
fullExchangeName	NYSE
fullTimeEmployees	4714
gmtOffSetMilliseconds	-14400000
graham_intrinsic_value	6.83
grossMargins	0.31207
grossProfits	1964199936
hasPrePostMarketData	True
heldPercentInsiders	0.013710001
heldPercentInstitutions	0.52071
impliedSharesOutstanding	120519666
industry	Marine Shipping
industryDisp	Marine Shipping
industryKey	marine-shipping
ipoExpectedDate	2021-01-28
isEarningsDateEstimate	True
language	en-US
lastDividendDate	1773964800
lastDividendValue	0.88
lastFiscalYearEnd	1767139200
longBusinessSummary	ZIM Integrated Shipping Services Ltd., together with its subsidiaries, provides container shipping and related services in Israel and internationally. The company offers door-to-door and port-to-port transportation services for various types of customers, including end-users, consolidators, and freight forwarders. It also provides ZIMonitor, a reefer cargo tracking service, a device attached to the engine of the reefer, and allows customers to track and monitor, cargo, such as pharmaceuticals, food and delicate electronics. As of December 31, 2025, it operated a fleet of 128 vessels, such as 115 container vessels and 13 vehicle transport vessels, as well as a network of 56 weekly lines. ZIM Integrated Shipping Services Ltd. was incorporated in 1945 and is headquartered in Haifa, Israel.
longName	ZIM Integrated Shipping Services Ltd.
market	us_market
marketCap	2933448704
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_13461755
mostRecentQuarter	1774915200
netIncomeToCommon	97900000
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	2890061590
numberOfAnalystOpinions	4
open	24.1
operatingCashflow	1707500032
operatingMargins	-0.00981
payoutRatio	2.4268
phone	972 4 865 2111
postMarketChange	0.0
postMarketChangePercent	0.0
postMarketPrice	24.34
postMarketTime	1781827200
previousClose	23.98
priceEpsCurrentYear	3.0849178
priceHint	2
priceToBook	0.7292229
priceToSalesTrailing12Months	0.46606326
profitMargins	0.01555
quickRatio	1.092
quoteSourceName	Delayed Quote
quoteType	EQUITY
recommendationKey	hold
recommendationMean	3.0
region	US
regularMarketChange	0.360001
regularMarketChangePercent	1.50125
regularMarketDayHigh	24.51
regularMarketDayLow	24.0
regularMarketDayRange	24.0 - 24.51
regularMarketOpen	24.1
regularMarketPreviousClose	23.98
regularMarketPrice	24.34
regularMarketTime	1781812803
regularMarketVolume	719915
returnOnAssets	0.02104
returnOnEquity	0.02544
