Metric	Value
52WeekChange	17.239952
allTimeHigh	53289.3
allTimeLow	3095.79
ask	52663.69
askSize	0
averageDailyVolume10Day	623592000
averageDailyVolume3Month	540361967
averageVolume	540361967
averageVolume10days	623592000
bid	52318.13
bidSize	0
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	52574.89
dayLow	52249.44
esgPopulated	False
exchange	DJI
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
fiftyDayAverage	50761.598
fiftyDayAverageChange	1725.8125
fiftyDayAverageChangePercent	0.03399839
fiftyTwoWeekChangePercent	17.239952
fiftyTwoWeekHigh	53289.3
fiftyTwoWeekHighChange	-801.8906
fiftyTwoWeekHighChangePercent	-0.015047872
fiftyTwoWeekLow	43340.68
fiftyTwoWeekLowChange	9146.73
fiftyTwoWeekLowChangePercent	0.21104261
fiftyTwoWeekRange	43340.68 - 53289.3
firstTradeDateMilliseconds	694362600000
fullExchangeName	DJI
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	False
language	en-US
longName	Dow Jones Industrial Average
market	us_market
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_INDEXDJI
open	52249.44
previousClose	52348.39
priceHint	2
quoteSourceName	Delayed Quote
quoteType	INDEX
region	US
regularMarketChange	139.01953
regularMarketChangePercent	0.26556602
regularMarketDayHigh	52574.89
regularMarketDayLow	52249.44
regularMarketDayRange	52249.44 - 52574.89
regularMarketOpen	52249.44
regularMarketPreviousClose	52348.39
regularMarketPrice	52487.41
regularMarketTime	1783630613
regularMarketVolume	461091588
shortName	Dow Jones Industrial Average
sourceInterval	120
symbol	^DJI
tradeable	False
trailingPegRatio	None
triggerable	True
twoHundredDayAverage	48544.79
twoHundredDayAverageChange	3942.621
twoHundredDayAverageChangePercent	0.08121616
typeDisp	Index
volume	461091588
