Metric	Value
52WeekChange	19.895876
allTimeHigh	7793.68
allTimeLow	4.4
ask	7767.56
askSize	0
averageDailyVolume10Day	5351569000
averageDailyVolume3Month	5544290476
averageVolume	5544290476
averageVolume10days	5351569000
bid	7693.8
bidSize	0
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	7767.51
dayLow	7717.25
esgPopulated	False
exchange	SNP
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
fiftyDayAverage	7500.9927
fiftyDayAverageChange	227.20752
fiftyDayAverageChangePercent	0.030290326
fiftyTwoWeekChangePercent	19.895876
fiftyTwoWeekHigh	7793.68
fiftyTwoWeekHighChange	-65.47998
fiftyTwoWeekHighChangePercent	-0.008401677
fiftyTwoWeekLow	6316.91
fiftyTwoWeekLowChange	1411.29
fiftyTwoWeekLowChangePercent	0.22341461
fiftyTwoWeekRange	6316.91 - 7793.68
firstTradeDateMilliseconds	-1325583000000
fullExchangeName	SNP
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	False
language	en-US
longName	S&P 500
market	us_market
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_INDEXGSPC
open	7767.51
previousClose	7753.11
priceHint	2
quoteSourceName	Delayed Quote
quoteType	INDEX
region	US
regularMarketChange	-24.909668
regularMarketChangePercent	-0.32128614
regularMarketDayHigh	7767.51
regularMarketDayLow	7717.25
regularMarketDayRange	7717.25 - 7767.51
regularMarketOpen	7767.51
regularMarketPreviousClose	7753.11
regularMarketPrice	7728.2
regularMarketTime	1786480445
regularMarketVolume	2502546000
shortName	S&P 500
sourceInterval	15
symbol	^GSPC
tradeable	False
trailingPegRatio	None
triggerable	True
twoHundredDayAverage	7060.2627
twoHundredDayAverageChange	667.9375
twoHundredDayAverageChangePercent	0.09460519
typeDisp	Index
volume	2502546000
